N	3gram	Trubetskoy	Literetu
1	в том что	16	21
2	в то же	2	21
3	то же время	2	21
4	по отношению к	11	12
5	с одной стороны	2	12
6	не может быть	4	11
7	в данном случае	3	11
8	состоит в том	1	11
9	так или иначе	5	10
10	о том что	4	10
11	с точки зрения	8	8
12	не говоря уже	1	8
13	с другой стороны	4	7
14	говоря уже о	1	6
15	в том числе	1	6
16	к тому же	5	6
17	из того что	1	6
18	с этой точки	1	5
19	тем не менее	4	5
20	этой точки зрения	1	5
21	в связи с	3	5
22	но при этом	1	4
23	то ни было	3	4
24	исходит из того	1	4
25	бы то ни	3	4
26	и то что	3	4
27	в самом деле	5	3
28	в том же	3	3
29	ничего общего с	2	3
30	то же самое	1	3
31	только в том	1	3
32	в свою очередь	2	3
33	на то что	7	3
34	на самом деле	7	3
35	по крайней мере	1	3
36	в целом ряде	3	3
37	и культуры в	1	3
38	во всяком случае	2	3
39	том числе и	1	3
40	но с другой	1	3
41	для того чтобы	7	2
42	и то же	1	2
43	между тем как	1	2
44	в то что	1	2
45	а с другой	2	2
46	не только не	1	2
47	к тому что	1	2
48	только то что	2	2
49	всего что на	1	2
50	в мире не	1	2
51	в равной мере	1	2
52	по тем же	1	2
53	в чистом виде	1	2
54	тогда как сам	1	2
55	лишь тогда когда	2	2
56	за то что	1	2
57	вместе с тем	3	2
58	в себе и	1	2
59	что он сам	1	2
60	при этом не	1	2
61	до тех пор	1	2
62	а и в	7	2
63	в индивидуальном сознании	1	2
64	все та же	1	2
65	я не могу	1	2
66	дело в том	1	2
67	одно и то	1	2
68	можно было бы	1	2
69	в этом случае	4	2
70	на первый взгляд	1	2
71	что же касается	2	2
72	при этом однако	1	1
73	и в целом	1	1
74	все то что	1	1
75	а потому и	1	1
76	это должно быть	1	1
77	для этого необходимо	1	1
78	и самого себя	1	1
79	как и всякой	1	1
80	вдруг оказывается что	1	1
81	на задний план	1	1
82	в мире есть	1	1
83	так и от	1	1
84	не в том	1	1
85	друг от друга	6	1
86	более или менее	8	1
87	вместе с ними	1	1
88	в истинном смысле	1	1
89	и не имеет	1	1
90	во многих отношениях	1	1
91	не знает что	1	1
92	а в том	1	1
93	этом случае мы	1	1
94	и некоторые другие	1	1
95	начало и конец	4	1
96	до сих пор	15	1
97	именно потому что	2	1
98	с лица земли	1	1
99	может быть не	1	1
100	в этом и	1	1
101	иметь в виду	1	1
102	не свидетельствует о	1	1
103	данном случае не	1	1
104	в конце концов	4	1
105	все в том	1	1
106	в зависимости от	1	1
107	самом деле есть	1	1
108	в один из	1	1
109	целом ряде других	1	1
110	но и его	2	1
111	все же остается	1	1
112	но и с	1	1
113	во всей своей	1	1
114	а затем и	1	1
115	том что только	1	1
116	каждый данный момент	3	1
117	самого себя и	1	1
118	и того же	3	1
119	в высшей степени	2	1
120	по этому поводу	1	1
121	с тех пор	1	1
122	но все же	2	1
123	одного и того	3	1
124	для этой цели	1	1
125	пока еще не	1	1
126	и в том	2	1
127	для тех кто	1	1
128	а не в	1	1
129	в этом последнем	1	1
130	в нашем случае	2	1
131	за ним и	1	1
132	не только по	1	1
133	потому не может	1	1
134	ничем не лучше	1	1
135	культуры которые не	1	1
136	и у нас	1	1
137	есть не более	1	1
138	а как бы	1	1
139	том что при	1	1
140	которые не могут	1	1
141	то есть в	1	1
142	не тем что	1	1
143	только по отношению	1	1
144	в каждый данный	4	1
145	в дальнейшем эта	1	1
146	как мы знаем	1	1
147	в данный момент	1	1
148	культуре в целом	1	1
149	по существу он	1	1
150	сознательно или бессознательно	1	1
151	том или ином	1	1
152	две стороны одного	1	1
153	а потому не	1	1
154	не в состоянии	3	1
155	тогда как при	1	1
156	тем более что	1	1
157	он не может	2	1
158	вместе с ней	1	1
159	может быть вполне	1	1
160	хотя и не	1	1
161	однако это не	1	1
162	культуры и в	1	1
163	в лучшем случае	1	1
164	как мы видели	1	1
165	мысль о том	1	1
166	не подлежит сомнению	3	1
167	оградить себя от	1	1
168	и я совершенно	1	1
169	во всех этих	2	1
170	именно в том	1	1
171	тогда когда оно	1	1
172	с самого начала	1	1
173	но и всех	1	1
174	том что он	2	1
175	не есть ли	1	1
176	то что для	1	1
177	том что они	1	1
178	при этом у	1	1
179	из того же	2	1
180	а так как	1	1
181	и не может	1	1
182	тем самым все	1	1
183	приводит к тому	1	1
184	является одним из	1	1
185	до конца не	1	1
186	все же являются	1	1
187	нет и не	1	1
188	тот или иной	1	1
189	что несмотря на	2	1
190	может быть и	4	1
