N	2gram	Bakhtin_Fr	Marksizm
1	точки зрения	8	69
2	может быть	10	64
3	и в	68	63
4	и не	25	55
5	как бы	7	53
6	не может	5	47
7	с точки	4	46
8	и его	26	41
9	в этом	28	39
10	таким образом	22	38
11	как мы	18	32
12	языка и	1	31
13	в пределах	1	31
14	лишь в	3	30
15	не только	21	29
16	речи в	1	29
17	то же	14	28
18	в нем	12	28
19	но и	17	27
20	в языке	2	26
21	связи с	8	25
22	речи и	2	25
23	самом деле	5	25
24	в самом	6	24
25	как и	17	24
26	прежде всего	23	24
27	только в	9	23
28	так и	8	23
29	и т.п	17	23
30	в том	12	22
31	то что	11	22
32	а не	6	22
33	при этом	5	20
34	так сказать	7	20
35	для него	7	20
36	на почве	1	19
37	не в	2	19
38	если бы	3	19
39	том что	6	19
40	в его	21	19
41	в ее	5	18
42	в слове	2	18
43	и для	6	18
44	но в	20	18
45	вовсе не	18	18
46	все же	6	17
47	в сущности	15	17
48	по отношению	3	16
49	ни было	1	16
50	слова и	3	16
51	и как	5	16
52	в то	14	16
53	с помощью	5	15
54	во всех	8	15
55	в связи	7	15
56	отнюдь не	1	15
57	что он	7	15
58	же время	13	15
59	отношению к	2	15
60	в данном	5	14
61	хотя бы	2	14
62	в контексте	1	14
63	в смысле	1	14
64	в своей	11	13
65	так же	3	13
66	то ни	1	13
67	в направлении	1	13
68	что в	14	13
69	и здесь	5	13
70	того чтобы	6	13
71	было бы	4	13
72	ничего не	4	13
73	мы не	3	13
74	слова в	3	13
75	для того	5	12
76	того же	4	12
77	бы то	1	12
78	в результате	1	12
79	выражение в	2	12
80	между тем	3	12
81	он не	11	12
82	в основе	7	12
83	высшей степени	1	12
84	а в	3	12
85	в высшей	1	12
86	и того	1	11
87	к нему	4	11
88	французском языке	1	11
89	мы уже	19	11
90	и что	2	11
91	и от	4	11
92	до сих	6	11
93	и на	16	11
94	и все	16	11
95	как в	4	11
96	еще не	3	11
97	друг друга	2	11
98	так как	7	11
99	на самом	7	11
100	все эти	16	11
101	в ней	6	11
102	сих пор	6	11
103	без исключения	1	10
104	именно в	5	10
105	во всяком	2	10
106	самого начала	1	10
107	с другой	8	10
108	сказать что	3	10
109	к этому	6	10
110	никогда не	2	10
111	в своем	11	10
112	его в	7	10
113	в таком	2	10
114	одна из	3	10
115	в основном	7	10
116	здесь мы	3	10
117	в большинстве	3	10
118	совершенно не	1	10
119	конечно не	4	10
120	в отличие	3	10
121	с его	6	10
122	здесь в	6	10
123	и потому	6	10
124	с самого	1	10
125	отличие от	3	10
126	более того	1	10
127	быть и	2	9
128	одного и	1	9
129	только на	4	9
130	в нашем	5	9
131	в себе	5	9
132	большинстве случаев	3	9
133	рядом с	5	9
134	и следовательно	3	9
135	и это	5	9
136	а как	1	9
137	мы видели	6	9
138	что это	4	9
139	ни в	6	9
140	не имеет	1	9
141	и более	2	9
142	это не	5	9
143	в истории	5	9
144	о языке	1	9
145	одной из	3	9
146	и эта	1	9
