N	4gram	Propp_Isto	Vvedenie
1	не что иное как	6	5
2	и т д но	1	5
3	и т д однако	1	3
4	в том отношении что	1	3
5	есть не что иное	2	3
6	состоит в том что	2	2
7	с этой точки зрения	1	2
8	то же самое что	1	2
9	заключается в том что	1	2
10	только после того как	2	2
11	и т д в	1	2
12	одной и той же	2	2
13	и т д все	1	2
14	с другой стороны вполне	1	1
15	дело не только в	1	1
16	дело обстоит как раз	1	1
17	еще как мы видели	1	1
18	приводят к тому что	1	1
19	т д все эти	1	1
20	другой стороны вполне возможно	1	1
21	в соответствии с этим	1	1
22	могло бы составить предмет	2	1
23	в связи с этим	1	1
24	но это только одна	1	1
25	но вместе с тем	1	1
26	говорилось о том что	1	1
27	связи с этим и	1	1
28	но в этом случае	1	1
29	обстоит как раз наоборот	1	1
30	именно в этой форме	1	1
31	это только одна сторона	1	1
32	что в одном случае	1	1
33	в том что в	1	1
34	мы имеем дело с	1	1
35	точно так же как	2	1
