N	3gram	Savitsky_E	Formalny
1	с точки зрения	16	40
2	не может быть	2	29
3	то же время	14	20
4	в то же	15	20
5	и т д	1	19
6	в связи с	1	16
7	во всяком случае	3	16
8	так и в	2	11
9	в этом отношении	3	11
10	бы то ни	4	10
11	в большинстве случаев	2	9
12	с другой стороны	2	9
13	для того чтобы	5	8
14	как мы видели	2	8
15	с одной стороны	8	8
16	в применении к	3	7
17	более или менее	1	7
18	того или иного	4	7
19	то ни было	4	7
20	в свою очередь	2	7
21	и в этом	4	7
22	в том что	6	6
23	и в то	8	6
24	с тем что	1	6
25	в данном случае	2	6
26	смысле этого слова	1	6
27	может быть и	1	6
28	одной стороны и	6	5
29	к тому чтобы	2	5
30	в этом смысле	3	5
31	в отличие от	1	5
32	к тому что	1	5
33	в значительной степени	1	5
34	связи с этим	1	5
35	как бы ни	3	5
36	прежде всего в	2	5
37	мы не можем	1	5
38	и не в	1	4
39	дело идет о	2	4
40	до настоящего времени	1	4
41	не могут быть	1	4
42	но и в	1	4
43	в лучшем случае	1	4
44	хотя бы в	2	4
45	в нем и	1	4
46	и тот же	1	3
47	же время не	1	3
48	то или иное	1	3
49	в том числе	1	3
50	друг с другом	3	3
51	не сводится к	1	3
52	вместо того чтобы	1	3
53	том числе и	1	3
54	из всего этого	1	3
55	иначе обстоит дело	2	3
56	в том смысле	1	3
57	один и тот	1	3
58	мы увидим что	1	3
59	и в частности	2	3
60	то и другое	1	3
61	в противном случае	1	3
62	но в то	2	3
63	в пределах одного	1	3
64	и то и	1	3
65	что же касается	1	3
66	нам кажется что	2	3
67	том смысле что	1	2
68	в известной степени	3	2
69	и в характере	1	2
70	в этой среде	1	2
71	и со стороны	2	2
72	хотя бы и	3	2
73	говоря уже о	1	2
74	с этой точки	5	2
75	вовсе не в	1	2
76	в этом процессе	1	2
77	друг от друга	2	2
78	имеет значение лишь	1	2
79	совершенно очевидно что	1	2
80	так и с	1	2
81	в том случае	1	2
82	именно потому что	1	2
83	в отношении к	12	2
84	тех или иных	1	2
85	как и всякая	1	2
86	и тем самым	1	2
87	и прежде всего	3	2
88	в последнее время	1	2
89	из того что	2	2
90	на то чтобы	1	2
91	мы видели что	1	2
92	как его понимает	1	2
93	этой точки зрения	5	2
94	между ними и	2	2
95	и для всех	1	2
96	и до настоящего	1	2
97	на этот вопрос	1	2
98	при известных условиях	1	2
99	не говоря уже	2	2
100	в одной из	1	2
101	и с точки	1	2
102	дело в том	1	2
103	так и со	1	2
104	не только в	4	2
105	и притом в	2	2
106	так же как	5	2
107	выходит за пределы	1	2
108	оно не может	1	2
109	или хотя бы	2	2
110	она никогда не	1	1
111	в этот период	1	1
112	каждого из них	1	1
113	о котором мы	1	1
114	ни на минуту	1	1
115	например с точки	2	1
116	так и для	1	1
117	значение лишь в	1	1
118	и в этих	1	1
119	можем сказать что	1	1
120	по сравнению с	2	1
121	он не дает	1	1
122	что оно не	1	1
123	поскольку дело идет	1	1
124	в том же	1	1
125	в своем развитии	1	1
126	что мы знаем	1	1
127	главным образом из	1	1
128	в частности в	2	1
129	одного и того	1	1
130	и всякая иная	1	1
131	в силу этого	1	1
132	этих положений и	1	1
133	мы можем сказать	2	1
134	вовсе не обязательно	1	1
135	так и по	1	1
136	можно думать что	3	1
137	что в самом	1	1
138	что в этом	1	1
139	по себе не	2	1
140	их отношении к	3	1
141	что как бы	1	1
142	и того же	1	1
143	не может не	1	1
144	очевидно что в	2	1
145	как связь с	1	1
146	в их отношении	3	1
147	это значит что	1	1
148	как не может	1	1
149	а также и	1	1
150	мы говорили в	1	1
151	следует отметить что	1	1
152	если так то	1	1
153	т е не	1	1
154	чуть ли не	1	1
155	той или иной	4	1
156	но если в	1	1
157	это может быть	1	1
158	большей или меньшей	1	1
159	котором мы говорили	1	1
160	на своем пути	1	1
161	и только в	2	1
162	отнюдь не на	1	1
163	на то что	2	1
164	можно утверждать что	1	1
165	в этом явлении	1	1
166	свое собственное идеологическое	1	1
167	при помощи этого	1	1
168	между собой это	1	1
169	бы столь же	1	1
170	в гораздо большей	1	1
171	ту или иную	3	1
172	в ту или	1	1
173	мы бы сказали	1	1
174	только в качестве	1	1
175	и не было	1	1
176	можно сказать что	3	1
177	же обстоит дело	1	1
178	только в том	2	1
179	в идеологическом смысле	1	1
180	находятся в отношении	1	1
181	при условии если	1	1
182	гораздо большей степени	1	1
183	констатировать что эта	1	1
184	в то время	1	1
185	слова и в	1	1
186	хотя и не	1	1
187	каких бы то	2	1
188	другой стороны в	1	1
189	отметить что в	1	1
190	и все другие	2	1
191	т е во	1	1
192	не может в	1	1
193	этого отнюдь не	1	1
194	заключается в том	2	1
195	или меньшей степени	1	1
196	во всех этих	1	1
197	рассматривать с точки	1	1
198	еще далеко не	1	1
199	в мире культуры	1	1
200	но так как	1	1
201	всего этого следует	1	1
202	и в идеологическом	1	1
203	же как и	3	1
204	там где в	1	1
205	в отношении содержания	1	1
206	в других случаях	1	1
207	в этом периоде	1	1
208	между тем в	3	1
209	том случае если	1	1
210	же время в	1	1
211	та или иная	1	1
212	в большей или	1	1
213	этом отношении в	1	1
214	хотя бы только	1	1
215	в самом процессе	1	1
216	пределах одного и	1	1
217	как одной из	1	1
218	точки зрения этих	1	1
219	бы ни была	1	1
220	между прочим и	2	1
221	можно было бы	3	1
222	от этого отнюдь	1	1
