N	3gram	Medvedev_S	Tvorches
1	в то же	1	25
2	то же время	1	24
3	в том что	2	11
4	и в то	1	7
5	в конечном счете	1	6
6	в наше время	1	5
7	по отношению к	2	5
8	по крайней мере	1	4
9	дело не в	2	3
10	что все это	1	3
11	чуть ли не	1	3
12	во всяком случае	1	3
13	бы он ни	1	2
14	в конце концов	2	2
15	в этой области	1	2
16	вот в чем	1	2
17	в связи с	1	2
18	только то что	1	2
19	том что это	1	1
20	о том как	1	1
21	и наконец в	1	1
22	что в них	1	1
23	и мы не	1	1
24	о литературе о	1	1
25	а между тем	1	1
26	а с другой	1	1
27	далеко еще не	1	1
28	то же самое	1	1
29	не может не	1	1
30	и в этом	1	1
31	в том и	1	1
32	это вовсе не	1	1
33	то что в	1	1
34	с одной стороны	1	1
35	в настоящее время	1	1
36	что на ней	1	1
37	все же это	1	1
38	и только для	1	1
39	это и есть	1	1
40	только в этом	2	1
