N	4gram	Bakhtin_sl	Vvedenie
1	в то же время	15	6
2	с одной стороны и	2	3
3	дело в том что	1	3
4	но в то же	6	3
5	с этой точки зрения	1	2
6	не влечет за собой	1	2
7	во всяком случае не	1	2
8	одно и то же	2	2
9	одной и той же	1	2
10	именно для того чтобы	1	1
11	то же время в	1	1
12	дело не с языком	1	1
13	той или иной степени	12	1
14	и прежде всего в	1	1
15	идет уже не только	1	1
16	и т д можно	1	1
17	но во всяком случае	1	1
18	в том что он	1	1
19	большей или меньшей степени	3	1
20	но с другой стороны	1	1
21	бы то ни было	1	1
22	и до наших дней	1	1
23	в большей или меньшей	3	1
24	хотя бы и не	1	1
25	мы имеем в виду	1	1
26	только о слове но	1	1
27	в той или иной	12	1
28	имеет дело не с	2	1
29	в том что в	1	1
30	то она во всяком	1	1
31	в зависимости от характера	1	1
32	уже не только о	1	1
33	она во всяком случае	1	1
34	с известным правом можно	1	1
35	на то или иное	1	1
36	не только о слове	1	1
