N	2gram	Bakhtin_Pr	ViktorSh
1	в книге	4	3
2	конце концов	7	2
3	в конце	9	2
4	и в	59	2
5	в том	17	2
6	том что	15	2
7	в другом	1	1
8	все время	4	1
9	но это	7	1
10	одно и	1	1
11	их как	1	1
12	по существу	5	1
13	ведь это	3	1
14	в самом	19	1
15	как же	5	1
16	отношений но	1	1
17	и т.д	2	1
18	для них	3	1
19	говорили в	2	1
20	а только	3	1
21	от других	2	1
22	именно в	8	1
23	все то	5	1
24	самом деле	9	1
25	другом месте	1	1
26	ясно что	1	1
27	стр и	1	1
28	материалов и	1	1
29	с большой	1	1
30	в частности	2	1
31	и то	1	1
32	так в	1	1
33	крайней мере	3	1
34	и заключается	1	1
35	не хочу	2	1
36	поэтического творчества	2	1
37	стоит на	1	1
38	положений которые	1	1
39	и его	21	1
40	даже не	1	1
41	превратил в	1	1
42	под влиянием	1	1
43	бы уже	2	1
44	значительной степени	1	1
45	на одном	1	1
46	хотя бы	5	1
47	по поводу	2	1
48	далеко не	3	1
49	тем более	2	1
50	по крайней	3	1
51	в которых	2	1
52	к этому	6	1
53	только в	15	1
54	потому что	20	1
55	в значительной	1	1
56	тем новым	1	1
57	в их	5	1
58	и только	2	1
59	то же	15	1
60	по своим	4	1
61	и не	66	1
62	гораздо более	1	1
63	я не	7	1
64	дело в	1	1
65	да и	3	1
66	в этом	40	1
67	так как	11	1
68	все это	12	1
69	в устах	2	1
