N	2gram	Bakhtin_Fr	BTomashe
1	у нас	1	3
2	лучше и	1	2
3	все это	16	2
4	литературных произведений	1	2
5	в ней	7	2
6	можно было	4	2
7	и не	34	2
8	видеть в	2	2
9	в трактовке	1	1
10	говорить о	1	1
11	творчества и	1	1
12	и о	4	1
13	со всем	1	1
14	литературы как	1	1
15	не только	24	1
16	остановиться на	1	1
17	а о	2	1
18	и свободный	1	1
19	всего в	1	1
20	таким образом	5	1
21	не было	3	1
22	в эпоху	17	1
23	прежде всего	26	1
24	и в	105	1
25	на самом	6	1
26	так и	16	1
27	по теории	1	1
28	из своей	2	1
29	в своей	8	1
30	во всяком	2	1
31	и потому	14	1
32	и во	6	1
33	по нашему	1	1
34	за пределы	10	1
35	с другой	3	1
36	об этом	2	1
37	такое определение	1	1
38	своей книге	3	1
39	совершенно не	5	1
40	не о	2	1
41	другой стороны	1	1
42	и полнее	1	1
43	всяком случае	2	1
44	кроме того	2	1
45	было бы	4	1
46	стоит на	1	1
47	и ее	1	1
48	чем на	1	1
49	одной из	3	1
50	в значительной	9	1
51	свести к	1	1
52	в пределах	3	1
53	должна быть	1	1
54	в области	10	1
55	и исторической	1	1
56	далеко не	6	1
57	говорить не	1	1
58	не вполне	3	1
59	и более	4	1
60	что все	1	1
61	нашему мнению	1	1
62	по этим	1	1
63	в книге	3	1
64	значительной степени	4	1
65	и полно	1	1
66	будто бы	1	1
67	также не	1	1
68	а не	1	1
69	до конца	4	1
70	не укладывается	2	1
71	и на	25	1
72	выходит за	5	1
73	с западными	1	1
74	между ними	4	1
75	свою книгу	1	1
76	еще не	8	1
77	к ней	2	1
78	все же	10	1
79	работа по	1	1
80	что в	4	1
