N	2gram	Tiupa_Teor	Istorich
1	и в	24	181
2	может быть	22	115
3	не только	24	114
4	что он	4	111
5	мы имеем	7	102
6	что в	10	90
7	но и	14	85
8	в этом	12	81
9	так как	1	75
10	то что	6	73
11	таким образом	3	72
12	вместе с	2	71
13	в лесу	1	68
14	и не	17	67
15	мы видим	1	65
16	все же	1	65
17	в этих	4	64
18	еще не	6	63
19	не может	8	61
20	этих случаях	1	60
21	так же	2	57
22	то же	12	56
23	никогда не	4	56
24	в лес	1	53
25	в том	20	53
26	том что	11	53
27	а в	15	52
28	с другой	9	52
29	потому что	3	52
30	и что	4	51
31	и здесь	2	51
32	что и	2	51
33	а не	14	48
34	о том	2	48
35	его в	4	47
36	не в	9	47
37	другой стороны	6	46
38	превращается в	2	45
39	и пр	1	44
40	но в	12	44
41	это не	4	43
42	и его	11	43
43	в нем	7	42
44	только в	9	42
45	как в	5	42
46	или в	3	39
47	тем что	1	38
48	и на	2	38
49	в его	12	38
50	для нас	1	38
51	как и	6	37
52	уже не	6	37
53	он не	5	37
54	так и	14	37
55	что они	2	35
56	с тем	1	35
57	здесь мы	2	35
58	все эти	3	35
59	не всегда	2	34
60	связи с	3	34
61	но не	13	34
62	а именно	3	34
63	у него	2	34
64	что это	1	34
65	же как	1	33
66	об этом	2	33
67	в качестве	33	32
68	один из	2	31
69	прежде всего	3	31
70	так в	4	31
71	представляет собой	13	31
72	с этим	1	30
73	с одной	3	30
74	в русской	6	30
75	к нему	2	30
76	этом случае	1	29
77	одной стороны	3	29
78	как мы	1	29
79	и другие	2	28
80	в иной	3	28
81	что она	2	28
82	например в	3	28
83	так что	1	27
84	могут быть	5	27
85	того что	5	27
86	как это	10	26
87	и др	3	26
88	представляют собой	1	26
89	вопрос о	1	25
90	не менее	6	24
91	было бы	1	24
92	если бы	3	24
93	представлений о	1	23
94	их в	3	23
95	как бы	8	23
96	точно так	1	23
97	и это	2	23
98	тем не	3	23
99	в этой	3	23
100	имеем в	3	23
101	все это	2	23
102	в частности	23	23
103	и по	3	22
104	с ним	1	22
105	при этом	20	22
106	в другом	4	21
107	в одном	3	21
108	сказать что	4	21
109	в связи	3	21
110	здесь не	2	21
111	с появлением	1	21
112	к тому	4	21
113	они не	1	21
114	ее в	2	21
115	из них	1	20
116	из этих	3	20
117	она не	1	20
118	одна из	1	20
119	очень часто	1	20
120	в силу	4	20
121	а затем	2	19
122	с собой	1	19
123	мы рассмотрим	1	19
124	но он	4	19
125	в другой	1	19
126	на то	1	19
127	и как	3	19
128	после того	1	19
129	живет в	1	19
130	в то	9	18
131	не все	3	18
132	в данном	9	18
133	вовсе не	3	18
134	в них	2	17
135	когда герой	1	17
