N	2gram	Ircho_Kome	RusskieA
1	и в	37	79
2	в том	24	64
3	том что	22	59
4	что в	11	57
5	т е	18	54
6	не только	13	41
7	во время	8	38
8	так как	16	34
9	и другие	1	33
10	в этом	18	33
11	состоит в	2	32
12	как бы	7	31
13	но и	18	31
14	в других	4	30
15	в и	3	30
16	как и	10	28
17	и на	6	28
18	может быть	14	28
19	в этот	1	26
20	этот день	1	25
21	о том	21	23
22	и т	5	23
23	при этом	11	22
24	т д	1	21
25	там же	1	20
26	это не	3	20
27	е в	2	20
28	а в	12	20
29	как мы	6	20
30	из них	11	19
31	представляют собой	3	18
32	все это	7	18
33	с тем	6	17
34	таким образом	16	17
35	то что	5	17
36	вместе с	16	17
37	об этом	12	17
38	показывает что	1	17
39	потому что	19	17
40	мы не	6	16
41	или на	1	15
42	будто бы	1	15
43	один из	6	15
44	в них	6	14
45	и с	5	14
46	не менее	9	14
47	тем не	3	14
48	как это	5	14
49	и что	8	14
50	мы видели	1	14
51	и не	28	14
52	для нас	7	14
53	у нас	1	14
54	в день	1	13
55	к этому	11	13
56	в некоторых	1	13
57	так что	7	13
58	и по	3	13
59	как в	4	13
60	в которых	7	13
61	еще не	10	13
62	не может	9	13
63	тем что	12	12
64	между собой	5	12
65	этом случае	2	12
66	мы имеем	4	12
67	в дом	22	11
68	а затем	4	11
69	мы увидим	1	11
70	не имеет	6	11
71	а на	3	11
72	далеко не	3	11
73	что на	1	11
74	все же	9	10
75	представляет собой	5	10
76	том чтобы	4	10
77	его в	9	10
78	между тем	6	10
79	что и	12	10
80	в течение	3	10
81	так и	4	10
82	или в	1	10
83	а также	3	10
84	по существу	4	10
85	и других	1	10
86	то же	14	9
87	о чем	11	9
88	видно что	2	9
89	что они	3	9
90	к жизни	1	9
91	с ней	1	9
92	и все	6	9
93	того как	5	9
94	том же	2	9
95	но в	7	9
96	в честь	2	9
97	в русском	1	9
98	в г	3	9
99	но не	9	9
100	одно из	3	8
101	в этих	2	8
102	представление о	2	8
103	что по	2	8
104	так же	8	8
105	после этого	2	8
106	связи с	5	8
107	на себя	10	8
108	во всех	4	8
109	подобно тому	1	8
110	их в	3	8
111	не объясняет	1	8
112	того чтобы	9	8
113	как например	2	8
114	того что	1	8
115	как уже	1	8
116	тому как	1	8
117	для того	9	8
118	же в	3	8
119	в это	2	7
120	в руках	3	7
121	должна была	1	7
122	настоящее время	1	7
123	в своем	9	7
124	на них	3	7
125	к нему	8	7
126	не в	7	7
127	а с	2	7
128	не совсем	3	7
129	мы рассмотрим	1	7
130	было бы	7	7
131	главным образом	2	7
132	только в	3	7
133	еще в	1	7
134	это время	2	7
135	связанные с	1	7
136	из этих	2	7
137	а не	5	7
138	начиная с	1	7
139	до конца	4	7
140	в настоящее	1	7
141	ничего не	6	7
142	не можем	1	7
143	и как	3	7
144	предположить что	1	7
145	мы должны	1	7
146	по этому	3	7
147	как будто	3	7
148	в эти	1	7
149	для этого	3	7
150	с собой	4	6
151	же как	1	6
152	к тому	11	6
153	что этот	1	6
154	не всегда	2	6
155	только на	1	6
156	в одном	3	6
157	что она	10	6
158	после того	3	6
159	в качестве	4	6
160	чем в	5	6
161	в таком	2	6
162	тому что	5	6
163	также в	2	6
164	на земле	2	6
165	должно было	3	6
166	и у	4	6
167	и сл	1	6
168	на этом	3	6
169	после чего	2	6
170	должны были	2	6
171	в этой	7	6
172	в нем	8	6
173	должен был	6	6
174	с ними	1	6
175	приводит к	4	6
176	и более	1	6
177	что здесь	2	6
178	друг друга	7	6
179	не будем	1	6
180	в их	5	6
181	все эти	1	6
182	она не	3	6
183	и их	1	6
184	этому поводу	1	6
185	сообщает о	2	6
186	и о	3	6
187	при изучении	1	6
188	и к	4	5
189	например в	3	5
190	после обеда	1	5
191	только для	2	5
192	игр и	1	5
193	г в	2	5
194	с этим	5	5
195	вопрос о	2	5
196	входит в	1	5
197	с другой	5	5
198	к ним	5	5
199	как правило	1	5
200	по поводу	1	5
