N	3gram	Bakhtin_fo	Hudozhes
1	по отношению к	3	10
2	в том что	4	8
3	в то же	10	7
4	в отличие от	3	7
5	то же время	13	7
6	с другой стороны	1	6
7	той или иной	3	5
8	для того чтобы	11	5
9	не может быть	4	4
10	мы имеем в	2	3
11	ни в мире	1	3
12	с точки зрения	9	3
13	имеем в виду	3	3
14	и в самом	1	3
15	в том числе	7	3
16	можно сказать что	1	3
17	и то же	4	3
18	одного и того	6	3
19	одно и то	4	3
20	и того же	6	3
21	в связи с	12	3
22	с одной стороны	3	3
23	тот или иной	1	3
24	в той или	2	2
25	в свою очередь	1	2
26	но он не	2	2
27	и прежде всего	4	2
28	до известной степени	1	2
29	в данный момент	1	2
30	этой точки зрения	1	2
31	с этой точки	1	2
32	в самом деле	1	2
33	автора и читателей	1	2
34	включает в себя	1	2
35	по своей природе	1	2
36	том числе и	4	2
37	в этом мире	7	2
38	и в то	7	2
39	не могло быть	3	2
40	что в основе	1	2
41	значении этого слова	1	2
42	сама по себе	1	2
43	и не могло	1	2
44	к тому что	1	2
45	в значительной степени	1	2
46	может быть и	4	2
47	жизни то есть	2	1
48	в осмысленном и	1	1
49	века и в	1	1
50	то есть для	1	1
51	в одном и	1	1
52	больше и больше	1	1
53	и как бы	2	1
54	раз в том	1	1
55	все то что	2	1
56	то есть в	2	1
57	слияние пространственных и	1	1
58	точки зрения не	3	1
59	и др в	2	1
60	и для него	1	1
61	человека с самим	1	1
62	и том же	1	1
63	человека и его	8	1
64	так и его	1	1
65	между вещами и	3	1
66	в соответствии с	2	1
67	и т.д эта	1	1
68	та или иная	1	1
69	осмысленном и конкретном	1	1
70	форма в которой	1	1
71	уст в уста	1	1
72	между собой в	1	1
73	на каждом из	1	1
74	и для других	1	1
75	и временных примет	1	1
76	было и не	1	1
77	и со всеми	1	1
78	чего еще нет	1	1
79	в самом начале	1	1
80	хронотопе имеет место	1	1
81	о том что	2	1
82	мы говорим о	1	1
83	или иной форме	1	1
84	определенного смысла и	1	1
85	одной стороны и	2	1
86	в себе и	1	1
87	как и в	3	1
88	то есть как	1	1
89	себя только в	1	1
90	для себя и	1	1
91	с самим собою	4	1
92	о чем подробно	1	1
93	и в пространстве	1	1
94	связи с этим	4	1
95	одно из проявлений	1	1
96	друг от друга	2	1
97	что он должен	1	1
98	в то время	3	1
99	друг другу и	1	1
100	в основе его	1	1
101	в себя и	2	1
102	как такового не	1	1
103	во времени и	1	1
104	каждая из этих	1	1
105	числе и для	1	1
106	но и прежде	1	1
107	в особенности в	2	1
108	в себе самом	1	1
109	и в частности	2	1
110	таким образом и	2	1
111	место в событии	1	1
112	временных примет в	1	1
113	самим собою в	1	1
114	прежде всего к	1	1
115	он ни был	2	1
116	но в то	2	1
117	как раз в	4	1
118	место слияние пространственных	1	1
119	в зависимости от	1	1
120	на второй план	1	1
121	в том специфическом	1	1
122	никогда не бывает	1	1
123	так же как	2	1
124	человека и общества	1	1
125	мы видим в	1	1
126	примет в осмысленном	1	1
127	том специфическом значении	1	1
128	имеет место слияние	1	1
129	не было и	2	1
130	в этом случае	1	1
131	точки зрения в	1	1
132	здесь как бы	1	1
133	в основе того	1	1
134	события частной жизни	1	1
135	пространственных и временных	3	1
136	к тому же	2	1
137	каждой из них	1	1
138	его в иной	1	1
139	с самим собой	2	1
140	не только на	1	1
141	же время оно	1	1
142	в данном отношении	1	1
143	в себе в	1	1
144	быть осуществлено только	1	1
145	в своей жизни	1	1
146	не могут быть	1	1
147	в частности в	1	1
148	в новое время	1	1
149	то же самое	1	1
150	не входит в	1	1
151	и в сущности	3	1
152	в это утро	1	1
153	к вопросу о	2	1
154	его то есть	1	1
155	из уст в	1	1
156	и конкретном целом	1	1
157	одном и том	1	1
158	иной раз и	1	1
159	все без исключения	1	1
160	прежде всего в	3	1
161	в виду что	2	1
162	и в том	1	1
163	внешних и внутренних	1	1
