N	2gram	Bakhtin_Pr	ViktorSh
1	в книге	2	3
2	конце концов	7	2
3	в конце	8	2
4	и в	64	2
5	в том	12	2
6	том что	8	2
7	в другом	3	1
8	все время	3	1
9	но это	6	1
10	одно и	1	1
11	том же	4	1
12	слово по	2	1
13	их как	1	1
14	по существу	6	1
15	ведь это	4	1
16	в самом	17	1
17	как же	6	1
18	для них	1	1
19	а только	1	1
20	от других	1	1
21	ведь дело	1	1
22	именно в	5	1
23	все то	5	1
24	самом деле	10	1
25	другом месте	1	1
26	речи и	4	1
27	материалов и	1	1
28	в частности	1	1
29	так в	1	1
30	крайней мере	2	1
31	и его	21	1
32	даже не	1	1
33	превратил в	1	1
34	к чему	1	1
35	под влиянием	1	1
36	бы уже	2	1
37	значительной степени	1	1
38	прозы в	1	1
39	на одном	1	1
40	хотя бы	4	1
41	по поводу	1	1
42	далеко не	7	1
43	по крайней	2	1
44	в которых	4	1
45	к этому	1	1
46	только в	13	1
47	потому что	8	1
48	в значительной	1	1
49	языка если	1	1
50	тем новым	1	1
51	в их	6	1
52	и только	3	1
53	то же	18	1
54	по своим	4	1
55	без учета	1	1
56	и не	55	1
57	я не	6	1
58	дело в	2	1
59	да и	2	1
60	в этом	33	1
61	так как	9	1
62	все это	9	1
63	в устах	2	1
64	и способами	1	1
