N	4gram	Nazirov_Tv	VrazhdaK
1	в то же время	18	4
2	но в то же	5	2
3	романа идиот и их	1	1
4	следует рассматривать в связи	1	1
5	заметках о летних впечатлениях	1	1
6	и сам достоевский в	1	1
7	достоевского не стоит преувеличивать	1	1
8	в войне и мире	1	1
9	в конце х годов	1	1
10	во всяком случае о	1	1
11	и не может быть	2	1
12	в этот период достоевский	1	1
13	заключается в том что	1	1
14	в зимних заметках о	1	1
15	зимних заметках о летних	1	1
16	рассматривать в связи с	1	1
17	в преступлении и наказании	9	1
18	идиот и их прототипы	1	1
19	герои романа идиот и	1	1
20	а с другой стороны	1	1
21	и в то же	2	1
22	от апреля года достоевский	1	1
