N	3gram	Berdyaev_V	Vvedenie
1	и т д	2	39
2	в том что	2	15
3	с другой стороны	1	5
4	по крайней мере	1	4
5	по сравнению с	1	4
6	но все же	1	4
7	и в этом	1	4
8	вместе с тем	1	3
9	в известном смысле	1	3
10	хотя бы и	1	2
11	а между тем	2	2
12	это еще не	2	2
13	в конце концов	1	2
14	не могут быть	1	2
15	после того как	1	2
16	что они только	1	1
17	прошлом и настоящем	1	1
18	бы и не	2	1
19	человека в его	1	1
20	но и в	2	1
21	все равно не	1	1
22	в одно целое	1	1
23	в практическом действии	1	1
24	т д и	1	1
25	и конечная цель	1	1
26	и есть то	1	1
27	всего что было	1	1
28	так как не	2	1
29	так как она	1	1
30	на этом пути	1	1
31	в них и	1	1
32	и никогда не	1	1
33	том что он	2	1
34	смысле нельзя не	1	1
35	к тому что	3	1
36	бы то ни	1	1
37	вот почему в	1	1
38	одна из сторон	1	1
39	но от этого	1	1
40	в прошлом и	1	1
