N	3gram	Nazirov_Tv	formyVre
1	и т п	4	32
2	то же время	18	21
3	в то же	19	18
4	в связи с	2	15
5	не только в	2	11
6	и в то	3	10
7	до сих пор	1	10
8	и того же	1	9
9	одного и того	1	9
10	мы уже говорили	2	9
11	в том числе	1	8
12	и прежде всего	1	8
13	человека и его	2	8
14	и т д	10	7
15	не может быть	2	7
16	в отличие от	2	7
17	и как раз	1	6
18	в том же	3	6
19	и в этом	1	6
20	имеем в виду	1	6
21	с одной стороны	1	6
22	в том что	8	5
23	то есть не	2	5
24	том числе и	1	5
25	той или иной	1	5
26	как и в	2	5
27	мы имеем в	1	5
28	пространства и времени	1	5
29	на протяжении всего	2	5
30	героя и героини	1	5
31	по отношению к	3	4
32	и в других	1	4
33	друг на друга	1	4
34	с другой стороны	2	4
35	равно как и	1	4
36	в романе в	1	4
37	во всяком случае	2	4
38	и как бы	1	3
39	бы он ни	1	3
40	о том как	1	3
41	человека в его	1	3
42	протяжении всего романа	1	3
43	сами по себе	2	3
44	но при этом	1	3
45	друг за другом	1	3
46	в чем не	1	3
47	к вопросу о	1	3
48	то же самое	1	3
49	вместе с тем	1	3
50	в другом месте	1	3
51	же как и	1	3
52	но в то	5	3
53	о том что	6	3
54	так же как	1	3
55	с самого начала	3	3
56	так и в	2	3
57	и в литературе	1	3
58	ни в чем	1	3
59	следуют друг за	1	2
60	у него есть	1	2
61	в дальнейшем мы	1	2
62	соответствии с этим	1	2
63	так сказать в	1	2
64	жизни то есть	1	2
65	во всей ее	1	2
66	здесь нет ни	1	2
67	можно сказать что	2	2
68	у вальтера скотта	1	2
69	прежде всего они	1	2
70	в частности в	1	2
71	важную роль в	1	2
72	место в романе	1	2
73	все более и	1	2
74	могут быть названы	1	2
75	в соответствии с	7	2
76	в данном случае	2	2
77	все же и	1	2
78	к тому же	1	2
79	же время они	1	2
80	это значит что	1	2
81	таким образом и	1	2
82	в частности с	1	2
83	романа то есть	1	2
84	а как бы	1	2
85	в свою очередь	2	2
86	на другой день	1	2
87	не только для	1	2
88	разрезе одного момента	1	2
89	и должно быть	1	2
90	и та же	2	2
91	и в дальнейшем	1	2
92	со всеми его	1	2
93	и в самом	1	2
94	бросается в глаза	1	2
95	в разрезе одного	1	2
96	более и более	1	2
97	в виду что	1	2
98	в романе не	1	2
99	прежде всего нужно	1	2
100	со всех сторон	1	2
101	в этом романе	2	2
102	и в их	1	2
103	дело в том	4	2
104	к тому что	1	2
105	в мировой литературе	1	2
106	на выборгской стороне	1	2
107	на ранних стадиях	2	2
108	с самим собой	1	2
109	и через него	1	2
110	проблемы времени в	1	2
111	одна и та	1	2
112	это прежде всего	3	2
113	в целом ряде	1	1
114	на этой почве	1	1
115	что он не	1	1
116	это имеет место	1	1
117	в этот момент	1	1
118	и со всеми	1	1
119	что происходило в	1	1
120	персидские письма монтескье	1	1
121	но она не	1	1
122	отличается и от	1	1
123	это как бы	3	1
124	в противоречии с	1	1
125	же самое время	1	1
126	в применении к	1	1
127	нем и через	1	1
128	он не знал	1	1
129	том что в	3	1
130	в ту же	1	1
131	то что не	1	1
132	и в другом	1	1
133	во время путешествия	1	1
134	в пространстве а	2	1
135	самим героем и	1	1
136	мы говорим о	1	1
137	в первый раз	1	1
138	хотя бы и	1	1
139	в самом деле	2	1
140	и не имеют	1	1
141	в современном ему	1	1
142	он вовсе не	1	1
143	важно не только	1	1
144	тем не менее	2	1
145	на той же	1	1
146	за свой счет	1	1
147	у него и	1	1
148	из них более	1	1
149	оно не знает	1	1
150	за то что	1	1
151	мифов и легенд	1	1
152	мир с его	1	1
153	отношений между людьми	1	1
154	человек был бы	1	1
155	это не значит	2	1
156	настоящим и прошлым	1	1
157	то что может	1	1
158	начале xx века	1	1
159	л н толстого	1	1
160	даже если он	1	1
161	чувства времени и	1	1
162	особое место в	2	1
163	один из самых	1	1
164	в один ряд	1	1
165	представление о жизни	1	1
166	улицы и площади	1	1
167	если же в	1	1
168	и все же	3	1
169	отметим лишь что	1	1
170	говорили о том	1	1
171	взятая в ее	1	1
172	по мере своего	1	1
173	в сюжете и	1	1
174	ведь в этом	1	1
175	однако не может	1	1
176	при этом он	2	1
177	во второй части	1	1
178	потому что не	1	1
179	не может не	1	1
180	за другом в	1	1
181	петербурга в москву	1	1
182	преступление и наказание	5	1
183	в творчестве достоевского	8	1
184	в целом и	1	1
185	одну и ту	1	1
186	и выйти на	1	1
187	с большой четкостью	1	1
188	т п где	1	1
189	и среди них	1	1
190	в конечном счете	4	1
191	имел в виду	1	1
192	это вовсе не	1	1
193	но все это	1	1
194	и братья карамазовы	1	1
195	прежде всего его	1	1
196	в романе мы	1	1
197	только то что	1	1
198	в стороне от	1	1
199	в вечности все	1	1
200	в основном вне	1	1
201	уже говорили о	1	1
202	или во всяком	1	1
203	никогда не было	2	1
204	не то что	1	1
205	никогда не вводит	1	1
206	и в том	1	1
207	и не может	2	1
208	франчески и паоло	1	1
209	дело не только	1	1
210	по преимуществу в	1	1
211	и наконец в	1	1
212	однако этот быт	1	1
213	в одном из	2	1
214	достоевского преступление и	1	1
215	и в романе	1	1
216	о золотом веке	1	1
217	места в другое	1	1
218	в основе этой	1	1
219	отношение автора к	1	1
220	с большой силой	3	1
221	чем обычно предполагают	1	1
222	очень важную роль	1	1
223	героя и его	1	1
224	прежде всего на	1	1
225	что может быть	1	1
226	а вместе с	1	1
227	мы видим в	1	1
228	в естественном состоянии	1	1
229	и ту же	1	1
230	же время он	2	1
231	в действительной жизни	1	1
232	темы и мотивы	1	1
233	в русском переводе	1	1
234	с одной из	1	1
235	вплоть до его	1	1
236	его болезни и	1	1
237	то что в	1	1
238	в русской литературе	2	1
239	чувства времени в	2	1
240	в античной трагедии	1	1
241	не был бы	1	1
242	например в романе	1	1
243	время в его	1	1
244	да и в	1	1
245	в них совершенно	1	1
246	руссо и в	1	1
247	в буржуазном обществе	1	1
248	у достоевского в	5	1
249	своих поступков и	1	1
250	хотя и не	1	1
251	из петербурга в	1	1
252	у достоевского на	1	1
253	контакта с ним	1	1
254	в одной из	4	1
255	на самом деле	2	1
256	прошлого и будущего	2	1
257	эпическое время в	1	1
258	в отрыве от	1	1
259	в конце концов	1	1
260	в xix веке	3	1
261	мы находим у	1	1
262	более глубокой и	1	1
263	объясняется тем что	1	1
264	при первой встрече	1	1
265	с установкой на	1	1
266	это уже не	2	1
267	и в метафорическом	1	1
268	но отнюдь не	1	1
269	то есть его	1	1
270	из общего времени	1	1
271	в его образ	1	1
272	характер времени в	1	1
273	не могут быть	2	1
274	нет в романе	1	1
275	на первый взгляд	1	1
276	в отношении к	1	1
277	уже говорили что	1	1
278	о жизни и	1	1
279	в нем и	1	1
280	от других людей	2	1
281	все это в	1	1
282	и только для	1	1
283	романа еще не	1	1
284	в этот день	1	1
285	и в процессе	1	1
