N	2gram	Potebnia_M	Freidism
1	таким образом	21	34
2	и не	34	34
3	точки зрения	8	31
4	не может	30	30
5	в этом	18	28
6	может быть	47	28
7	и в	58	28
8	прежде всего	8	26
9	в его	7	25
10	и его	7	22
11	мы можем	10	20
12	как бы	12	19
13	как мы	3	18
14	то что	24	17
15	вовсе не	13	16
16	с точки	4	15
17	жизни человека	2	15
18	все эти	3	15
19	так как	29	15
20	с ним	7	14
21	в своей	3	14
22	так и	17	14
23	самом деле	2	14
24	в душе	28	13
25	и все	6	13
26	как и	16	13
27	по отношению	15	13
28	но в	12	13
29	во всех	12	13
30	в самом	5	12
31	то же	13	12
32	ни в	2	12
33	что он	5	12
34	том что	21	12
35	для него	13	12
36	все это	3	12
37	и потому	7	12
38	мы видели	5	12
39	только в	36	11
40	мы знаем	2	11
41	сказать что	5	11
42	отношению к	13	11
43	его в	3	11
44	все что	5	10
45	один из	2	10
46	не только	32	10
47	и с	3	10
48	но и	26	10
49	конечно не	1	10
50	что же	3	10
51	тот же	5	10
52	никогда не	7	10
53	в том	38	10
54	мы уже	1	10
55	в сознание	2	10
56	он не	4	10
57	за пределы	4	10
58	не в	23	10
59	и на	8	9
60	те же	4	9
61	уже не	4	9
62	во всяком	9	9
63	совершенно не	1	9
64	мы не	17	9
65	с его	3	9
66	к этому	3	9
67	к нему	2	9
68	в чем	6	9
69	а не	38	9
70	мы должны	4	9
71	и др	1	9
72	могут быть	17	9
73	при этом	17	8
74	все же	11	8
75	еще не	9	8
76	с этим	11	8
77	было бы	21	8
78	знаем что	1	8
79	организма и	1	8
80	а в	11	8
81	по мнению	4	8
82	с другими	3	8
83	на этом	3	8
84	в ней	9	8
85	оно и	4	8
86	душевной жизни	15	8
87	всяком случае	7	8
88	что в	34	7
89	не могут	10	7
90	связь с	2	7
91	в жизни	5	7
92	роль в	1	7
93	так сказать	5	7
94	его жизни	1	7
95	хотя бы	4	7
96	в каком	7	7
97	если мы	5	7
98	что все	4	7
99	и для	8	7
100	из них	2	7
101	того что	15	7
102	но не	19	7
103	я и	1	7
104	об этом	1	7
105	и у	3	7
106	с самого	5	7
107	в нем	26	7
108	в этой	3	7
109	отношение к	1	7
110	в себе	22	7
111	жизни и	3	7
112	и прежде	1	7
113	в то	6	7
114	и ее	1	7
115	более того	1	7
116	зрения на	1	6
117	в человеке	14	6
118	одно из	5	6
119	если он	1	6
120	сознанием и	1	6
121	не менее	10	6
122	но мы	3	6
123	к тому	5	6
124	можно сказать	1	6
125	в свою	8	6
126	для того	8	6
127	же время	4	6
128	внутреннего опыта	1	6
129	из этих	8	6
130	высшей степени	1	6
131	мы имеем	1	6
132	что такое	3	6
133	во время	5	6
134	на самом	2	6
135	сознания и	2	6
136	в таком	7	6
137	большинстве случаев	1	6
138	она не	3	6
139	совсем не	1	6
140	и что	13	6
141	человека и	2	6
142	и о	3	6
143	до сознания	3	6
144	и только	6	6
145	для этого	2	6
146	всех этих	2	6
147	которой мы	3	6
148	не можем	5	6
149	что это	5	5
150	в более	4	5
151	со всеми	1	5
152	в своих	4	5
153	ее в	1	5
154	и бессознательное	1	5
155	в процессе	1	5
156	с ними	2	5
157	вместе с	12	5
158	со стороны	11	5
159	обыденной жизни	1	5
160	тех же	1	5
161	того чтобы	4	5
162	сознание и	1	5
163	душе человека	1	5
164	увидим что	4	5
165	на основании	3	5
166	и до	1	5
167	самого начала	5	5
168	что она	3	5
169	можем сказать	1	5
170	по поводу	7	5
171	жизнь организма	1	5
172	той же	3	5
173	это не	10	5
174	в ее	2	5
175	что и	16	5
176	с их	1	5
177	в которой	5	5
178	тому что	4	5
179	между ними	2	5
180	в этих	10	5
181	в себя	2	5
182	и по	8	5
183	таким путем	4	5
184	не было	7	5
185	во второй	1	5
186	как это	1	5
187	далеко не	4	5
188	только то	3	5
189	от того	9	5
190	в большинстве	1	5
191	заключается в	3	5
192	что может	1	5
193	ничего не	2	5
194	в заключение	1	5
195	в общем	1	5
196	с которыми	3	4
197	а потому	14	4
198	мы и	1	4
199	в последнем	2	4
200	как с	1	4
201	мысли и	9	4
202	сам по	5	4
203	в виду	2	4
204	по себе	24	4
205	если бы	23	4
206	именно в	2	4
207	в собственном	4	4
208	может стать	3	4
209	связанные с	3	4
210	как в	18	4
211	себя и	3	4
212	этот вопрос	2	4
213	зависимости от	1	4
214	из которого	3	4
215	ничего общего	3	4
216	из тех	1	4
217	в данном	1	4
218	в котором	5	4
219	мы увидим	3	4
220	потому что	89	4
221	органическое единство	1	4
222	только как	5	4
223	и оно	1	4
224	не всегда	2	4
225	в этот	1	4
226	слова и	7	4
227	только на	4	4
228	в мир	1	4
229	а только	8	4
230	в истории	8	4
231	так же	7	4
232	свою очередь	8	4
233	связанных с	1	4
234	на которые	1	4
235	на него	6	4
236	в своем	3	4
237	одна из	4	4
238	и внешней	1	4
239	только с	1	4
240	но это	7	4
241	едва ли	1	4
242	дает нам	2	4
243	влияние на	4	4
244	что оно	5	4
245	этот процесс	1	4
246	в психологии	1	4
247	и за	1	4
248	этом отношении	1	4
249	внутренней и	1	4
250	тем не	11	4
251	человека в	3	4
252	таком случае	4	4
253	у него	3	4
254	мы находим	3	4
255	не существует	2	4
256	в голову	1	4
257	в зависимости	1	4
258	нисколько не	2	4
259	на язык	7	4
260	и вообще	5	4
261	человека к	1	4
262	не имеющие	1	4
263	это как	1	4
264	в таких	2	4
265	период развития	1	4
266	в основных	1	4
267	не дает	2	4
268	то ни	3	4
269	в развитии	2	4
270	и может	5	4
271	должны быть	11	4
272	в другом	3	4
273	этой теории	4	4
274	к ней	3	4
275	главным образом	4	4
276	в области	1	4
277	его к	3	4
278	с ее	2	4
279	в целом	3	4
280	ответ на	2	3
281	себе самом	1	3
282	не так	6	3
283	собственном смысле	2	3
284	во втором	6	3
285	для всех	6	3
286	до сих	5	3
287	него только	1	3
288	основное понятие	2	3
289	же объясняется	1	3
290	и при	6	3
291	это уже	1	3
292	связанное с	3	3
293	о которой	2	3
294	мы в	2	3
295	утверждает что	3	3
296	для них	2	3
297	в результате	1	3
298	нет никакого	1	3
299	и тот	1	3
300	в них	7	3
301	не сможет	1	3
302	оно не	4	3
303	и даже	4	3
304	психологии и	1	3
305	все то	2	3
306	все его	2	3
307	их в	2	3
308	это содержание	1	3
309	и чувств	2	3
310	не делает	1	3
311	притом в	1	3
312	приводит к	1	3
313	мыслей и	1	3
314	две группы	2	3
315	которое не	1	3
316	где оно	2	3
317	в обществе	3	3
318	что мы	11	3
319	раз и	1	3
320	ни на	1	3
321	сознания в	2	3
322	одной и	4	3
323	между двумя	1	3
324	имеет дело	2	3
325	в одном	13	3
326	и той	4	3
327	уже в	5	3
328	как на	5	3
329	не совсем	3	3
330	на две	2	3
331	тем же	4	3
332	в нашем	2	3
333	непосредственно из	1	3
334	находится в	2	3
335	с этими	1	3
336	о том	6	3
337	во всей	1	3
338	в сознании	8	3
339	на этот	2	3
340	всего к	1	3
341	какой степени	1	3
342	а следовательно	1	3
343	из него	3	3
344	того же	13	3
345	не найдем	1	3
346	бы то	2	3
347	переходим к	2	3
348	только не	2	3
349	и то	4	3
350	видели что	2	3
351	мы видим	5	3
352	мир в	1	3
353	они не	5	3
354	к человеку	1	3
355	к себе	1	3
356	не будем	1	3
357	из основных	2	3
358	не без	2	3
359	к сознанию	3	3
360	у нас	3	3
361	и притом	6	3
362	этого не	2	3
363	одним из	2	3
364	на себя	1	3
365	возможно только	6	3
366	но для	1	3
367	развития как	1	3
368	такой же	4	3
369	случае не	1	3
370	во внутренней	3	3
371	и как	11	3
372	есть только	16	3
373	и сам	1	3
374	на все	5	3
375	один и	1	3
376	представляется нам	4	3
377	в свой	1	3
378	и следовательно	4	3
379	в условиях	1	3
380	же касается	1	3
381	себе и	2	3
382	единство и	1	3
383	и таким	1	3
384	под влиянием	10	3
385	сих пор	5	3
386	этих двух	1	3
387	остается в	1	3
388	в г	2	3
389	выйти за	1	3
390	в самых	2	3
391	между тем	7	3
392	в какой	2	3
393	когда он	1	3
394	и ни	1	3
395	как не	4	3
396	или как	2	3
397	но во	3	3
398	себя в	1	3
399	природы и	1	3
400	мы называем	4	3
401	бы он	1	3
402	них не	3	3
403	для образования	2	3
404	и от	5	3
405	и есть	4	3
406	на другие	1	3
407	оно может	2	3
408	нуждается в	2	3
409	сказать о	1	3
410	а как	3	3
411	независимо от	15	3
412	если это	2	3
413	на это	2	3
414	для самого	5	2
415	и другие	1	2
416	и самое	3	2
417	в тени	1	2
418	и этот	1	2
419	для ребенка	1	2
420	самого себя	4	2
421	к этой	3	2
422	жизни а	1	2
423	которые он	1	2
424	его с	3	2
425	должна быть	4	2
426	которых мы	3	2
427	ровно ничего	1	2
428	тогда когда	15	2
429	для себя	4	2
430	человек может	2	2
431	которые на	1	2
432	без исключения	1	2
433	и их	6	2
434	в применении	3	2
435	быть отнесено	1	2
436	в некоторых	4	2
437	не как	4	2
438	не исчерпывается	2	2
439	находятся в	3	2
440	в науке	1	2
441	по-видимому не	1	2
442	из того	3	2
443	нас в	2	2
444	для нас	29	2
445	и об	1	2
446	в отношении	1	2
447	же что	2	2
448	нашей душевной	1	2
449	жизни ребенка	2	2
450	нас к	1	2
451	их не	2	2
452	чувства и	16	2
453	в первом	5	2
454	но все	4	2
455	разложения и	1	2
456	с таким	3	2
457	равно как	1	2
458	вывести из	3	2
459	содержание и	1	2
460	теми же	1	2
461	из всего	2	2
462	к другим	3	2
463	отношения к	2	2
464	для сознания	2	2
465	в мире	3	2
466	и они	2	2
467	приходит в	1	2
468	а именно	1	2
469	и так	1	2
470	человека на	1	2
471	его все	1	2
472	явлений и	3	2
473	мы только	1	2
474	предмета и	3	2
475	только для	7	2
476	не имеет	9	2
477	отличается от	1	2
478	да и	1	2
479	роли в	1	2
480	эта сила	1	2
481	при помощи	2	2
482	все они	3	2
483	но их	1	2
484	его и	1	2
485	в такой	2	2
486	представления но	1	2
487	должно быть	9	2
488	одни из	1	2
489	вопрос о	5	2
490	этот механизм	1	2
491	и начинается	1	2
492	в круг	1	2
493	доказать что	2	2
494	в течение	2	2
495	одной стороны	6	2
496	относится к	5	2
497	таком виде	2	2
498	и уже	6	2
499	и теперь	1	2
500	для нее	4	2
501	с чувством	2	2
502	его уже	1	2
503	психологии но	1	2
504	значение для	1	2
505	снова и	1	2
506	при таких	3	2
507	распадается на	1	2
508	в различных	1	2
509	к делу	1	2
510	превращается в	2	2
511	еще более	2	2
512	цели и	1	2
513	на первых	1	2
514	всего этого	1	2
515	продолжает жить	1	2
516	с другой	13	2
517	в прошлом	1	2
518	в отличие	1	2
519	которого они	1	2
520	мыслей которые	1	2
521	наука и	1	2
522	заметить что	7	2
523	мог бы	5	2
524	и во	6	2
525	часть целого	1	2
526	смотрят на	1	2
527	только при	3	2
528	то она	3	2
529	не имели	1	2
530	теории и	2	2
531	воли и	1	2
532	только его	1	2
533	душевная жизнь	1	2
534	были в	1	2
535	теперь уже	2	2
536	друг друга	6	2
537	бы в	6	2
538	но так	1	2
539	только о	2	2
540	организме и	1	2
541	в связь	1	2
542	жизни но	2	2
543	как к	1	2
544	что с	3	2
545	мы могли	1	2
546	ничем не	2	2
547	зависит от	6	2
548	с одной	7	2
549	такого рода	1	2
550	в состоянии	5	2
551	еще больше	1	2
552	ни было	4	2
553	для всего	1	2
554	что при	6	2
555	который необходим	1	2
556	такое же	3	2
557	для своего	1	2
558	о нем	1	2
559	то мы	4	2
560	но как	4	2
561	на которой	1	2
562	остаются для	1	2
563	же такое	1	2
564	представлений и	1	2
565	весь мир	1	2
566	в следующем	1	2
567	внешнего мира	3	2
568	в их	3	2
569	на образование	2	2
570	а на	2	2
571	отказаться от	1	2
572	обратимся к	1	2
573	и представления	1	2
574	ее от	1	2
575	не нуждается	2	2
576	будто бы	1	2
577	которые мы	7	2
578	ни об	1	2
579	дело в	3	2
580	все наше	2	2
581	чувства к	2	2
582	как его	1	2
583	по их	1	2
584	между собою	10	2
585	на другую	1	2
586	и психология	1	2
587	он в	1	2
588	если и	3	2
589	есть та	1	2
590	же как	1	2
591	всем своем	1	2
592	не есть	13	2
593	рядом с	3	2
594	место и	1	2
595	но когда	1	2
596	стремление к	3	2
597	следовательно и	2	2
598	как ее	1	2
599	от этого	2	2
600	о которых	5	2
601	это было	3	2
602	применении к	3	2
603	должен быть	2	2
604	в эту	2	2
605	жизни то	1	2
606	что как	4	2
607	в одной	2	2
608	к больному	2	2
609	связаны с	1	2
610	с первого	1	2
611	на них	1	2
612	к психологии	1	2
613	ко всему	1	2
614	могли бы	4	2
615	не то	3	2
616	же с	8	2
617	наука о	1	2
618	отличие от	1	2
619	а его	3	2
620	только другая	1	2
621	его не	3	2
622	на другой	2	2
623	всегда может	1	2
624	к этим	2	2
625	объясняется и	1	2
626	или же	7	2
627	речи и	11	2
628	и тем	5	2
629	одним словом	5	2
630	если же	5	2
631	всех других	1	2
632	и та	1	2
633	в нашей	2	2
634	входит в	1	2
635	в нас	10	2
636	не следует	6	2
637	этом смысле	4	2
638	проникнуть в	1	2
639	но вместе	4	2
640	что бы	2	2
641	думать что	6	2
642	для жизни	1	2
643	когда мы	4	2
644	и поэтому	2	2
645	но эти	4	2
646	закона который	1	2
647	ли мы	1	2
648	речь и	2	2
649	образом в	5	2
650	или другими	1	2
651	необходим для	1	2
652	становится уже	1	2
653	но если	4	2
654	из этого	2	2
655	там где	8	2
656	человек не	2	2
657	то в	6	2
658	чтобы не	3	2
659	он должен	2	2
660	как для	2	2
661	телу и	1	2
662	не отличается	1	2
663	не к	1	2
664	это новое	1	2
665	при воспоминании	1	1
666	их при	1	1
667	в особенности	1	1
668	к сожалению	1	1
669	во всем	5	1
670	всех отношениях	1	1
671	аналогии с	1	1
672	бы они	2	1
673	не нашел	1	1
674	несомненно что	2	1
675	образом и	2	1
676	языка который	1	1
677	только из	3	1
678	в ком	1	1
679	ребенка и	1	1
680	ни малейшего	3	1
681	и здесь	1	1
682	та же	1	1
683	дальнейшей жизни	1	1
684	он предполагает	1	1
685	менее он	1	1
686	форме что	1	1
687	различия в	3	1
688	этого направления	1	1
689	необходимость его	1	1
690	же группе	1	1
691	то есть	69	1
692	двух направлений	1	1
693	душевного развития	1	1
694	насколько оно	1	1
695	мы при	1	1
696	находясь в	1	1
697	сходство с	2	1
698	этому требованию	1	1
699	ребенку с	1	1
700	которые не	5	1
701	чем сильнее	2	1
702	судить о	3	1
703	именно того	2	1
704	познания и	2	1
705	до него	1	1
706	группы к	1	1
707	и прочих	1	1
708	же чувства	1	1
709	и должно	2	1
710	или по	2	1
711	дело с	2	1
712	его содержание	2	1
713	само собою	4	1
714	чувства как	1	1
715	не обращать	1	1
716	нужно искать	1	1
717	и дает	1	1
718	даже в	1	1
719	была бы	3	1
720	не всякий	1	1
721	из всех	1	1
722	мы чувствуем	3	1
723	в разных	2	1
724	с внутренней	1	1
725	отношении к	1	1
726	о чувственности	1	1
727	же предмета	3	1
728	тоже только	1	1
729	этим явлениям	1	1
730	по выражению	1	1
731	ни стало	1	1
732	психическое так	1	1
733	никак не	3	1
734	но тем	6	1
735	человек есть	2	1
736	в другой	4	1
737	от особенностей	1	1
738	никогда бы	1	1
739	теряет своей	1	1
740	его во	1	1
741	что человек	6	1
742	задолго до	1	1
743	для врача	1	1
744	потому не	1	1
745	же методы	1	1
746	от общего	2	1
747	заметим что	1	1
748	остановиться на	1	1
749	извне и	1	1
750	а есть	1	1
751	области не	1	1
752	его от	2	1
753	близки к	2	1
754	по-видимому и	1	1
755	только за	1	1
756	его собственный	1	1
757	быть может	6	1
758	именно эти	1	1
759	сознание с	1	1
760	человека во	1	1
761	значения как	1	1
762	думаем что	2	1
763	нельзя ни	1	1
764	этом как	1	1
765	и эти	1	1
766	происходят и	1	1
767	психологическая теория	2	1
768	такого же	2	1
769	должен был	1	1
770	от их	4	1
771	человека только	1	1
772	как они	1	1
773	чтобы в	1	1
774	этим путем	1	1
775	что нет	2	1
776	начинается с	1	1
777	ко всем	4	1
778	поэтому его	1	1
779	но только	2	1
780	во что	1	1
781	не более	4	1
782	время как	2	1
783	отличаются от	1	1
784	в органах	1	1
785	этой цели	3	1
786	их и	2	1
787	на волю	1	1
788	на такой	2	1
789	каким образом	3	1
790	из следующих	1	1
791	показать что	1	1
792	этом месте	1	1
793	мы говорим	3	1
794	одною из	3	1
795	это состояние	1	1
796	корень всех	1	1
797	любовь и	1	1
798	оно есть	1	1
799	в мыслях	1	1
800	вопрос этот	1	1
801	только можно	1	1
802	был связан	1	1
803	есть именно	1	1
804	так бывает	1	1
805	как при	2	1
806	человека для	1	1
807	своей души	1	1
808	он будет	1	1
809	тем что	15	1
810	тела и	2	1
811	бы открыть	2	1
812	то время	3	1
813	может перейти	1	1
814	не дело	2	1
815	особенно те	1	1
816	например в	4	1
817	с тем	9	1
818	когда это	1	1
819	в решение	1	1
820	имеет место	4	1
