N	3gram	Ircho_Kome	VLabPisa
1	и т д	1	16
2	в этом отношении	2	14
3	и т п	4	9
4	не может быть	1	8
5	с другой стороны	2	8
6	по отношению к	4	7
7	по этому поводу	1	7
8	более или менее	2	6
9	в том что	15	5
10	в конечном счете	2	5
11	в зависимости от	1	5
12	в то же	11	5
13	то же время	11	5
14	вместе с тем	5	4
15	равно как и	3	4
16	можно сказать что	1	4
17	не было бы	1	4
18	в силу этого	1	4
19	в связи с	3	4
20	к тому что	1	4
21	о том как	5	3
22	для того чтобы	8	3
23	о том что	7	3
24	подобно тому как	1	3
25	в этой области	1	3
26	и в то	2	3
27	следует понимать как	1	2
28	одной стороны и	2	2
29	на эти вопросы	1	2
30	ни один из	1	2
31	во сне не	1	2
32	во всяком случае	3	2
33	в том чтобы	1	2
34	по крайней мере	1	2
35	как об этом	1	2
36	в чем же	2	2
37	во всех его	1	2
38	этой точки зрения	1	2
39	в том числе	2	2
40	таким образом в	1	2
41	но и он	1	2
42	чуть ли не	2	2
43	в противном случае	1	2
44	до сих пор	12	2
45	не было в	1	2
46	в конце концов	3	2
47	том числе и	2	2
48	не только в	1	2
49	и никогда не	1	2
50	из них не	1	2
51	т е в	2	2
52	по этому вопросу	1	2
53	только в том	1	2
54	с одной стороны	4	2
55	можно было бы	1	2
56	после того как	3	2
57	и не может	1	2
58	первая из них	1	1
59	так же как	1	1
60	что он не	3	1
61	сих пор не	2	1
62	имеет ничего общего	1	1
63	в свою очередь	10	1
64	в том же	2	1
65	право говорить о	1	1
66	да и сам	1	1
67	как будто бы	1	1
68	этой области не	1	1
69	но вместе с	1	1
70	следует забывать что	1	1
71	по существу своему	1	1
72	приходится признать что	1	1
73	из действующих лиц	1	1
74	в каждой из	1	1
75	в какой мере	2	1
76	на то что	1	1
77	но и в	1	1
78	освобождает его от	1	1
79	как мы знаем	1	1
80	это явствует из	1	1
81	на предыдущих страницах	1	1
82	т е чисто	1	1
83	в этом же	1	1
84	как это было	1	1
85	по сравнению с	3	1
86	три с половиной	1	1
87	его роль в	1	1
88	один из них	1	1
89	может быть даже	1	1
90	имеем в виду	2	1
91	т е из	1	1
92	его т е	1	1
93	и без того	1	1
94	то время как	3	1
95	бы он был	1	1
96	и не слишком	1	1
97	в этом случае	2	1
98	говоря уже о	2	1
99	с этой точки	1	1
100	в самом деле	13	1
101	хотя может быть	1	1
102	не один раз	1	1
103	и тем более	2	1
104	таким образом для	1	1
105	как это явствует	1	1
106	у него в	1	1
107	далеко не всегда	1	1
108	признать что и	1	1
109	в то время	3	1
110	на этот вопрос	1	1
111	как раз с	1	1
112	не говоря уже	2	1
113	так или иначе	3	1
114	хотя и не	2	1
115	ничего общего с	1	1
116	что мы имеем	1	1
117	что он в	2	1
118	по меньшей мере	1	1
119	за это время	1	1
120	и есть для	2	1
121	в соответствии с	1	1
122	главным образом в	1	1
123	что его можно	1	1
124	он и не	2	1
125	не следует забывать	1	1
126	если он не	1	1
127	к тому же	9	1
128	не имеет ничего	1	1
129	дошедших до нас	3	1
130	только один из	1	1
131	об этом свидетельствует	1	1
132	то же самое	3	1
133	сама по себе	1	1
134	в каком направлении	1	1
135	по его мнению	2	1
136	но все же	3	1
137	лицом к лицу	1	1
138	в системе образов	1	1
139	в этом однако	1	1
140	нет ни одного	1	1
141	сказать что ни	1	1
142	вопрос о том	1	1
143	оказывается перед необходимостью	1	1
144	таким образом и	2	1
145	нельзя не признать	1	1
146	в виду что	1	1
147	к этому же	1	1
148	и речи о	3	1
149	речи о каком-либо	1	1
150	если бы он	3	1
