N	2gram	Medvedev_S	Hudozhes
1	в мире	1	24
2	и в	3	23
3	не только	3	20
4	в том	5	20
5	может быть	2	19
6	в частности	2	18
7	и не	1	16
8	но и	2	14
9	но не	1	13
10	а в	1	13
11	в этом	5	12
12	то же	2	12
13	так и	1	12
14	и его	1	12
15	как бы	2	11
16	в его	3	11
17	по отношению	2	10
18	отношению к	2	10
19	том что	2	9
20	с другой	1	9
21	не в	3	9
22	не может	1	9
23	в области	1	8
24	в то	1	8
25	что в	2	7
26	только в	2	7
27	в своей	1	7
28	же время	1	7
29	я и	1	7
30	конечном счете	1	5
31	что он	1	5
32	искусство слова	1	5
33	иначе говоря	1	5
34	прежде всего	1	5
35	в конечном	1	5
36	между ними	1	5
37	то что	2	5
38	место в	1	5
39	еще не	2	4
40	в данном	1	4
41	к которому	2	4
42	это не	1	4
43	его в	1	4
44	и как	1	4
45	в этих	1	4
46	между тем	1	4
47	и что	2	4
48	далеко не	2	4
49	и о	1	4
50	в силу	1	4
51	литературы как	1	3
52	даже в	1	3
53	как и	1	3
54	одной стороны	1	3
55	как совокупность	1	3
56	о литературе	3	3
57	таким образом	2	3
58	с одной	1	3
59	связи с	1	3
60	объекта и	1	3
61	в связи	1	3
62	или даже	2	3
63	в целом	1	3
64	более не	1	2
65	один из	1	2
66	с ним	1	2
67	том и	1	2
68	по себе	1	2
69	в них	1	2
70	все эти	1	2
71	именно в	1	2
72	из тех	1	2
73	о том	1	2
74	могут оказаться	1	2
75	это и	2	2
76	еще и	1	2
77	между собой	1	2
78	вступает в	1	2
79	может служить	1	2
80	в противном	1	2
81	никогда не	1	2
82	и по	1	2
83	истории литературы	10	2
84	все это	7	2
85	у него	1	2
86	и более	1	2
87	не от	1	2
88	что она	1	2
89	сама по	1	2
90	тому что	1	2
91	противном случае	1	2
92	в чем	1	2
93	вовсе не	1	2
94	тем более	2	2
95	и потому	1	2
96	но как	1	2
97	а с	1	2
98	дело не	2	2
99	но она	1	2
100	за пределы	2	2
101	но только	1	2
102	ни одно	1	2
103	в этой	1	2
104	столь же	1	2
105	право на	1	2
106	отнюдь не	1	2
107	говоря иначе	1	2
108	литература как	1	1
109	тех кто	1	1
110	что это	1	1
111	в сущности	1	1
112	те же	1	1
113	в область	1	1
114	бы они	1	1
115	в результате	2	1
116	все то	1	1
117	мы понимаем	1	1
118	который говоря	1	1
119	тем что	1	1
120	и будет	1	1
121	все же	1	1
122	только для	1	1
123	себе чтобы	1	1
124	друг от	1	1
125	они ни	1	1
126	на первый	1	1
127	по крайней	1	1
128	перед нами	1	1
129	в котором	1	1
130	зависит от	1	1
131	более чем	3	1
132	наконец в	1	1
133	художественных произведений	1	1
134	быть не	1	1
135	время в	1	1
136	писатель как	1	1
137	в строгом	1	1
138	на основании	1	1
139	ни были	1	1
140	именно такого	1	1
141	эти два	1	1
142	настоящее время	1	1
143	она может	2	1
144	тем же	1	1
145	что все	1	1
146	к субъекту	1	1
147	в систему	1	1
148	в настоящее	1	1
149	пришлось бы	1	1
150	крайней мере	1	1
151	представить себе	1	1
152	что автор	1	1
153	есть процесс	1	1
154	они не	1	1
155	может не	1	1
156	же этот	1	1
157	чтобы сделаться	1	1
158	для нас	3	1
159	и есть	1	1
160	без этого	1	1
161	ведь это	2	1
162	в таких	1	1
163	не было	1	1
164	от друга	1	1
165	же по	1	1
166	но одно	1	1
167	в конце	2	1
168	это происходит	1	1
169	ли не	1	1
170	изучение художественных	1	1
171	бы в	1	1
172	в каждом	1	1
173	опираясь на	1	1
174	он говорит	1	1
175	от окружающих	1	1
176	он ни	1	1
177	границы и	1	1
178	не дает	1	1
179	не один	1	1
180	для этого	1	1
181	только то	1	1
182	когда мы	1	1
183	этом не	1	1
184	было бы	2	1
185	а тем	1	1
186	же самое	1	1
187	к изучению	1	1
188	в лучшем	1	1
189	на отдельные	1	1
190	как будто	2	1
191	лучшем случае	1	1
192	в него	1	1
