N	2gram	Vinokur_St	Otkroven
1	у него	3	22
2	и в	61	19
3	и не	23	13
4	но и	28	13
5	в этом	37	12
6	а не	19	11
7	не только	36	11
8	не в	15	11
9	может быть	16	11
10	вопрос о	9	10
11	и все	3	10
12	в нем	9	10
13	потому что	13	9
14	прежде всего	11	9
15	не было	7	9
16	никогда не	7	9
17	и он	2	8
18	он был	5	8
19	от него	1	7
20	ни с	3	7
21	в его	19	7
22	он не	11	7
23	но он	5	7
24	лишь в	3	7
25	до конца	4	7
26	все это	13	6
27	как и	11	6
28	в самом	14	5
29	в творчестве	1	5
30	в том	56	5
31	нужно искать	4	5
32	для него	10	5
33	него в	1	5
34	в этой	13	5
35	а в	18	5
36	отношение к	3	5
37	в россии	7	5
38	то что	27	5
39	все в	2	4
40	что в	41	4
41	только и	1	4
42	того чтобы	15	4
43	т е	21	4
44	не может	10	4
45	что не	3	4
46	все эти	7	4
47	курсив мой	1	4
48	и его	11	4
49	он сам	1	4
50	с его	3	4
51	только одно	1	3
52	в русской	4	3
53	и от	2	3
54	все что	1	3
55	чем на	1	3
56	что человек	1	3
57	и вот	1	3
58	хотя бы	8	3
59	это за	1	3
60	это не	8	3
61	для того	15	3
62	когда он	1	3
63	легенде о	1	3
64	он лишь	1	3
65	в этих	5	3
66	не могут	2	3
67	в своих	2	3
68	как бы	8	3
69	было бы	21	3
70	могут быть	5	3
71	в себе	3	3
72	и есть	1	3
73	что он	23	3
74	никто не	4	3
75	различие между	1	3
76	это было	2	3
77	о том	30	3
78	того что	14	3
79	к нему	2	3
80	еще не	4	3
81	и к	5	2
82	как к	3	2
83	искать не	2	2
84	и потому	3	2
85	так и	15	2
86	что они	9	2
87	и то	6	2
88	и против	1	2
89	всего и	1	2
90	все же	12	2
91	что у	8	2
92	никогда и	1	2
93	не могли	1	2
94	так как	7	2
95	и очень	5	2
96	к этой	1	2
97	даже и	2	2
98	к ней	1	2
99	его не	3	2
100	уже в	3	2
101	в другом	5	2
102	совсем не	3	2
103	так что	8	2
104	в своем	8	2
105	с тем	3	2
106	и из	1	2
107	в которой	13	2
108	ее в	2	2
109	о которой	3	2
110	не все	3	2
111	и этим	1	2
112	одно из	3	2
113	что и	8	2
114	которую он	3	2
115	россии в	1	2
116	потребность в	1	2
117	кажется и	1	2
118	в уста	3	2
119	можно ли	5	2
120	в истории	5	2
121	ума и	1	2
122	его в	4	2
123	должен был	5	2
124	чем в	3	2
125	их не	1	2
126	ведь это	1	2
127	мысль о	2	2
128	вместо того	1	2
129	не очень	2	2
130	и с	6	2
131	что же	6	2
132	те которые	2	2
133	и там	1	2
134	он в	1	2
135	было для	2	2
136	и о	4	2
137	сказать что	9	2
138	что для	4	2
139	тем что	6	2
140	него не	1	2
141	что есть	1	2
142	и на	7	2
143	в других	2	2
144	же можно	1	2
145	что все	3	2
146	ничего не	6	2
147	хотя и	4	2
148	в своей	12	2
149	по себе	3	2
150	не имеет	5	2
151	к этому	4	2
152	сразу же	1	2
153	и никогда	1	2
154	же это	3	2
155	том что	49	2
156	и для	4	2
157	что ведь	1	2
158	в ее	6	2
159	но в	16	2
160	вокруг которого	1	1
161	влагает в	1	1
162	чтобы сделать	2	1
163	что было	3	1
164	ближе к	1	1
165	к одному	1	1
166	в каждом	3	1
167	одно время	1	1
168	презрение к	1	1
169	богатого и	2	1
170	их чувств	1	1
171	во всяком	8	1
172	связан с	3	1
173	не так	2	1
174	лет назад	2	1
175	ни к	1	1
176	его и	1	1
177	попал в	1	1
178	поэмы не	1	1
179	совершенно не	7	1
180	том случае	1	1
181	а потому	2	1
182	нужно отметить	2	1
183	темам и	1	1
184	вот оказывается	1	1
185	но оно	1	1
186	на человека	1	1
187	которой все	1	1
188	еще одну	1	1
189	а с	6	1
190	не существует	4	1
191	все его	1	1
192	и других	1	1
193	один из	1	1
194	которым он	1	1
195	в котором	11	1
196	и здесь	2	1
197	а вовсе	1	1
198	характер его	1	1
199	тому кто	1	1
200	существует лишь	1	1
201	они и	1	1
202	вот о	1	1
203	для русской	2	1
204	же и	4	1
205	которых в	3	1
206	и лишь	2	1
207	после того	5	1
208	я имею	1	1
209	не имеют	2	1
210	каждом из	1	1
211	но о	1	1
212	того как	8	1
213	к одной	1	1
214	нет такой	2	1
215	который всегда	2	1
216	и пр	4	1
217	в том-то	2	1
218	она не	3	1
219	том как	4	1
220	должна быть	3	1
221	мы не	3	1
222	не могу	2	1
223	бы даже	1	1
224	но еще	1	1
225	больше всего	2	1
226	ней нужно	1	1
227	иных случаях	2	1
228	притом не	1	1
229	один только	1	1
230	смысле слова	1	1
231	которого сосредоточивается	1	1
232	еще больше	1	1
233	судьба его	1	1
234	еще более	5	1
235	также и	10	1
236	ту же	1	1
237	но не	5	1
238	по сравнению	1	1
239	него была	1	1
240	силе и	1	1
241	не по	5	1
242	с какой	1	1
243	быть не	2	1
244	не быть	1	1
245	от которого	2	1
246	был бы	1	1
247	в ней	9	1
248	из всех	1	1
249	и своим	1	1
250	еще страшнее	1	1
251	на два	1	1
252	и дело	2	1
253	я отвечаю	1	1
254	что это	5	1
255	свою мысль	1	1
256	и тогда	2	1
257	а это	1	1
258	этом отношении	13	1
259	один человек	1	1
260	это тема	1	1
261	всяком случае	8	1
262	он и	1	1
263	о чем	4	1
264	в свое	3	1
265	в сущности	2	1
266	действующих лиц	1	1
267	она стала	1	1
268	кажется что	5	1
269	лучше сказать	2	1
270	сам по	1	1
271	в частности	6	1
272	говорит о	5	1
273	как это	6	1
274	ни был	1	1
275	о нем	1	1
276	не оставляет	2	1
277	люди с	1	1
278	чем у	2	1
279	только один	1	1
280	что только	2	1
281	чего не	1	1
282	на нем	1	1
283	и тут	1	1
284	со всей	1	1
