N	4gram	Vygotskiy_	Russkaja
1	в то же время	1	10
2	друг с другом и	1	2
3	бы то ни было	1	1
4	в совершенно ином виде	1	1
5	дело в том что	2	1
6	указывает на то что	3	1
7	в каждый данный момент	1	1
8	все до сих пор	1	1
9	можно было бы показать	1	1
10	было бы показать что	1	1
11	заключается в том что	6	1
12	с точки зрения житейской	1	1
13	только для того чтобы	1	1
14	сводится к тому что	3	1
15	свидетельствуют о том что	1	1
16	которых мы говорили выше	1	1
17	уверены в том что	1	1
18	что с точки зрения	1	1
19	в том что для	1	1
20	речи быть не может	1	1
21	на то что эта	1	1
22	что ни одна из	1	1
23	несмотря на то что	1	1
24	одного и того же	2	1
25	о котором мы говорили	2	1
26	о которых мы говорили	1	1
27	в том виде как	1	1
