N	2gram	Tiupa_Lite	Retstnzi
1	не может	10	4
2	и в	26	3
3	если в	2	2
4	в центре	1	2
5	один из	7	2
6	общения и	1	2
7	может и	1	1
8	в особенности	2	1
9	в иную	1	1
10	несмотря на	3	1
11	может быть	24	1
12	не только	29	1
13	точки зрения	8	1
14	с точки	4	1
15	и поэтика	1	1
16	для него	6	1
17	подхода к	1	1
18	в ней	4	1
19	тех же	3	1
20	в каждом	2	1
21	связи с	7	1
22	из крупнейших	1	1
23	бы на	2	1
24	обязывает к	1	1
25	можно и	2	1
26	с другими	1	1
27	или иными	1	1
28	если бы	1	1
29	в школе	1	1
30	художественного произведения	1	1
31	исходя из	3	1
32	литературного произведения	4	1
33	в его	9	1
34	и тому	1	1
35	ничего кроме	2	1
36	не менее	11	1
37	деятельности в	4	1
38	но и	25	1
39	о художественной	1	1
40	к тому	3	1
41	во второй	2	1
42	сравнении с	2	1
43	можно назвать	1	1
44	тому что	1	1
45	языка как	1	1
46	вопрос что	1	1
47	теми или	1	1
48	в то	12	1
49	из этих	2	1
50	он в	1	1
51	ни один	1	1
52	же время	12	1
53	то же	13	1
54	а не	28	1
55	бы в	1	1
56	нет и	1	1
57	искусство как	1	1
58	в системе	1	1
59	и не	19	1
60	на нее	2	1
61	о литературе	2	1
62	и все	1	1
63	и на	5	1
64	себя от	1	1
65	русской литературы	3	1
66	художественного целого	3	1
