N	3gram	Tiupa_Disk	Tvorches
1	в то же	7	25
2	то же время	9	24
3	там же с	1	12
4	в том что	18	11
5	в соответствии с	4	8
6	о том что	8	8
7	и в то	2	7
8	по сути дела	3	7
9	в конечном счете	2	6
10	не может быть	5	6
11	в самом деле	1	5
12	в наше время	4	5
13	по отношению к	13	5
14	в русской литературе	2	5
15	в xix веке	1	4
16	до сих пор	1	4
17	по крайней мере	3	4
18	с точки зрения	3	4
19	в одной из	2	4
20	дело в том	3	4
21	с самого начала	2	4
22	это прежде всего	3	4
23	во главе с	1	3
24	дело не в	1	3
25	в таком случае	1	3
26	сами по себе	2	3
27	том что в	3	3
28	в отличие от	12	3
29	во всяком случае	2	3
30	как и в	3	3
31	едва ли не	2	3
32	с другой стороны	4	3
33	добра и зла	1	3
34	и все же	3	3
35	и не может	3	3
36	что он не	1	2
37	в данном случае	6	2
38	и в другом	1	2
39	заключает в себе	1	2
40	в е годы	2	2
41	в том числе	3	2
42	тем не менее	1	2
43	так и в	4	2
44	но при этом	3	2
45	не сводится к	4	2
46	том числе и	3	2
47	к тому же	4	2
48	не могут быть	1	2
49	при этом он	1	2
50	в целом и	1	2
51	несмотря на все	1	2
52	в известном смысле	1	2
53	никогда не было	1	2
54	в связи с	1	2
55	в своем творчестве	1	2
56	в свою очередь	3	2
57	но прежде всего	1	2
58	вместе с тем	1	2
59	заключается в том	1	2
60	только то что	2	2
61	на ранних стадиях	1	2
62	можно сказать что	3	2
63	место в творчестве	1	2
64	на самом деле	1	2
65	именно в этом	1	2
66	содержит в себе	3	2
67	он сам в	1	2
68	не только в	2	2
69	но отнюдь не	2	2
70	в первую очередь	3	2
71	нет и не	1	2
72	тогда как в	5	1
73	если можно так	2	1
74	лицо к которому	1	1
75	одно из главных	1	1
76	в этот период	1	1
77	художественного произведения как	1	1
78	и как бы	5	1
79	на всем протяжении	1	1
80	как будто бы	2	1
81	не было в	3	1
82	человека в мире	1	1
83	в сочетании с	1	1
84	и даже не	1	1
85	отношению к самому	1	1
86	о том как	1	1
87	решающую роль в	1	1
88	что в одном	1	1
89	в пиковой даме	1	1
90	то есть является	1	1
91	за самим собой	1	1
92	по справедливому замечанию	3	1
93	хотя бы и	1	1
94	он не может	1	1
95	так и от	1	1
96	необходимо отметить что	1	1
97	что ведет к	1	1
98	но в таком	1	1
99	предлагаемая вниманию читателя	1	1
100	так например в	1	1
101	и вследствие этого	2	1
102	что в них	2	1
103	составляет один из	1	1
104	в частности в	2	1
105	друг на друга	1	1
106	очередь по отношению	1	1
107	бахтина о том	1	1
108	то что может	1	1
109	потому что в	2	1
110	особое внимание на	1	1
111	и потому что	1	1
112	в этом пункте	1	1
113	в народе с	1	1
114	к этому следует	1	1
115	в ранний период	2	1
116	и далеко не	1	1
117	и прежде всего	2	1
118	в чем не	1	1
119	первую очередь по	1	1
120	оставляя открытым вопрос	1	1
121	по себе не	2	1
122	а с другой	4	1
123	было в том	1	1
124	приходит в голову	1	1
125	далеко еще не	3	1
126	и того же	4	1
127	автором и читателем	1	1
128	объединяет его с	1	1
129	одновременно с этим	1	1
130	то же самое	2	1
131	в котором нет	1	1
132	же время они	1	1
133	в нем нет	1	1
134	о том будто	1	1
135	мысль о возможности	1	1
136	или во всяком	1	1
137	и должны быть	1	1
138	на первый взгляд	1	1
139	и в том	1	1
140	можно так выразиться	2	1
141	может и не	1	1
142	жизни то есть	1	1
143	представляет собой не	1	1
144	в том и	1	1
145	того или иного	2	1
146	той или иной	6	1
147	равно как и	1	1
148	прежде всего на	1	1
149	вольно или невольно	2	1
150	он направлен на	1	1
151	не столь уж	2	1
152	может быть ни	1	1
153	это своего рода	1	1
154	не заметить что	1	1
155	в другом месте	1	1
156	общения с другой	1	1
157	можно определить как	2	1
158	в которой он	1	1
159	ту или иную	1	1
160	что же касается	4	1
161	в целом ряде	1	1
162	то что в	1	1
163	может быть в	1	1
164	но и потому	1	1
165	только в качестве	1	1
166	с одной стороны	12	1
167	одного из героев	1	1
168	прежде всего отметим	1	1
169	романа еще не	1	1
170	это еще не	2	1
171	далеко не все	1	1
172	то все же	1	1
173	жизни но в	1	1
174	в мире и	1	1
175	только потому что	1	1
176	при всей их	1	1
177	не только потому	1	1
178	в этом случае	3	1
179	уже было сказано	2	1
180	уже в е	1	1
181	между автором и	1	1
182	в первые века	1	1
183	одного и того	4	1
184	как уже было	2	1
185	тем что он	2	1
186	людей своего времени	1	1
187	в творчестве чехова	2	1
188	события но и	1	1
189	к мысли о	1	1
190	и не только	2	1
191	а нередко и	1	1
192	и делает это	1	1
193	это и есть	1	1
194	ее к себе	1	1
195	русской литературе xix	1	1
196	ни в чем	1	1
197	как уже говорилось	1	1
198	приходит на смену	1	1
