N	2gram	Trubetskoy	Literetu
1	а не	5	50
2	и не	8	47
3	не только	10	46
4	и в	26	44
5	может быть	10	43
6	при этом	3	41
7	но и	9	41
8	тогда как	1	40
9	в том	11	39
10	в этом	15	38
11	том что	7	32
12	то что	7	29
13	в мире	5	28
14	в качестве	3	27
15	то же	4	26
16	состоит в	2	26
17	как и	1	23
18	в то	4	23
19	себя в	1	22
20	не в	2	22
21	того что	3	22
22	так и	6	22
23	не может	4	22
24	же время	2	21
25	в себе	6	20
26	прежде всего	2	19
27	как бы	12	18
28	с другой	8	17
29	точки зрения	13	17
30	то есть	4	17
31	в его	5	17
32	в жизни	1	16
33	в этой	4	16
34	не менее	3	15
35	только в	4	15
36	и даже	3	14
37	по отношению	1	14
38	однако в	1	14
39	что он	4	14
40	в рамках	3	14
41	уже не	3	13
42	в своем	3	13
43	с одной	7	13
44	но не	8	13
45	и его	1	13
46	в своей	1	12
47	о том	6	12
48	в данном	1	12
49	одной стороны	7	12
50	одним из	2	12
51	еще не	2	12
52	отношению к	3	12
53	а также	2	12
54	никогда не	5	11
55	вместе с	15	11
56	как в	1	11
57	в отличие	1	11
58	с его	2	11
59	данном случае	1	11
60	это не	1	11
61	отличие от	1	11
62	или иначе	3	11
63	а в	4	11
64	даже в	1	10
65	из них	7	10
66	в ее	1	10
67	что в	9	10
68	и на	2	10
69	для себя	1	10
70	так или	3	10
71	потому что	7	10
72	этом отношении	2	10
73	жизни и	2	10
74	в области	9	10
75	с этой	3	9
76	к тому	6	9
77	представляет собой	3	9
78	связи с	9	9
79	один из	2	9
80	одно из	2	9
81	в начале	2	9
82	и т.д	6	9
83	лишь в	5	9
84	же в	1	9
85	в своих	1	8
86	тем что	1	8
87	все же	6	8
88	того же	6	8
89	ли не	1	8
90	с точки	6	8
91	как раз	1	8
92	в конце	6	8
93	а именно	1	8
94	соответствии с	1	8
95	той же	1	8
96	в глазах	2	8
97	но в	7	8
98	уже в	2	8
99	для него	3	8
100	по существу	2	8
101	и как	3	8
102	вплоть до	2	8
103	мира в	1	8
104	в самом	4	7
105	в одном	3	7
106	другой стороны	1	7
107	для всех	2	7
108	именно в	2	7
109	для этого	2	7
110	не как	2	7
111	тому же	5	7
112	он не	4	7
113	и с	10	7
114	в нем	4	7
115	по своей	2	7
116	наконец в	2	7
117	в сфере	1	7
118	друг друга	1	7
119	и для	5	7
120	перестает быть	2	7
121	у нас	1	7
122	в их	1	7
123	человека в	1	7
124	и других	1	7
125	это как	1	7
126	в виду	2	6
127	культуры в	1	6
128	казалось бы	1	6
129	как на	8	6
130	у него	1	6
131	его в	1	6
