N	4gram	Tiupa_Teor	Istorich
1	не что иное как	1	11
2	с этой точки зрения	2	6
3	точно так же как	1	6
4	есть не что иное	1	5
5	состоит в том что	5	4
6	но в отличие от	1	3
7	как это происходит в	1	3
8	с одной стороны и	1	3
9	бы то ни было	2	3
10	как один из видов	1	2
11	в том что он	2	2
12	и глубже чем это	1	2
13	шире и глубже чем	1	2
14	одно и то же	2	2
15	и здесь мы имеем	1	2
16	дело в том что	1	2
17	иметь в виду что	1	2
18	в том числе и	2	2
19	но в таком случае	1	2
20	в этих случаях оказывается	1	1
21	в противоречие с первоначальным	1	1
22	всегда так или иначе	1	1
23	в том что в	1	1
24	в связи с этим	1	1
25	заключается в том что	1	1
26	а не только на	1	1
27	и не могло быть	2	1
28	в более или менее	1	1
29	мы имеем дело не	1	1
30	в том что она	1	1
31	если он не будет	1	1
32	в данном случае это	1	1
33	случае мы имеем дело	1	1
34	мы имеем дело с	1	1
35	не содержит в себе	1	1
36	приводит к тому что	2	1
37	никак не может быть	1	1
38	какой бы то ни	1	1
39	в то же время	8	1
