N	2gram	Voloshinov	Vvedenie
1	в том	3	38
2	в этом	10	35
3	и в	42	35
4	может быть	13	30
5	том что	3	30
6	не только	28	26
7	для того	9	23
8	того чтобы	7	22
9	таким образом	8	21
10	также и	2	20
11	не может	13	19
12	то что	9	19
13	потому что	7	18
14	только в	7	16
15	со стороны	1	16
16	о том	4	16
17	так как	8	15
18	языка и	4	15
19	представляет собой	2	14
20	в общем	1	14
21	что в	1	13
22	в самом	5	13
23	и именно	1	13
24	и не	14	13
25	в нем	6	13
26	в его	6	12
27	того что	4	12
28	в их	2	12
29	точки зрения	11	12
30	что такое	4	12
31	то же	16	11
32	в ее	3	11
33	по себе	1	11
34	ясно что	2	11
35	как мы	10	11
36	прежде всего	22	10
37	не в	6	10
38	вопрос о	2	10
39	между тем	3	10
40	в той	5	10
41	но в	5	10
42	дело с	1	9
43	тем не	1	9
44	смысле этого	2	9
45	все же	9	9
46	из этих	2	9
47	но не	2	9
48	и как	10	9
49	не менее	1	9
50	в истории	1	9
51	это не	3	8
52	в качестве	4	8
53	как нечто	2	8
54	именно в	1	8
55	о котором	1	8
56	широком смысле	1	8
57	можно было	4	8
58	с другой	1	8
59	наук в	1	8
60	представить себе	3	7
61	и то	5	7
62	до сих	1	7
63	смысле слова	1	7
64	как и	12	7
65	самом деле	5	7
66	но и	16	7
67	не трудно	1	7
68	сих пор	2	7
69	в разных	3	7
70	с течением	1	7
71	было бы	7	7
72	только как	1	7
73	этот вопрос	2	7
74	как бы	30	7
75	течением времени	1	7
76	один из	4	6
77	на вопрос	1	6
78	об этом	3	6
79	этом случае	3	6
80	все это	4	6
81	не могут	1	6
82	его в	4	6
83	на этот	2	6
84	тем что	2	6
85	с тем	8	6
86	в какой	2	6
87	вместе с	5	6
88	в которых	2	6
89	же время	7	6
90	и это	8	6
91	так например	1	6
92	вовсе не	2	6
93	уже не	4	6
94	и даже	3	6
95	в руки	1	6
96	хотя бы	18	6
97	и что	1	6
98	как он	1	6
99	как например	2	6
100	о языке	2	6
101	сказать что	3	6
102	но если	1	6
103	и его	7	6
104	в то	9	6
105	а в	5	6
106	иное как	2	6
107	связь между	3	5
108	уже в	5	5
109	с этой	1	5
110	хотя и	3	5
111	язык как	1	5
112	что и	3	5
113	в виду	3	5
114	другой стороны	1	5
115	с их	1	5
116	в г	1	5
117	одним из	1	5
118	не есть	2	5
119	что он	2	5
120	приходим к	1	5
121	что иное	2	5
122	одно из	1	5
123	от этого	1	5
124	по своему	3	5
125	языка в	2	5
126	в течение	1	5
127	как уже	2	5
128	так что	1	5
129	и тем	7	5
130	а не	7	5
131	говорить о	1	5
132	дело не	1	5
133	не что	4	5
134	и т.д	21	5
135	быть в	1	5
136	независимо от	5	5
137	не просто	4	5
138	в целом	4	5
139	как это	5	5
140	есть не	2	5
141	в особенности	1	4
142	ответ на	3	4
143	в более	1	4
144	в прямом	1	4
145	языке и	1	4
146	здесь нет	1	4
147	этот процесс	2	4
148	тогда когда	1	4
