N	2gram	Bakhtin_Fr	Problemy
1	и в	73	106
2	и не	13	90
3	как бы	15	70
4	может быть	5	66
5	в его	18	56
6	в этом	21	52
7	в нем	18	51
8	не может	4	49
9	как и	19	44
10	что он	8	44
11	точки зрения	6	40
12	но и	15	40
13	для него	7	39
14	и его	18	39
15	а не	2	38
16	о себе	1	37
17	то же	16	36
18	не только	11	36
19	в пределах	1	35
20	то что	12	33
21	но в	12	33
22	прежде всего	18	32
23	он не	4	29
24	в то	14	29
25	все это	19	29
26	и все	19	28
27	в одном	5	27
28	не в	12	27
29	к другому	1	27
30	к себе	3	26
31	же время	12	26
32	в самом	9	25
33	и с	17	25
34	к нему	7	25
35	с точки	4	25
36	в сущности	8	25
37	с самим	1	24
38	не как	2	24
39	вовсе не	11	24
40	героя и	1	24
41	самом деле	4	24
42	рядом с	9	23
43	и на	12	23
44	слова и	2	23
45	по себе	2	22
46	в каждом	1	22
47	что я	1	22
48	таким образом	34	22
49	там где	1	21
50	как мы	19	21
51	все же	2	20
52	никогда не	6	20
53	только в	7	20
54	потому что	9	20
55	что же	1	19
56	что в	14	19
57	с его	5	19
58	отношению к	3	19
59	слова в	1	19
60	уже не	2	18
61	по отношению	3	18
62	в себе	16	18
63	еще не	3	18
64	о нем	3	18
65	на самом	2	18
66	но не	1	18
67	все эти	24	18
68	слово о	1	18
69	и к	6	17
70	себе самом	2	17
71	с ним	6	17
72	а в	10	17
73	в том	13	17
74	это не	7	17
75	так и	13	17
76	так же	11	16
77	в своей	4	16
78	этом смысле	1	16
79	в другом	4	16
80	у него	13	15
81	до конца	5	15
82	и для	8	15
83	и наконец	6	15
84	и сам	2	14
85	в своем	13	14
86	как раз	3	14
87	в конце	9	14
88	а как	1	14
89	другого человека	1	14
90	в отношении	6	14
91	так как	9	14
92	я не	3	14
93	он и	2	14
94	лишь в	2	14
95	но все	5	13
96	на него	2	13
97	точка зрения	2	13
98	его в	3	13
99	большинстве случаев	9	13
100	в мире	3	13
101	и это	6	13
102	героя в	2	13
103	в романе	10	13
104	себя и	1	13
105	перед нами	5	13
106	в большинстве	9	13
107	в целом	1	13
108	при этом	5	12
109	даже в	4	12
110	и как	5	12
