N	2gram	Tiupa_Disk	Marksizm
1	чужой речи	2	85
2	прямой речи	1	77
3	точки зрения	6	69
4	может быть	29	64
5	и в	27	63
6	и не	25	55
7	как бы	9	53
8	косвенной речи	1	51
9	не может	17	47
10	с точки	3	46
11	и его	4	41
12	в этом	29	39
13	таким образом	4	38
14	в процессе	6	33
15	как мы	2	32
16	языка и	3	31
17	в пределах	4	31
18	лишь в	4	30
19	не только	36	29
20	речи в	2	29
21	то же	12	28
22	чужого высказывания	1	28
23	в нем	16	28
24	но и	22	27
25	в языке	2	26
26	связи с	4	25
27	речи и	2	25
28	самом деле	2	25
29	в самом	4	24
30	как и	27	24
31	прежде всего	17	24
32	только в	9	23
33	так и	14	23
34	и т.п	18	23
35	в том	29	22
36	то что	10	22
37	а не	35	22
38	при этом	22	20
39	так сказать	3	20
40	для него	9	20
41	на почве	3	19
42	не в	8	19
43	если бы	1	19
44	том что	27	19
45	в его	9	19
46	в ее	4	18
47	внутренней речи	5	18
48	в слове	1	18
49	чужого слова	1	18
50	но в	15	18
51	вовсе не	1	18
52	все же	8	17
53	в сущности	3	17
54	по отношению	13	16
55	речевого общения	13	16
56	слова и	2	16
57	и как	9	16
58	в то	8	16
59	с помощью	1	15
60	во всех	6	15
61	в связи	1	15
62	отнюдь не	11	15
63	что он	6	15
64	высказывания и	3	15
65	же время	9	15
66	русском языке	1	15
67	отношению к	13	15
68	в данном	9	14
69	хотя бы	3	14
70	в контексте	3	14
71	в смысле	1	14
72	в своей	10	13
73	что в	8	13
74	не является	5	13
75	было бы	1	13
76	ничего не	1	13
77	мы не	2	13
78	слова в	2	13
79	того же	5	12
80	в результате	3	12
81	между тем	5	12
82	он не	4	12
83	в основе	11	12
84	является не	2	12
85	а в	5	12
86	не столько	3	11
87	на материале	1	11
88	и того	6	11
89	к нему	1	11
90	и что	2	11
91	и от	2	11
92	как система	1	11
93	до сих	1	11
94	и на	8	11
95	и все	5	11
96	как в	16	11
97	еще не	20	11
98	друг друга	2	11
99	на самом	1	11
100	все эти	2	11
101	в ней	2	11
102	высказывания в	7	11
103	сих пор	1	11
104	именно в	5	10
105	во всяком	3	10
106	самого начала	2	10
107	с другой	14	10
108	сказать что	4	10
109	к этому	4	10
110	никогда не	3	10
111	в своем	11	10
112	его в	1	10
113	высказывания как	1	10
114	в таком	1	10
115	одна из	1	10
