N	2gram	Voloshinov	ViktorSh
1	в книге	2	3
2	конце концов	2	2
3	в конце	2	2
4	и в	28	2
5	в том	10	2
6	том что	12	2
7	в другом	4	1
8	все время	4	1
9	от общего	1	1
10	но это	4	1
11	одно и	1	1
12	том же	1	1
13	г стр	1	1
14	по существу	1	1
15	главным образом	4	1
16	связанным с	1	1
17	в самом	12	1
18	как же	1	1
19	в теории	1	1
20	социальных отношений	1	1
21	и т.д	1	1
22	один пример	1	1
23	образом из	1	1
24	для них	3	1
25	а только	4	1
26	от других	2	1
27	именно в	4	1
28	и самым	1	1
29	все то	3	1
30	имеется в	1	1
31	самом деле	14	1
32	другом месте	2	1
33	ясно что	2	1
34	речи и	2	1
35	говоря о	1	1
36	же все	1	1
37	и то	3	1
38	крайней мере	1	1
39	и мало	1	1
40	время в	2	1
41	и его	22	1
42	сводится к	4	1
43	на заре	1	1
44	даже не	1	1
45	к чему	1	1
46	под влиянием	3	1
47	на одном	1	1
48	хотя бы	7	1
49	по поводу	5	1
50	далеко не	5	1
51	тем более	1	1
52	по крайней	1	1
53	к этому	9	1
54	только в	11	1
55	же с	2	1
56	потому что	4	1
57	ничуть не	2	1
58	в их	2	1
59	все дело	1	1
60	и почти	1	1
61	и только	6	1
62	то же	12	1
63	не будем	3	1
64	полемизируя с	1	1
65	и не	34	1
66	гораздо более	1	1
67	я не	4	1
68	дело в	2	1
69	да и	2	1
70	сводится в	1	1
71	в этом	28	1
72	так как	15	1
73	все это	12	1
74	совершенно ясно	1	1
