N	3gram	Bakhtin_Pr	Otkroven
1	для того чтобы	2	3
2	в нем нет	1	3
3	не могут быть	2	2
4	с тем что	1	2
5	не может быть	11	2
6	но и в	2	2
7	и в этом	1	2
8	хотя и не	1	1
9	в том что	3	1
10	все что есть	1	1
11	ничто не может	1	1
12	не в том	1	1
13	должно быть ясно	1	1
14	а иногда и	1	1
15	одна из сторон	1	1
16	из сторон его	1	1
17	в иных случаях	3	1
18	ли может быть	1	1
19	как и в	1	1
20	художественного творчества это	1	1
21	то что в	1	1
22	в самом деле	3	1
23	и не в	1	1
24	а вовсе не	1	1
25	смысле этого слова	1	1
26	строгом смысле этого	1	1
27	и в самом	1	1
28	и в его	1	1
29	прежде всего и	1	1
30	о том как	1	1
31	и прежде всего	5	1
32	в этом отношении	2	1
33	и есть та	1	1
34	по сравнению с	1	1
35	на то что	1	1
36	в строгом смысле	2	1
37	но никогда не	1	1
38	и в том	1	1
39	ничего нет кроме	1	1
40	он необходим для	1	1
41	и не может	2	1
