N	3gram	Losev_Vesc	Hudozhes
1	в том что	9	8
2	в то же	5	7
3	то же время	4	7
4	с другой стороны	3	6
5	более или менее	4	6
6	для того чтобы	2	5
7	так или иначе	5	4
8	не может быть	22	4
9	с точки зрения	6	3
10	в этом смысле	2	3
11	и в самом	1	3
12	тем не менее	11	3
13	можно сказать что	3	3
14	и то же	5	3
15	одного и того	1	3
16	одно и то	5	3
17	подобно тому как	5	3
18	и того же	1	3
19	в связи с	1	3
20	с одной стороны	3	3
21	тот или иной	1	3
22	в той или	2	2
23	в свою очередь	5	2
24	бы то ни	12	2
25	и прежде всего	1	2
26	в данный момент	1	2
27	этой точки зрения	3	2
28	ту или иную	3	2
29	с этой точки	3	2
30	в самом деле	7	2
31	в коем случае	1	2
32	внутренней и внешней	1	2
33	ни в коем	1	2
34	в отношении к	2	2
35	по своей природе	1	2
36	тех или иных	2	2
37	и в то	3	2
38	том что он	2	2
39	то ни было	12	2
40	сама по себе	7	2
41	к тому что	2	2
42	в основе своей	2	2
43	коем случае не	1	2
44	мы имеем дело	2	2
45	может быть и	1	2
46	быть не может	1	1
47	что он не	1	1
48	основе своей является	1	1
49	о том о	1	1
50	а можно только	1	1
51	в одном и	2	1
52	не только мы	1	1
53	весьма узко и	1	1
54	и как бы	1	1
55	все то что	2	1
56	и потому что	1	1
57	и том же	1	1
58	превращая его в	2	1
59	как бы вбирает	1	1
60	вещи но и	2	1
61	по себе а	1	1
62	себя и что	1	1
63	вбирает в себя	3	1
64	та или иная	1	1
65	имя как раз	1	1
66	не содержит в	1	1
67	по крайней мере	10	1
68	человек имеет дело	1	1
69	заключается в том	3	1
70	ту же самую	1	1
71	один из видов	1	1
72	в самом начале	1	1
73	о том что	4	1
74	в xix веке	1	1
75	то или иное	1	1
76	для него не	1	1
77	я уже не	1	1
78	есть как бы	3	1
79	вещей но в	1	1
80	в отдельности и	2	1
81	в свое время	2	1
82	одной стороны и	1	1
83	дело не в	1	1
84	в себе и	1	1
85	внутреннее и внешнее	1	1
86	какой бы то	1	1
87	не только к	2	1
88	в себя смысл	2	1
89	для себя и	1	1
90	с самим собою	2	1
91	не в состоянии	1	1
92	и многих других	1	1
93	от этого в	1	1
94	в то время	4	1
95	в себя не	1	1
96	личности а не	1	1
97	во втором случае	1	1
98	имеем дело не	2	1
99	в себе никаких	1	1
100	относится не только	1	1
101	в самом общем	1	1
102	у нее нет	1	1
103	именно потому что	1	1
104	чего бы то	2	1
105	не что иное	12	1
106	и в частности	2	1
107	а и в	9	1
108	таким образом и	1	1
109	по своей структуре	1	1
110	в самой себе	1	1
111	самим собою в	1	1
112	бы вбирает в	1	1
113	прежде всего к	1	1
114	таким образом что	1	1
115	но в то	1	1
116	а не сама	1	1
117	содержит в себе	11	1
118	объединяет их в	1	1
119	как раз в	2	1
120	в зависимости от	1	1
121	том о чем	1	1
122	так же как	2	1
123	нельзя а можно	1	1
124	уже не просто	2	1
125	в том или	2	1
126	к другому человеку	1	1
127	речь идет о	1	1
128	в этом случае	1	1
129	можно говорить о	2	1
130	суть то что	1	1
131	я в свою	1	1
132	ни от кого	1	1
133	а в том	1	1
134	каждой из них	1	1
135	она могла бы	2	1
136	есть не что	8	1
137	слова в отличие	1	1
138	в себе в	4	1
139	в новое время	1	1
140	строго говоря и	1	1
141	то же самое	1	1
142	что иное как	12	1
143	еще и потому	1	1
144	только то что	3	1
145	думаю что в	1	1
146	только о том	2	1
147	в одном случае	1	1
148	из того что	3	1
149	точки зрения и	1	1
150	вслед за кантом	1	1
151	одном и том	1	1
152	а не только	2	1
153	является одним из	1	1
154	это и есть	4	1
155	предстают перед нами	1	1
156	того же типа	1	1
157	что несмотря на	1	1
158	в полной мере	1	1
159	это было бы	1	1
