N	2gram	Vygotskiy_	Retstnzi
1	не может	11	4
2	и в	38	3
3	если в	3	2
4	один из	8	2
5	общения и	1	2
6	этой проблемы	2	1
7	нуждаются в	1	1
8	несмотря на	1	1
9	самых первых	1	1
10	может быть	25	1
11	не только	16	1
12	точки зрения	27	1
13	с точки	11	1
14	может не	1	1
15	становится особенно	1	1
16	для него	6	1
17	с теми	2	1
18	в ней	3	1
19	тех же	2	1
20	в каждом	2	1
21	связи с	14	1
22	эта вторая	1	1
23	с другими	3	1
24	или иными	2	1
25	лежащие в	2	1
26	если бы	12	1
27	в школе	1	1
28	с самых	1	1
29	в его	22	1
30	и тому	6	1
31	не менее	8	1
32	и форму	1	1
33	именно с	2	1
34	деятельности в	1	1
35	его основе	4	1
36	в языке	3	1
37	речь и	4	1
38	но и	9	1
39	мы видим	13	1
40	к тому	8	1
41	анализа и	2	1
42	тому что	3	1
43	и можно	1	1
44	теми или	2	1
45	в конкретном	1	1
46	в то	5	1
47	из этих	5	1
48	и больше	1	1
49	он в	1	1
50	ни один	5	1
51	то же	18	1
52	по своим	1	1
53	при анализе	2	1
54	а не	7	1
55	без учета	1	1
56	бы в	5	1
57	нет и	1	1
58	соприкосновение и	1	1
59	и не	16	1
60	так называемая	4	1
61	и все	5	1
62	и на	9	1
63	этих методов	1	1
