N	4gram	Losev_Dial	Komedia
1	в то же время	7	16
2	в то время как	2	9
3	не говоря уже о	1	6
4	в том что он	1	4
5	ни в чем не	1	3
6	сомневаться в том что	1	3
7	до сих пор не	1	3
8	с одной стороны и	3	2
9	с их точки зрения	1	2
10	одних и тех же	1	2
11	к одному и тому	1	2
12	и в то же	3	2
13	можно сомневаться в том	1	2
14	одному и тому же	1	2
15	о том что для	1	1
16	ни о чем другом	2	1
17	и до сих пор	1	1
18	не что иное как	4	1
19	ни в коем случае	1	1
20	в голову не приходит	1	1
21	пришли к выводу что	1	1
22	все то же самое	1	1
23	и в голову не	1	1
24	могла идти речь о	1	1
25	мы можем сказать что	3	1
26	и о том что	1	1
27	не с точки зрения	2	1
28	потому что он не	1	1
29	с точки зрения самого	2	1
30	с точки зрения одного	1	1
31	но как раз в	1	1
32	каждом из них есть	1	1
33	с другой стороны в	1	1
34	несмотря на всю ее	2	1
35	в связи с этим	2	1
36	тем не менее в	1	1
37	в том что именно	2	1
38	сама по себе не	4	1
39	а с точки зрения	2	1
40	не имеет ничего общего	3	1
41	о которых говорится в	1	1
42	несмотря на то что	2	1
43	никому и в голову	1	1
44	и с тех пор	2	1
45	но все же это	1	1
46	в каждом из них	1	1
47	имеет ничего общего с	3	1
48	в том что она	1	1
49	и т д все	2	1
50	так же как и	1	1
51	одна и та же	5	1
52	с самого начала что	1	1
