N	4gram	Tiupa_Anal	VeschiIm
1	не что иное как	1	12
2	есть не что иное	1	8
3	дело в том что	3	4
4	в то же время	7	4
5	и есть не что	1	3
6	мы имеем дело не	2	2
7	по крайней мере в	2	2
8	заключается в том что	1	2
9	имеем дело не с	1	2
10	в том что он	2	2
11	то что не есть	1	2
12	уже по одному этому	1	1
13	относится не только к	1	1
14	и потому оно есть	1	1
15	с тех пор как	1	1
16	ни то ни другое	1	1
17	одного и того же	4	1
18	с самим собою в	1	1
19	в качестве одного из	1	1
20	я в свою очередь	1	1
21	том что он не	1	1
22	а в том что	1	1
23	один и тот же	1	1
