N	4gram	Bakhtin_Pr	Freidism
1	в то же время	8	6
2	мы можем сказать что	1	5
3	одной и той же	1	3
4	один и тот же	1	3
5	но в то же	3	3
6	и не может быть	5	3
7	не чем иным как	1	2
8	как раз и не	1	2
9	на самом же деле	2	2
10	нет и не может	3	2
11	но тем не менее	1	1
12	не является чем-то абсолютно	1	1
13	мы найдем и у	2	1
14	в заключение настоящей главы	1	1
15	по сравнению с ними	1	1
16	или во всяком случае	1	1
17	этом мы можем закончить	1	1
18	является чем-то абсолютно новым	1	1
19	на этом мы можем	1	1
20	что с точки зрения	1	1
21	как мы уже сказали	2	1
22	нам уже приходилось говорить	1	1
23	мы имеем в виду	3	1
24	с точки зрения этого	1	1
25	в таком случае это	1	1
26	одно и то же	1	1
27	не может быть даже	1	1
28	вовсе не является чем-то	1	1
29	и этим как бы	1	1
30	в высшей степени характерны	1	1
31	мы уже знаем что	1	1
32	мы старались показать что	1	1
33	теперь мы должны перейти	1	1
34	дело в том что	2	1
35	ничего общего не имеет	1	1
36	мы остановимся только на	1	1
37	чем-то абсолютно новым и	1	1
38	которая позволила бы ему	1	1
39	в основе их лежит	1	1
40	мы должны перейти к	1	1
41	которую можно было бы	1	1
42	тем не менее он	1	1
43	по отношению ко всем	1	1
44	не что иное как	1	1
45	и в то же	3	1
46	о которой мы говорили	1	1
47	не может обойтись без	1	1
48	в собственном смысле слова	1	1
49	нельзя не согласиться с	1	1
50	есть не что иное	1	1
51	а может быть и	1	1
