N	3gram	Ircho_Kome	KFilosof
1	по отношению к	5	22
2	ни в чем	1	4
3	в чем не	1	4
4	но все эти	1	3
5	того или иного	1	3
6	в этом смысле	2	3
7	может быть в	1	3
8	могла бы быть	1	3
9	и тот же	1	3
10	в том что	13	2
11	той или иной	1	2
12	включая сюда и	1	2
13	во всех отношениях	1	2
14	тем не менее	2	2
15	в то же	5	2
16	и та же	1	2
17	он может быть	1	2
18	в соответствии с	2	2
19	то ни было	4	2
20	одна и та	1	2
21	бы то ни	4	2
22	то же время	5	2
23	время от времени	1	1
24	сих пор не	1	1
25	независимо от его	1	1
26	ни было и	1	1
27	но прежде всего	1	1
28	вместе с тем	4	1
29	во всяком случае	4	1
30	на то что	2	1
31	как единственного и	1	1
32	и во всех	1	1
33	в большинстве случаев	2	1
34	до конца в	1	1
35	то же самое	2	1
36	ясно что это	1	1
37	мы не найдем	1	1
38	в том случае	1	1
39	в том же	1	1
40	за собой и	1	1
41	для того чтобы	3	1
42	ни в один	1	1
43	только в том	1	1
44	независимо от того	3	1
45	всю свою жизнь	1	1
46	поэтому он не	1	1
47	но ни в	1	1
48	со всех сторон	1	1
49	именно в этой	1	1
50	как это было	1	1
51	до сих пор	3	1
52	в первом случае	1	1
53	смысле этого слова	1	1
54	него самого и	1	1
55	само по себе	1	1
56	и все остальные	1	1
57	в нем не	1	1
58	содержания и его	1	1
59	мы ничего не	1	1
60	в зависимости от	1	1
61	к отказу от	1	1
62	во второй половине	3	1
63	к тому что	3	1
64	в одном случае	1	1
65	в значительной степени	1	1
66	что и в	2	1
67	до конца и	1	1
68	что это противопоставление	1	1
69	в другом случае	1	1
