N	4gram	Berdyaev_N	Mirosoze
1	о человеке и его	1	5
2	и вместе с тем	1	5
3	в то время как	1	4
4	переходит в свою противоположность	1	3
5	так же как и	1	3
6	она не может быть	1	2
7	то нет и человека	1	2
8	в глубочайшем смысле слова	1	2
9	во имя свободы и	1	2
10	это есть прежде всего	1	1
11	христианской истины о человеке	1	1
12	в том случае если	1	1
13	но не будет и	1	1
14	человека не может быть	1	1
15	и должно быть в	1	1
16	в конце новой истории	1	1
17	нет бога то нет	1	1
18	в том смысле в	1	1
19	он выходит за пределы	1	1
20	в ней нет ничего	1	1
21	бога то нет и	1	1
22	не во имя свободы	1	1
23	так и должно быть	1	1
24	слова а не в	1	1
25	есть по существу своему	1	1
26	это не значит что	2	1
27	есть вместе с тем	1	1
28	смысле слова а не	1	1
29	в свои права и	2	1
30	дух дышит где хочет	1	1
31	русского народа должно быть	1	1
32	том смысле в каком	1	1
33	во имя человека во	1	1
34	а не в том	1	1
35	когда мы говорим что	1	1
36	подобно тому как в	1	1
37	имя человека во имя	1	1
