N	2gram	Losev_Prob	UchenyiS
1	и в	62	14
2	не только	33	10
3	а не	28	10
4	и не	56	8
5	прежде всего	13	8
6	то что	42	7
7	в этом	25	7
8	не может	14	7
9	может быть	39	6
10	в искусстве	4	6
11	перестает быть	3	5
12	хотя бы	6	5
13	то же	23	5
14	в художественном	5	5
15	и только	10	5
16	все это	9	5
17	художественное произведение	9	5
18	с другой	14	4
19	в этой	10	4
20	конечно не	3	4
21	что такое	4	4
22	но и	20	4
23	в их	2	4
24	к сожалению	1	3
25	бы то	5	3
26	было бы	14	3
27	не о	2	3
28	и то	17	3
29	и формы	1	3
30	только к	4	3
31	истории литературы	1	3
32	как такового	1	3
33	для этого	9	3
34	произведения искусства	2	3
35	это не	10	3
36	как и	15	3
37	то ни	7	3
38	для него	4	3
39	формы в	1	3
40	в своей	8	3
41	все же	10	3
42	ни было	5	3
43	в области	2	3
44	в частности	4	3
45	в то	18	3
46	не как	1	3
47	у нас	17	3
48	пришлось бы	2	3
49	другой стороны	11	3
50	но в	17	3
51	этого термина	6	2
52	литературы и	2	2
53	все они	5	2
54	таким образом	13	2
55	в самом	4	2
56	если не	7	2
57	же не	2	2
58	могли бы	6	2
59	если бы	9	2
60	самом деле	6	2
61	могут быть	2	2
62	является в	3	2
63	не в	21	2
64	ни от	4	2
65	это было	4	2
66	бы и	7	2
67	для всех	3	2
68	и с	11	2
69	до сих	4	2
70	же самое	20	2
71	одним из	2	2
72	крайней мере	9	2
73	как таковой	2	2
74	но не	6	2
75	по существу	2	2
76	мы и	5	2
77	тем что	8	2
78	как принцип	2	2
79	в себе	23	2
80	в его	10	2
81	в конце	7	2
82	даже и	33	2
83	должна быть	1	2
84	мы не	15	2
85	мы получаем	1	2
86	сколько угодно	4	2
87	именно как	1	2
88	ничего не	4	2
89	всех этих	6	2
90	что она	5	2
91	не есть	57	2
92	художественного произведения	14	2
93	что он	16	2
94	на каждом	1	2
95	конце концов	4	2
96	при таком	2	2
97	о чем	4	2
98	художественном произведении	3	2
99	как раз	11	2
100	а его	2	2
101	тех или	10	2
102	не могут	1	2
103	а как	2	2
104	что мы	12	2
105	в буквальном	4	2
106	в том	35	2
107	представляется нам	1	2
108	это уже	4	2
109	том что	25	2
110	или иных	7	2
111	нас в	5	2
112	метода как	1	2
113	но это	13	2
114	этом смысле	5	2
115	но даже	7	2
116	и для	5	2
117	и является	6	2
118	что и	11	2
119	к области	1	2
120	в сторону	1	2
121	не столько	2	2
122	конечно нет	1	2
123	смысле этого	1	2
124	и у	2	2
125	превращается в	1	2
126	на первый	6	2
127	сих пор	4	2
128	по крайней	9	2
129	только в	33	2
130	формы и	3	2
131	по себе	36	2
132	что все	2	2
133	не все	1	2
134	нам представляется	4	2
135	этот путь	2	1
136	было у	1	1
137	впрочем для	1	1
138	первый взгляд	3	1
139	в той	8	1
140	признать что	1	1
141	так то	2	1
142	все в	4	1
143	само же	1	1
144	что в	11	1
145	может обойтись	2	1
146	с которыми	2	1
147	не было	6	1
148	остается в	1	1
149	так или	2	1
150	бы только	2	1
151	было сделать	1	1
152	и даже	21	1
153	элементы из	1	1
154	первый план	3	1
155	этого и	1	1
156	возражать против	1	1
157	более или	2	1
158	но тут	2	1
159	всего что	1	1
160	первую очередь	3	1
161	о необходимости	2	1
162	и потому	13	1
163	и творчество	1	1
164	столько же	2	1
165	буквальном смысле	2	1
166	но он	1	1
167	этом случае	8	1
168	единицы и	1	1
169	образом на	1	1
170	в свое	1	1
171	слова форма	1	1
172	или просто	1	1
173	в которой	3	1
174	имеем в	4	1
175	можно сказать	10	1
176	как таковыми	1	1
177	мы можем	11	1
178	и уточнить	1	1
179	что же	9	1
180	отлична от	1	1
181	или иначе	2	1
182	в данном	14	1
183	все его	1	1
184	что под	2	1
185	он уже	1	1
186	больше чем	1	1
187	а для	1	1
188	еще раз	2	1
189	нет и	1	1
190	как на	2	1
191	равно как	2	1
192	себе еще	1	1
193	и вы	2	1
194	а оно	1	1
195	это содержание	1	1
196	представляется что	3	1
197	произведение как	1	1
198	никогда и	1	1
199	быть не	1	1
200	важным и	1	1
201	со своими	1	1
202	данного произведения	1	1
203	он в	3	1
204	и все	13	1
205	не самые	1	1
206	понятие не	2	1
207	слова а	2	1
208	что этот	1	1
209	анализу и	1	1
210	такое что	3	1
211	все элементы	1	1
212	состоит из	6	1
213	только более	2	1
214	же как	5	1
215	как таковое	2	1
216	является предметом	2	1
217	сказать что	24	1
218	произведения как	1	1
219	как нам	1	1
220	к следующему	1	1
221	и эта	1	1
222	достаточно ясно	1	1
223	в процессе	2	1
224	данном случае	12	1
225	самыми разнообразными	1	1
226	речи в	2	1
227	он будет	2	1
228	его как	3	1
229	тезис о	1	1
230	но для	3	1
231	количество и	1	1
232	то есть	63	1
233	свести только	1	1
234	об ее	3	1
235	и всей	2	1
236	нашей критической	1	1
237	бы значение	2	1
238	от которой	1	1
239	и др	1	1
240	и действительно	2	1
241	и индивидуального	1	1
242	этого общего	1	1
243	не имеется	1	1
244	переходит в	2	1
245	общего и	8	1
246	в таком	11	1
247	исходить из	1	1
248	то и	9	1
249	которое мы	5	1
250	и свое	1	1
251	перестают быть	1	1
252	она не	3	1
253	несомненно и	2	1
254	понятие формы	1	1
255	быть в	2	1
256	чем то	1	1
257	смысле и	1	1
258	но именно	4	1
259	до конца	1	1
260	является только	8	1
261	она в	2	1
262	художественным произведением	3	1
263	таком понимании	2	1
264	в своем	7	1
265	она представляется	1	1
266	тогда когда	1	1
267	с тем	9	1
268	в значительной	2	1
269	входит в	3	1
270	для себя	6	1
271	другую более	1	1
272	не отсутствует	1	1
273	стороны в	1	1
274	художественного оформления	1	1
275	только как	3	1
276	тем в	1	1
277	что только	1	1
278	его на	1	1
279	только при	10	1
280	одной стороны	2	1
281	именно к	3	1
282	представлений и	1	1
283	относится к	4	1
284	или по	6	1
285	более высокую	2	1
286	мы имеем	7	1
287	начала и	1	1
288	но также	2	1
289	понимая под	1	1
290	об искусстве	1	1
291	он прежде	1	1
292	анализа в	1	1
293	в отдельности	2	1
294	искусства и	3	1
295	гораздо больше	2	1
296	не связанных	1	1
297	их в	2	1
298	же в	6	1
299	более точно	1	1
300	он может	2	1
301	с самим	4	1
302	в ней	12	1
303	будет не	1	1
304	или даже	6	1
305	л толстой	3	1
306	где же	1	1
307	но что	3	1
308	своими собственными	1	1
309	в порядке	3	1
310	самим же	1	1
311	на одно	2	1
312	даже не	3	1
313	только единство	1	1
314	и так	1	1
315	отдельности и	2	1
316	и прежде	3	1
317	и независимо	2	1
318	это значит	12	1
319	как самодовлеющая	1	1
320	оно является	1	1
321	а это	6	1
322	пушкин и	1	1
323	в этот	1	1
324	единства и	1	1
325	связанные с	2	1
326	значительной мере	2	1
327	для тех	2	1
328	не вполне	3	1
329	на то	6	1
330	он и	3	1
331	было когда	1	1
332	строго говоря	1	1
333	но если	12	1
334	для первого	1	1
335	это же	4	1
336	бы ни	1	1
337	не значит	3	1
338	сам по	11	1
339	только для	1	1
340	без этого	3	1
341	не входит	1	1
342	не столь	1	1
343	в которых	3	1
344	по мнению	2	1
345	к этому	2	1
346	так и	16	1
347	обе эти	1	1
348	познания или	1	1
349	это то	3	1
350	к проблеме	2	1
351	о нем	2	1
352	что с	1	1
353	как элемент	1	1
354	из которых	6	1
355	и необходимым	1	1
356	это в	2	1
357	ее в	2	1
358	отнюдь не	16	1
359	о которой	2	1
360	находятся в	5	1
361	этих слов	1	1
362	и вся	2	1
363	часто бывает	3	1
364	в качестве	10	1
365	нельзя сводить	1	1
366	о котором	1	1
367	в нем	13	1
368	ничего подобного	1	1
369	работ в	1	1
370	он не	10	1
371	содержания и	3	1
372	ней не	1	1
373	независимо от	4	1
374	поскольку он	1	1
375	все что	1	1
376	если нет	2	1
377	на его	1	1
378	и что	9	1
379	в известном	3	1
380	они находятся	1	1
381	что для	4	1
382	и это	11	1
383	с одной	3	1
384	которых она	2	1
385	этот более	1	1
386	и всякого	2	1
387	в первую	3	1
388	за пределы	6	1
389	и делает	1	1
390	имеет свою	3	1
391	должно быть	1	1
392	случае он	1	1
393	что при	5	1
394	л толстого	1	1
395	об этом	7	1
396	как всякая	1	1
397	не обладает	1	1
398	не ставит	1	1
399	определяет собою	1	1
400	точно и	1	1
401	уж тем	1	1
402	самое что	1	1
403	в виду	20	1
404	и искусства	3	1
405	само по	5	1
406	широком смысле	2	1
407	присущей ему	1	1
408	или менее	2	1
409	невозможна без	1	1
410	не предмет	2	1
411	превратилось бы	1	1
412	в пределах	3	1
413	нужно будет	1	1
414	тот же	1	1
415	уже не	12	1
416	быть звуком	1	1
417	о том	14	1
418	не то	2	1
419	произведения в	2	1
420	далеко не	1	1
421	тем более	8	1
422	литературы как	1	1
423	того что	10	1
424	в понятии	4	1
425	у него	1	1
426	в котором	3	1
427	у пушкина	9	1
428	не существует	6	1
429	бы в	3	1
430	в виде	20	1
431	если у	1	1
432	той же	2	1
433	но использование	1	1
434	никогда не	7	1
435	человека и	1	1
