N	4gram	Propp_Isto	Analitik
1	состоит в том что	1	7
2	и не может быть	1	4
3	в том что он	1	4
4	бы то ни было	1	3
5	с этой точки зрения	3	2
6	в полном соответствии с	1	2
7	мысль о том что	1	2
8	в тех случаях когда	6	2
9	один и тот же	1	2
10	одна и та же	1	1
11	в этих случаях оказывается	1	1
12	во всяком случае не	1	1
13	от отца к сыну	4	1
14	достигает своего апогея в	1	1
15	в этой связи особую	1	1
16	мы должны помнить что	1	1
17	в данном случае это	1	1
18	а в том что	1	1
19	и вместе с тем	2	1
20	от тестя к зятю	3	1
21	не только в том	1	1
22	как это происходит в	2	1
23	но с другой стороны	1	1
24	дело не только в	1	1
25	с другой стороны и	2	1
26	во всех этих случаях	6	1
27	ответ на этот вопрос	1	1
