N	2gram	Medvedev_V	VeschiIm
1	т е	18	81
2	и не	20	57
3	не только	26	48
4	то что	7	48
5	не может	17	46
6	и в	26	45
7	и есть	5	40
8	и т	25	39
9	может быть	23	39
10	т д	16	38
11	а не	7	37
12	значит что	2	32
13	это значит	1	30
14	потому что	1	25
15	было бы	8	24
16	только в	8	23
17	по себе	2	23
18	что она	2	23
19	в себе	6	23
20	сказать что	5	22
21	и что	1	22
22	как бы	5	20
23	что такое	2	20
24	с нею	2	19
25	но и	10	19
26	и ее	4	19
27	в этом	29	18
28	все же	6	18
29	что мы	2	17
30	прежде всего	13	17
31	и это	1	17
32	таким образом	32	16
33	того что	3	16
34	как раз	4	16
35	от всего	1	15
36	как и	7	15
37	уже не	1	15
38	в том	15	15
39	в ней	2	15
40	но это	1	14
41	и то	1	14
42	сущности и	1	14
43	не в	6	14
44	в самом	4	13
45	том что	8	13
46	есть и	1	13
47	и для	2	13
48	а и	1	13
49	это и	6	13
50	что в	11	12
51	то же	10	12
52	и даже	2	12
53	в вещи	1	12
54	есть то	1	12
55	о том	10	12
56	еще не	2	12
57	точки зрения	3	12
58	что они	3	12
59	не значит	1	12
60	совершенно не	1	12
61	что и	3	12
62	между собою	2	12
63	и как	3	12
64	и их	3	11
65	не менее	2	11
66	еще и	2	11
67	ни в	1	11
68	что не	3	11
69	вовсе не	3	11
70	также и	2	11
71	в то	6	11
72	вещи в	1	10
73	по крайней	2	10
74	в чем	2	10
75	крайней мере	2	10
76	что оно	3	10
77	с ее	1	10
78	с ним	1	9
79	в результате	5	9
80	со стороны	1	9
81	бы и	6	9
82	хотя бы	20	9
83	говорить о	2	9
84	в своем	8	9
85	ни с	2	9
86	сущность и	1	9
87	должно быть	2	9
88	это не	7	9
89	у нас	3	9
90	но что	1	9
91	бы в	3	9
92	ли это	2	9
93	она не	3	9
94	но не	2	9
95	на то	2	9
96	и его	6	9
97	должна быть	2	8
98	если бы	3	8
99	смысла и	1	8
100	с тем	4	8
101	что он	4	8
102	себя и	1	8
103	отличается от	2	8
104	в свете	1	8
105	по сравнению	1	8
106	но в	2	8
107	мы не	1	8
108	мы имеем	3	8
109	для него	9	8
110	в ее	4	8
111	все это	13	8
112	со своим	3	8
113	с другими	2	8
114	его в	3	8
115	и потому	2	8
116	в философии	4	8
117	не с	2	8
118	даже не	2	8
119	с другой	11	8
120	можно сказать	4	8
121	что есть	1	8
122	отнюдь не	4	8
123	значит ли	1	7
124	с этой	1	7
125	самом деле	1	7
126	вещь в	1	7
127	все эти	8	7
128	тем что	1	7
129	сравнению с	1	7
130	относится к	2	7
131	слова и	1	7
132	можно ли	2	7
133	никак не	3	7
134	или не	1	7
135	сама по	1	7
136	и тем	1	7
137	е в	2	7
138	от того	2	7
139	а в	3	7
140	из них	11	7
141	в той	1	6
142	мы говорим	1	6
143	их в	7	6
144	в своей	4	6
145	в каком	1	6
146	в данном	1	6
147	а если	1	6
