N	2gram	Bakhtin_Pr	KFilosof
1	может быть	43	45
2	в его	30	42
3	в нем	28	32
4	не может	26	29
5	и не	55	28
6	и в	64	28
7	в бытии	1	26
8	по отношению	12	26
9	в котором	7	24
10	не есть	4	22
11	отношению к	12	22
12	в себе	11	21
13	только в	13	18
14	и его	21	18
15	в своем	12	17
16	в ее	2	17
17	а не	29	17
18	в этом	33	15
19	для него	23	13
20	как момент	1	13
21	не в	15	13
22	точки зрения	31	13
23	к нему	11	12
24	мир в	4	12
25	ни в	5	12
26	но не	12	12
27	и это	8	12
28	в своей	11	11
29	все эти	13	11
30	во всех	4	11
31	в единственном	1	10
32	все это	9	10
33	это не	12	10
34	в едином	4	10
35	с точки	21	10
36	его целом	6	10
37	и есть	3	10
38	бытия и	1	10
39	от себя	1	10
40	и для	7	10
41	в целом	8	10
42	в их	6	9
43	и все	6	9
44	но и	26	9
45	как бы	33	9
46	момент его	2	9
47	в единстве	9	8
48	не было	5	8
49	если бы	12	8
50	быть только	1	8
51	в мире	7	8
52	со стороны	1	8
53	было бы	8	8
54	лишь в	4	8
55	в себя	6	8
56	жизни и	3	8
57	себя в	3	8
58	во всем	1	7
59	и здесь	6	7
60	что и	7	7
61	должен быть	1	7
62	вовсе не	12	7
63	уже не	15	7
64	совершенно не	5	7
65	то что	21	7
66	конечно не	4	7
67	но лишь	1	7
68	для себя	3	7
69	и только	3	7
70	ее и	1	6
71	мир как	1	6
72	должно быть	8	6
73	не значит	4	6
74	но все	6	6
75	но эта	5	6
76	менее всего	7	6
77	я не	6	6
78	не имеет	2	6
79	в смысле	3	6
80	смысл и	1	6
81	в том	12	6
82	и их	3	6
83	и действительно	1	6
84	отношение к	4	6
85	место в	1	6
86	он не	14	6
87	но это	6	6
88	мира в	5	6
89	от его	1	5
90	то же	18	5
91	мы имеем	1	5
92	не только	26	5
93	мира но	2	5
94	с ним	8	5
95	но как	4	5
96	его в	8	5
97	не проникает	2	5
98	не знает	6	5
99	в основе	4	5
100	есть лишь	1	5
101	но в	14	5
102	именно в	5	5
103	бы быть	1	5
104	но ведь	3	5
105	как и	25	5
106	все же	11	5
107	себя и	5	5
108	еще не	10	5
109	мир где	2	5
110	что я	7	5
111	время и	1	5
112	принципиально не	1	5
113	хотя бы	4	5
114	в одном	20	5
115	ни одно	1	5
116	а в	10	5
117	единое и	1	5
118	я и	2	5
119	его как	5	5
120	жизни как	1	5
121	в контексте	2	5
122	там где	12	5
123	бытия в	3	5
124	никогда не	11	5
125	что в	11	4
126	познания и	1	4
127	должна быть	8	4
128	и весь	1	4
129	при этом	8	4
130	ни было	4	4
131	что это	2	4
132	нем как	1	4
133	о нем	15	4
134	не как	20	4
135	для нас	2	4
136	прежде всего	16	4
137	но изнутри	1	4
138	с другим	1	4
139	в своих	4	4
140	места в	1	4
141	как его	4	4
142	мне в	1	4
143	только момент	1	4
144	нет в	1	4
145	с ними	2	4
146	за свое	1	4
147	мира и	7	4
148	в категориях	2	4
149	том что	8	4
150	в каком	1	4
151	могло бы	1	4
152	меня но	1	4
153	но можно	1	4
154	входит в	9	4
155	только как	2	4
156	нисколько не	3	4
157	во всей	3	4
158	могла бы	1	4
159	между тем	7	4
160	здесь мы	4	4
161	времени и	2	4
162	к ним	1	4
163	себя а	1	4
164	для другого	2	4
165	из него	1	4
166	меня не	1	4
167	от него	1	3
168	та же	1	3
169	и на	16	3
170	слово не	8	3
171	здесь нет	4	3
172	этого мира	6	3
173	и пр	5	3
174	мы не	4	3
175	был бы	6	3
176	ним и	3	3
177	тогда когда	1	3
178	того что	3	3
179	где он	1	3
180	и этим	5	3
181	сознания и	8	3
182	на самом	5	3
183	в виду	3	3
184	положения в	1	3
185	самом деле	10	3
186	ибо все	2	3
187	в некотором	1	3
188	единой и	1	3
189	тем что	6	3
190	но для	3	3
191	в корне	1	3
192	что этот	2	3
193	не дает	3	3
194	рядом с	19	3
195	не менее	3	3
196	по своему	1	3
197	бы не	2	3
198	здесь не	7	3
199	один и	1	3
200	его жизни	2	3
201	войти в	2	3
202	лишь как	9	3
203	себе и	5	3
204	в момент	1	3
205	своей значимости	1	3
206	единство мира	3	3
207	и другого	3	3
208	но конечно	1	3
209	той или	1	3
210	в каждом	15	3
211	это и	5	3
212	того или	1	3
213	бы и	6	3
214	ясно и	1	3
215	что не	3	3
216	отсюда и	3	3
217	не могу	1	3
218	но здесь	4	3
219	в свою	1	3
220	мира не	2	3
221	лежат в	1	3
222	во мне	1	3
223	в другом	3	3
224	для того	1	3
225	в ней	2	3
226	а эта	1	3
227	быть и	2	3
228	вступает в	1	3
229	и та	1	3
230	к чему	1	3
231	этом смысле	12	3
232	мне как	1	3
233	от того	4	3
234	есть я	2	3
235	человека и	2	3
236	на своем	1	3
237	не я	1	3
238	с человеком	1	3
