N	2gram	Tiupa_Lite	Mirosoze
1	и в	26	97
2	у достоевского	2	94
3	может быть	24	64
4	не только	29	63
5	в этом	19	55
6	но и	25	54
7	он не	4	53
8	а не	28	53
9	в нем	4	49
10	не может	10	49
11	у него	5	47
12	и не	19	39
13	во имя	3	39
14	никогда не	5	38
15	человеческого духа	2	38
16	в ней	4	37
17	потому что	5	37
18	не было	5	36
19	не в	11	34
20	и есть	3	33
21	для него	6	31
22	не есть	2	30
23	но он	1	30
24	есть лишь	2	30
25	человека в	5	30
26	как и	13	29
27	прежде всего	14	29
28	и он	3	27
29	в мире	9	27
30	но в	5	27
31	человека и	2	26
32	в своей	5	25
33	он был	1	25
34	переходит в	1	24
35	и все	1	24
36	у нас	5	24
37	ведет к	5	23
38	в своем	12	23
39	что в	7	23
40	что он	8	22
41	в самом	4	21
42	в себе	8	20
43	отношение к	1	20
44	в россии	2	19
45	как бы	8	19
46	до конца	3	19
47	в его	9	18
48	любви к	1	17
49	того что	7	17
50	и потому	1	17
51	том что	19	16
52	в том	22	16
53	на земле	1	16
54	то что	14	16
55	было бы	4	16
56	достоевского в	1	16
57	и его	7	16
58	быть может	2	15
59	в котором	1	15
60	не был	1	15
61	не знает	3	15
62	в этой	7	15
63	в конце	6	14
64	человек в	2	14
65	она не	1	14
66	нет ничего	2	14
67	в творчестве	2	14
68	так как	2	14
69	в глубине	1	14
70	та же	2	13
71	и на	5	13
72	друг друга	5	13
73	и вот	2	13
74	в них	1	12
75	он сам	2	12
76	к нему	1	12
77	и у	1	12
78	но не	8	12
79	свободы в	1	12
80	в любви	1	12
81	это не	4	12
82	и к	1	11
83	с тем	2	11
84	уже не	9	11
85	хотя бы	3	11
86	духа и	1	11
87	в которой	1	11
88	достоевского но	1	11
89	в русской	13	11
90	человеческой личности	1	11
91	был бы	1	11
92	только в	8	11
93	как в	5	11
94	но это	2	11
95	и для	1	11
96	жизни и	6	11
97	то же	13	10
98	так же	1	10
99	всю жизнь	2	10
100	один из	7	10
101	должна быть	3	10
102	не могут	1	10
103	не имеет	2	10
104	есть не	2	10
105	со свободой	1	10
106	все что	3	9
107	к тому	3	9
108	не мог	3	9
109	должно быть	1	9
110	что и	3	9
111	xix века	6	9
112	х годов	5	9
113	я не	8	9
114	все творчество	1	9
115	он уже	1	9
116	то есть	11	9
117	с ним	2	9
118	русского народа	1	9
119	вместе с	5	9
120	в свою	2	9
121	и во	1	9
122	есть и	1	9
123	а в	5	9
124	лишь в	4	9
125	от него	2	8
126	в этих	2	8
127	и с	4	8
128	тем что	6	8
129	о том	3	8
130	вопрос о	1	8
131	себя в	7	8
132	что не	3	8
133	за пределы	3	8
134	что есть	2	8
135	не так	1	8
136	бунт против	2	8
137	в отношении	2	8
138	еще в	7	8
139	не знал	1	8
140	нет в	2	8
141	бог и	1	8
142	того чтобы	1	8
143	есть путь	2	8
144	во власти	1	8
145	отношении к	2	8
146	нет и	1	8
147	с его	5	8
148	ничего не	3	8
149	они не	1	8
150	уже в	7	8
151	мира и	1	8
152	только и	1	8
153	для того	2	8
154	во всем	1	7
155	что человек	1	7
156	в нашем	2	7
157	точки зрения	8	7
158	революции и	1	7
159	все в	1	7
160	на этом	3	7
161	в жизни	7	7
162	отношения к	1	7
163	жизни в	5	7
164	себя и	3	7
165	более чем	4	7
166	он в	1	7
167	мог бы	1	7
168	должен быть	2	7
169	также и	3	7
170	как он	2	7
171	все еще	2	7
172	же и	3	6
173	самого себя	3	6
174	с этой	6	6
175	не как	4	6
176	к концу	1	6
177	и нет	4	6
178	есть свобода	2	6
179	и те	1	6
180	русской литературы	3	6
181	всего в	4	6
182	его в	4	6
183	у них	1	6
184	личности и	1	6
185	можно было	3	6
186	по своей	3	6
187	чтобы не	2	6
188	и от	1	6
189	и здесь	1	6
190	что это	1	6
191	его на	1	6
192	него нет	1	6
193	если бы	1	6
194	в которых	1	6
195	бы не	3	6
196	весь в	1	6
197	в образе	1	6
198	в ее	1	6
199	того как	1	6
200	должен был	1	6
201	и более	1	6
202	нет у	1	6
203	на то	2	6
204	не к	3	6
205	еще не	4	5
206	бы в	1	5
207	которые не	1	5
208	с самим	1	5
209	мысли и	1	5
210	одно из	3	5
211	с собой	4	5
212	и как	2	5
213	он остается	1	5
214	своих и	1	5
215	отрекается от	1	5
216	отличается от	1	5
217	во всяком	3	5
218	для этого	5	5
219	перед ним	2	5
220	сказать что	1	5
221	достоевским в	1	5
222	все время	1	5
223	по преимуществу	6	5
224	после того	1	5
225	личности в	4	5
226	вл соловьева	2	5
227	от этого	1	5
228	достоевского это	1	5
229	сих пор	1	5
230	вопроса о	1	5
231	человек который	1	5
232	культуры и	2	5
233	в то	12	5
234	когда он	1	5
235	до сих	1	5
236	и этот	1	5
237	человека у	1	5
238	и мы	2	5
239	да и	3	5
240	тот кто	1	5
241	то он	3	5
242	он же	2	5
243	в основе	5	5
244	и если	1	5
245	в мир	1	5
246	жизни это	1	5
247	той же	5	5
248	не стоит	1	5
249	любовь есть	1	5
250	тот же	1	5
251	не для	2	5
252	которых он	1	5
253	так и	7	5
254	в их	3	5
255	и я	7	5
256	из глубины	1	5
257	xx века	2	5
258	на путь	1	5
259	к новому	1	5
260	как будто	2	5
261	в той	1	4
262	в центре	1	4
263	в момент	1	4
264	самого человека	1	4
265	к этой	2	4
266	на деле	1	4
267	потому не	1	4
268	свобода есть	1	4
269	в своих	5	4
270	и даже	9	4
271	культуры в	5	4
272	в такой	1	4
273	сам не	1	4
274	духовной жизни	4	4
275	не всегда	1	4
276	в него	1	4
277	мир был	1	4
278	по отношению	6	4
279	себе в	3	4
280	него не	1	4
281	что они	1	4
282	ее и	1	4
283	в каждом	2	4
284	к себе	3	4
285	имя свободы	1	4
286	не от	1	4
287	не была	1	4
288	тому что	1	4
289	он лишь	1	4
290	века в	3	4
291	себе и	2	4
292	в чем	2	4
293	человека а	2	4
294	а для	3	4
295	а с	2	4
296	так что	4	4
297	и что	2	4
298	как человек	1	4
299	его личности	2	4
300	и по	1	4
301	не случайно	5	4
302	преступления и	1	4
303	тогда когда	1	4
304	для них	2	4
305	социализма и	1	4
306	с ней	1	4
307	в начале	4	4
308	как о	1	4
309	от его	1	4
310	никто не	1	4
311	не знали	3	4
312	к другому	1	4
313	к которой	1	4
314	перейти в	1	4
315	к свету	2	4
316	истории он	1	4
317	и до	1	4
318	в истории	1	4
319	только с	1	4
320	в пути	3	4
321	как к	4	4
322	могут быть	4	4
323	мир в	5	4
324	мы не	5	4
325	сознания и	1	4
326	все равно	1	4
327	начала в	1	4
328	в силах	1	4
329	в эпоху	1	4
330	если есть	1	4
331	все эти	2	4
332	есть в	1	4
333	путь к	2	4
334	не все	1	4
335	отношению к	4	4
336	и только	4	4
337	конце концов	1	4
338	является в	1	3
339	в душе	3	3
340	природы это	1	3
341	можно и	2	3
342	него в	2	3
343	в виду	4	3
344	не бывает	2	3
345	мысль о	2	3
346	все же	6	3
347	в иной	1	3
348	мир и	2	3
349	вл соловьев	1	3
350	на человека	1	3
351	то это	2	3
352	даже и	2	3
353	в противоположность	2	3
354	в этот	1	3
355	в одном	2	3
356	и когда	1	3
357	приходит к	1	3
358	превращается в	2	3
359	значительной степени	1	3
360	не вполне	1	3
361	с другим	1	3
362	свободы а	1	3
363	есть по	1	3
364	к этому	2	3
365	и еще	1	3
366	на том	3	3
367	в состоянии	1	3
368	от всякой	2	3
369	души и	1	3
370	и сама	1	3
371	и за	2	3
372	одним из	8	3
373	я и	10	3
374	не остается	2	3
375	же как	3	3
376	и перед	1	3
377	лишь для	1	3
378	на свободу	1	3
379	во всех	4	3
380	о себе	7	3
381	на смену	6	3
382	всю свою	1	3
383	в наше	1	3
384	есть бог	1	3
385	ту же	4	3
386	между тем	2	3
387	эти слова	2	3
388	и судьба	1	3
389	и тем	4	3
390	в землю	1	3
391	этот путь	3	3
392	мире и	1	3
393	жизни а	1	3
394	для себя	6	3
395	на почве	2	3
396	своего образа	1	3
397	это уже	2	3
398	со всеми	2	3
399	и будет	2	3
400	в пределах	4	3
401	к его	1	3
402	быть назван	1	3
403	приводит к	4	3
404	в значительной	1	3
405	земли и	1	3
406	роль в	2	3
407	эта мысль	2	3
408	в сне	1	3
409	которую он	1	3
410	что же	1	3
411	тому как	4	3
412	и достоевского	1	3
413	всяком случае	2	3
414	мира не	1	3
415	же он	1	3
416	жизни не	2	3
417	выходит за	1	3
418	поэтому он	1	3
419	проникает в	1	3
420	и то	3	3
421	пафос его	1	3
422	ничего кроме	2	3
423	для нас	3	3
424	личной ответственности	2	3
425	но с	3	3
426	от всех	2	3
427	а к	2	3
428	бытия и	1	3
429	себя а	1	3
430	и эта	1	3
431	своей души	1	3
432	говорят о	1	3
433	в духовной	2	3
434	остается лишь	1	3
435	со своей	3	3
436	идеи и	1	3
437	ему как	1	3
438	людей в	1	3
439	а от	1	3
440	есть всегда	1	3
441	обнаруживается что	1	3
442	не с	2	3
443	и всегда	2	3
444	достоевского с	1	3
445	и самого	2	3
446	он знает	1	3
447	отрывается от	1	3
448	писателей и	1	3
449	но для	1	3
450	он готов	2	2
451	к подлинному	1	2
452	быть постигнут	1	2
453	своем я	2	2
454	и своего	1	2
455	из всех	1	2
456	один лишь	1	2
457	тем как	1	2
458	не реальность	1	2
459	всем и	2	2
460	подлинное искусство	1	2
461	не столько	8	2
462	до последнего	2	2
463	их не	2	2
464	и сам	6	2
465	о мире	1	2
466	свободу в	1	2
467	на свою	3	2
468	уже на	1	2
469	более и	1	2
470	когда это	1	2
471	власти над	1	2
472	не менее	11	2
473	только для	1	2
474	жизни к	1	2
475	если в	2	2
476	у которых	1	2
477	не могли	1	2
478	в действительности	2	2
479	света и	1	2
480	в пределе	1	2
481	вот почему	1	2
482	во многих	3	2
483	сознания в	14	2
484	между двумя	1	2
485	но они	1	2
486	за собой	2	2
487	е годы	3	2
488	свободы от	4	2
489	к осуществлению	1	2
490	начале xix	1	2
491	от своей	1	2
492	в чистом	1	2
493	с другой	11	2
494	нас на	1	2
495	жизни как	3	2
496	друг для	2	2
497	революции в	1	2
498	быть в	1	2
499	во всей	1	2
500	от них	1	2
501	потребности в	2	2
502	оказывается что	1	2
503	лишь при	1	2
504	а мы	1	2
505	пути но	1	2
506	того же	5	2
507	остался в	1	2
508	человек сам	1	2
509	находит свой	1	2
510	то в	3	2
511	него как	1	2
512	есть ли	1	2
513	строй жизни	1	2
514	в жертву	1	2
515	такого рода	18	2
516	это я	1	2
517	бытия не	2	2
518	ты не	1	2
519	любит и	1	2
520	что такое	2	2
521	в розанов	1	2
522	связи с	7	2
523	человеческое общество	1	2
524	и наказания	1	2
525	не о	1	2
526	а за	3	2
527	исходит от	1	2
528	пути и	1	2
529	он целиком	1	2
530	свет и	1	2
531	между ними	1	2
532	такова что	1	2
533	нового человека	2	2
534	реальность не	1	2
535	могли бы	1	2
536	в собственной	1	2
537	человек как	1	2
538	личного бытия	1	2
539	самому себе	2	2
540	романы достоевского	1	2
541	новых и	2	2
542	никого не	1	2
543	нем же	1	2
544	природу и	1	2
545	не раз	2	2
546	каждый человек	1	2
547	и каждый	2	2
548	столь же	5	2
549	бы быть	1	2
550	а как	2	2
551	во время	1	2
552	действительной жизни	1	2
553	лишь его	2	2
554	революции это	1	2
555	наше время	1	2
556	самим собою	2	2
557	а потому	4	2
558	во втором	3	2
559	свою духовную	1	2
560	россии не	1	2
561	и екатерины	1	2
562	которой не	1	2
563	и который	1	2
564	с такой	1	2
565	и никто	1	2
566	образа и	1	2
567	и менее	1	2
568	была бы	1	2
569	освободиться от	2	2
570	радикально меняется	1	2
571	в сущности	5	2
572	он на	2	2
573	имя человека	1	2
574	ему принадлежат	1	2
575	подобно тому	4	2
576	если не	1	2
577	самом деле	2	2
578	от своего	3	2
579	его собственная	1	2
580	так называемый	3	2
581	ему в	2	2
582	них он	1	2
583	в душу	1	2
584	которая не	2	2
585	в каком	1	2
586	от страданий	1	2
587	своей жизни	1	2
588	для друга	2	2
589	своей собственной	2	2
590	на какой	1	2
591	переходное состояние	1	2
592	можно лишь	1	2
593	относится к	3	2
594	во мне	2	2
595	быть не	2	2
596	на два	2	2
597	не сам	2	2
598	есть у	1	2
599	и уже	1	2
