N	4gram	Ircho_Kome	VerxiiNi
1	в том числе и	1	4
2	что и те и	1	2
3	бы то ни было	4	2
4	с этой точки зрения	1	2
5	в то же время	5	2
6	как бы то ни	1	2
7	и те и другие	1	2
8	потому что и те	1	2
9	так или иначе связанные	1	1
10	состоит в том что	1	1
11	то же время он	1	1
12	во всяком случае в	1	1
13	до сих пор не	1	1
14	мы можем составить себе	1	1
15	в одном из своих	1	1
16	не представляется возможным но	1	1
17	во всяком случае еще	1	1
18	в том что они	1	1
19	на пути к достижению	1	1
20	в этом отношении представляет	1	1
21	или иначе связанные с	1	1
