N	2gram	Bakhtin_Pr	BTomashe
1	у нас	2	3
2	все это	3	2
3	в ней	4	2
4	можно было	4	2
5	и не	42	2
6	вопрос о	1	1
7	говорить о	3	1
8	творчества и	5	1
9	словесного творчества	2	1
10	и о	5	1
11	поэтике если	1	1
12	не только	9	1
13	а о	1	1
14	таким образом	10	1
15	не было	2	1
16	формализма и	1	1
17	прежде всего	13	1
18	моментом в	3	1
19	бы только	1	1
20	и в	38	1
21	на самом	4	1
22	так и	5	1
23	на которой	1	1
24	по теории	1	1
25	в своей	7	1
26	и потому	4	1
27	и во	2	1
28	за пределы	12	1
29	говорить об	1	1
30	с другой	7	1
31	художественного произведения	11	1
32	значение слова	4	1
33	совершенно не	7	1
34	не о	1	1
35	другой стороны	4	1
36	кроме того	3	1
37	было бы	8	1
38	как таковому	1	1
39	является изучение	1	1
40	не следует	2	1
41	быть эстетикой	1	1
42	эстетикой словесного	1	1
43	и ее	2	1
44	чем на	1	1
45	одной из	3	1
46	в значительной	2	1
47	почти совершенно	3	1
48	по поэтике	6	1
49	в пределах	6	1
50	в данном	4	1
51	должна быть	4	1
52	в области	11	1
53	является только	1	1
54	и исторической	1	1
55	далеко не	5	1
56	в научном	1	1
57	не вполне	2	1
58	теорию литературы	1	1
59	и более	2	1
60	что все	2	1
61	не все	2	1
62	художественном произведении	5	1
63	значительной степени	1	1
64	его не	2	1
65	а не	5	1
66	о художественном	2	1
67	отнюдь не	19	1
68	до конца	1	1
69	представляется нам	2	1
70	и на	3	1
71	выходит за	1	1
72	между ними	4	1
73	еще не	7	1
74	все же	6	1
75	что в	7	1
