N	3gram	Berdyaev_V	Psycholo
1	в том что	2	78
2	и т д	2	22
3	к тому что	3	20
4	с другой стороны	1	20
5	мы видим что	1	16
6	и в этом	1	13
7	в конце концов	1	12
8	по сравнению с	1	11
9	вместе с тем	1	10
10	том что он	2	10
11	он говорит что	1	9
12	и что в	1	9
13	как и в	1	7
14	так как она	1	6
15	то что мы	3	6
16	в первый раз	3	5
17	и вместе с	1	5
18	в жизни и	1	5
19	как бы в	1	5
20	вместо того чтобы	2	5
21	а между тем	2	4
22	за то что	3	4
23	и никогда не	1	4
24	с тем чтобы	1	3
25	не могут быть	1	3
26	в нем нет	2	3
27	бы то ни	1	3
28	то и другое	1	3
29	и то и	1	3
30	после того как	1	3
31	и не было	1	2
32	д и т	1	2
33	так и в	1	2
34	есть одна из	1	2
35	т д и	1	2
36	но и в	2	2
37	по крайней мере	1	2
38	это еще не	2	2
39	не могли бы	1	2
40	никогда еще не	2	2
41	с такой силой	1	2
42	потому что оно	1	2
43	в сознании и	1	2
44	все тот же	2	2
45	в ней и	1	2
46	в разные эпохи	1	2
47	в своей сущности	1	2
48	то что я	2	2
49	все это мы	1	1
50	конечно ни в	1	1
51	ни для чего	1	1
52	мы хотим решить	1	1
53	и над ними	2	1
54	все равно не	1	1
55	и каким образом	1	1
56	против того что	1	1
57	жизнь так и	1	1
58	что есть что-то	1	1
59	так ли это?	1	1
60	но все же	1	1
61	быть никогда и	1	1
62	в последних словах	1	1
63	того что он	1	1
64	с пути и	1	1
65	вслед за ним	1	1
66	но под конец	1	1
67	и во всяком	1	1
68	видим что все	1	1
69	чтобы сделать их	1	1
70	должна быть скрыта	1	1
71	другой стороны в	1	1
72	не к тому	1	1
73	будем говорить о	1	1
74	его во всех	2	1
75	может быть этот	1	1
76	как детскую игру	1	1
77	нет и что	1	1
78	его к жизни	1	1
79	первый раз о	2	1
80	в вопросе о	2	1
81	и в сознании	1	1
82	бы и не	2	1
83	о смысле и	1	1
84	на составные части	1	1
85	что он так	1	1
86	во что бы	1	1
87	но и тут	1	1
88	и есть то	1	1
89	что он был	1	1
90	и до того	1	1
91	все это имеет	1	1
92	того что есть	1	1
93	все что есть	3	1
94	в нашу эпоху	1	1
95	и другое и	1	1
96	то ни стало	1	1
97	но прежде всего	1	1
98	есть один из	1	1
99	в словах его	1	1
100	жизни и потому	1	1
101	тем что они	1	1
102	что бы то	1	1
103	в известном смысле	1	1
104	от него в	1	1
105	есть прежде всего	1	1
106	тому что все	1	1
107	людей все это	1	1
