N	4gram	Tiupa_Anal	RusskieA
1	состоит в том что	6	26
2	не что иное как	5	4
3	на самом же деле	1	3
4	обращает на себя внимание	3	3
5	до тех пор пока	1	3
6	и в этом случае	1	2
7	в тех случаях когда	1	2
8	одни и те же	2	1
9	одна и та же	1	1
10	одного и того же	2	1
11	можно сказать что в	1	1
12	собой не что иное	1	1
13	не только в том	1	1
14	или во всяком случае	1	1
15	еще в е годы	1	1
16	очень близки к ним	1	1
17	или по меньшей мере	1	1
18	во всех этих случаях	1	1
19	приводит к тому что	1	1
20	значении этого слова в	1	1
