N	3gram	Bakhtin_Fr	Dialekti
1	с точки зрения	4	46
2	в том что	4	25
3	не что иное	1	18
4	что иное как	1	18
5	сам по себе	2	16
6	то же время	12	15
7	в то же	12	14
8	с другой стороны	2	12
9	о том что	4	12
10	есть не что	1	11
11	в самом деле	3	10
12	что он есть	1	9
13	и в этом	1	9
14	содержит в себе	1	9
15	и не только	1	9
16	это и есть	1	9
17	в то время	1	8
18	та или иная	1	8
19	в этом смысле	1	8
20	в связи с	2	7
21	той или иной	1	7
22	не потому что	1	7
23	более или менее	3	6
24	и прежде всего	2	6
25	как и все	1	6
26	во всяком случае	1	6
27	с одной стороны	3	6
28	имеет ничего общего	1	5
29	на самом деле	1	5
30	это не есть	1	5
31	ничего общего с	1	5
32	в конце концов	5	5
33	потому что он	1	5
34	не имеет ничего	1	5
35	по себе и	1	5
36	на первый план	2	5
37	до сих пор	3	5
38	есть прежде всего	1	5
39	что в нем	1	5
40	одной стороны и	1	4
41	мы уже знаем	1	4
42	в данном случае	1	4
43	к тому же	1	4
44	то же самое	1	4
45	из того что	1	4
46	может и не	1	4
47	и может быть	1	4
48	не есть нечто	1	4
49	можно было бы	2	4
50	пространства и времени	1	4
51	никакого отношения к	1	4
52	в этом отношении	3	4
53	в той или	1	3
54	самом же деле	1	3
55	же что и	2	3
56	есть не только	1	3
57	и есть то	2	3
58	отца и сына	1	3
59	то же что	1	3
60	но все же	1	3
61	мы находим в	2	3
62	на самом же	1	3
63	в чем же	2	3
64	как и в	2	3
65	и в чем	1	3
66	и об его	1	3
67	о том как	3	3
68	в себе и	1	3
69	но в то	3	3
70	не только в	1	3
71	речь идет о	1	3
72	с самого начала	1	3
73	так что в	1	3
74	но потому что	1	3
75	как раз на	1	2
76	некоторые из них	1	2
77	тут нет никакой	1	2
78	как и вообще	1	2
79	том что в	1	2
80	в силу своей	1	2
81	на небе и	1	2
82	друг от друга	1	2
83	с полной очевидностью	1	2
84	содержат в себе	1	2
85	со всеми ее	1	2
86	не имеет значения	1	2
87	и даже больше	2	2
88	это есть в	1	2
89	и оказывается что	1	2
90	не забудем что	1	2
91	они вовсе не	1	2
92	уже знаем что	1	2
93	прежде всего это	1	2
94	оно и не	2	2
95	и с другой	1	2
96	в сущности и	1	2
97	все это есть	1	2
98	не в силах	1	2
99	мы будем говорить	1	2
100	мы видим что	2	2
101	и не быть	1	2
102	а именно в	1	2
103	в свою очередь	3	2
104	друг к другу	1	2
105	вместе с ним	1	2
106	и в особенности	1	2
107	в это время	1	2
108	и в отношении	2	2
109	мы уже сказали	2	2
110	и не в	1	2
111	как это было	1	2
112	как один из	2	2
113	в себе самом	1	2
114	не в состоянии	1	2
115	сказать что в	1	2
116	но все это	2	2
117	другой стороны в	1	2
118	же время и	1	2
119	дело в том	2	2
120	не должно быть	2	2
121	и все его	1	2
122	не существует но	1	2
123	в противоположность этому	1	2
124	кроме того и	1	2
125	и то что	1	2
126	и в том	1	2
127	в широком смысле	1	2
128	а так как	1	2
129	в нем и	1	2
130	одно от другого	1	2
131	что и в	1	2
132	потому что они	1	2
133	уже сказали что	1	1
134	она никогда не	1	1
135	удивительного в том	1	1
136	он может и	1	1
137	в частности к	1	1
138	все это мы	1	1
139	имеет в виду	1	1
140	античный и средневековый	1	1
141	которые и не	1	1
142	все это я	1	1
143	это как бы	1	1
144	о котором мы	4	1
145	во все стороны	1	1
146	вполне понятно что	2	1
147	так как речь	1	1
148	уже в древнейших	1	1
149	я не мог	1	1
150	в применении к	1	1
151	до известной степени	1	1
152	то что он	1	1
153	в себе все	2	1
154	судить о том	1	1
155	не только бытие	1	1
156	о чем мы	1	1
157	не в этом	1	1
158	и в другом	1	1
159	форму и как	1	1
160	это та же	1	1
161	можно прямо сказать	1	1
162	поэтому все эти	1	1
163	их очень много	1	1
164	и выражения в	1	1
165	из самых существенных	1	1
