N	4gram	Losev_Vesc	KulturaY
1	и в самом деле	1	10
2	и тем не менее	5	7
3	в то же время	4	6
4	с этой точки зрения	3	5
5	было бы сказать что	2	4
6	одного и того же	1	4
7	и т д и	11	4
8	т д и т	10	4
9	заключается в том что	2	4
10	не только потому что	1	3
11	д и т д	10	3
12	и вместе с тем	1	3
13	в том что он	2	3
14	в том смысле что	1	2
15	уже не может быть	2	2
16	что с точки зрения	1	2
17	когда речь идет о	1	2
18	а в том что	1	2
19	не что иное как	12	2
20	и в то же	3	2
21	один и тот же	1	2
22	в самом деле не	1	2
23	в самом деле в	1	2
24	в первом случае мы	1	2
25	общем смысле этого слова	1	2
26	мы должны сказать что	1	1
27	вовсе не потому что	1	1
28	связи с вопросом о	1	1
29	и мы увидим как	1	1
30	ни в коем случае	1	1
31	и есть в сущности	1	1
32	до самого последнего времени	1	1
33	если это так то	2	1
34	что есть еще и	1	1
35	когда мы говорим что	1	1
36	себе по крайней мере	1	1
37	ни то ни другое	1	1
38	в том что я	1	1
39	не потому что я	1	1
40	в том что и	1	1
41	не имеющая ничего общего	1	1
42	одно и то же	5	1
43	по крайней мере в	2	1
44	у нас в россии	2	1
45	и с другой стороны	1	1
46	можно ли сказать что	3	1
47	и т д в	1	1
48	дело в том что	4	1
49	я позволю себе сделать	1	1
50	что бы то ни	1	1
51	т е не только	1	1
52	в то время как	4	1
53	указание на то что	1	1
54	нужно для того чтобы	1	1
55	также и то что	1	1
56	только в том что	1	1
57	смысле этого слова есть	1	1
58	стоит в связи с	1	1
59	свидетельствует о том что	3	1
60	одном и том же	1	1
61	и т д а	1	1
62	можно только тогда когда	1	1
63	с тех пор как	1	1
64	как можно было бы	1	1
65	в одном и том	1	1
66	и т д словом	1	1
67	когда имеется в виду	1	1
68	в качестве одного из	1	1
69	бы то ни было	12	1
70	видно уже из предыдущего	1	1
71	нуждается в том чтобы	1	1
72	и не потому что	1	1
73	о которых идет речь	1	1
74	заключается не в том	1	1
75	вообще и тем не	1	1
76	и т д все	1	1
77	никак не может быть	1	1
78	т д все это	1	1
79	какой бы то ни	1	1
80	но если это так	2	1
81	и в этом отношении	1	1
82	того что она есть	1	1
83	еще и потому что	1	1
84	есть прежде всего некое	1	1
85	есть не что иное	8	1
