N	3gram	Berdyaev_N	Vvedenie
1	в том что	1	15
2	о том что	1	13
3	не может быть	4	10
4	в этом смысле	2	10
5	до сих пор	1	7
6	в том чтобы	1	5
7	с другой стороны	2	5
8	во всяком случае	1	5
9	вопрос о том	2	5
10	можно было бы	1	4
11	не только в	1	4
12	в отличие от	1	4
13	с одной стороны	2	4
14	вместе с тем	2	3
15	в зависимости от	1	3
16	в известном смысле	1	3
17	как будто бы	1	2
18	не в том	1	2
19	и потому что	1	2
20	жизни и творчества	1	2
21	что в нем	2	2
22	что в этом	1	2
23	и того же	1	2
24	и не могут	1	2
25	подобно тому как	3	2
26	не могут быть	1	2
27	одного и того	1	2
28	лишь в том	1	1
29	в этой системе	1	1
30	вообще не существует	1	1
31	слова а не	1	1
32	и это есть	1	1
33	но и в	1	1
34	бы сказать что	1	1
35	в том смысле	1	1
36	как это было	1	1
37	наряду с этим	1	1
38	мы говорим о	1	1
39	было бы сказать	1	1
40	и не в	1	1
41	в том числе	1	1
42	не значит что	3	1
43	когда мы говорим	2	1
44	в средние века	3	1
45	и для того	1	1
46	того чтобы быть	1	1
47	смысле в каком	1	1
48	может быть только	1	1
49	средние века но	1	1
50	философской мысли но	1	1
51	не осталось ни	1	1
52	так же как	2	1
53	том смысле в	1	1
54	только потому что	1	1
55	том что нет	1	1
56	не быть в	1	1
57	в нем не	1	1
58	вот почему о	1	1
59	но это уже	1	1
60	о человеке и	1	1
61	заключает в себе	1	1
62	та или иная	1	1
63	лицом к лицу	3	1
64	одна из сторон	1	1
65	имея в виду	1	1
66	в значительной степени	1	1
67	то что в	1	1
68	смысле слова а	1	1
69	о природе и	1	1
