N	2gram	Bakhtin_Pr	Sotsiolo
1	все это	3	7
2	в том	8	5
3	в этом	15	5
4	социологический метод	1	4
5	не только	9	3
6	не в	7	3
7	и в	38	3
8	и только	4	3
9	но ведь	1	3
10	в его	43	3
11	для нас	1	3
12	что в	7	2
13	то что	8	2
14	таким образом	10	2
15	том что	3	2
16	или даже	1	2
17	как бы	22	2
18	в результате	1	2
19	было бы	8	2
20	историка литературы	1	2
21	в смысле	1	2
22	в частности	2	2
23	и мы	1	2
24	но и	9	2
25	может быть	26	2
26	по существу	2	2
27	она может	3	2
28	и что	2	2
29	это и	1	2
30	исторической жизни	1	2
31	за пределы	12	2
32	по отношению	21	2
33	как только	3	2
34	отношению к	19	2
35	должна быть	4	2
36	далеко не	5	2
37	только в	13	2
38	к которому	4	2
39	только как	6	2
40	то же	5	2
41	еще не	7	2
42	а в	6	1
43	что он	2	1
44	творчество в	1	1
45	художественных произведений	2	1
46	образом в	1	1
47	в конечном	4	1
48	столь же	2	1
49	на что	1	1
50	входящие в	1	1
51	быть не	1	1
52	в таких	2	1
53	в целом	3	1
54	на этот	1	1
55	все эти	5	1
56	не было	2	1
57	сказать и	3	1
58	связи с	2	1
59	словесного творчества	2	1
60	нет а	2	1
61	в своей	7	1
62	в мире	3	1
63	и потому	4	1
64	переходим к	2	1
65	дает нам	2	1
66	неизбежно по	1	1
67	все же	6	1
68	что это	2	1
69	дело конечно	1	1
70	единство не	2	1
71	с другой	7	1
72	мы понимаем	1	1
73	мы должны	2	1
74	это как	1	1
75	с ним	5	1
76	противном случае	3	1
77	между тем	7	1
78	как совокупность	1	1
79	формальный метод	3	1
80	и более	2	1
81	но как	2	1
82	в этой	1	1
83	время в	1	1
84	в свои	1	1
85	и его	16	1
86	не должна	4	1
87	они ни	1	1
88	только когда	1	1
89	нашей работы	1	1
90	в данном	4	1
91	в области	11	1
92	есть процесс	1	1
93	первый план	2	1
94	метод не	1	1
95	с помощью	7	1
96	же самое	2	1
97	так и	5	1
98	в противном	3	1
99	в то	4	1
100	бы они	1	1
101	формальным методом	1	1
102	слова но	3	1
103	в котором	2	1
104	именно на	1	1
105	не выходит	1	1
106	обходится без	1	1
107	произведение как	4	1
108	должно сказать	1	1
109	творчества это	1	1
110	отнюдь не	19	1
111	и не	42	1
112	выходит за	1	1
113	объекта и	7	1
114	но она	2	1
115	эти два	1	1
116	свои права	1	1
117	том как	2	1
118	настоящее время	1	1
119	и о	5	1
120	и должны	2	1
121	но не	12	1
122	может служить	1	1
123	систематическое единство	1	1
124	они не	3	1
125	лучшем случае	2	1
126	в него	2	1
127	благодаря этому	1	1
128	этой области	2	1
129	прежде всего	13	1
130	тем что	2	1
131	не наука	1	1
132	в каждом	2	1
133	в строгом	2	1
134	эстетику и	1	1
135	нам право	1	1
136	быть строго	1	1
137	в чем	2	1
138	и связь	1	1
139	мы еще	1	1
140	ними в	1	1
141	а между	1	1
142	не дает	2	1
143	в лучшем	2	1
144	в область	3	1
145	психологии и	1	1
146	конечном счете	4	1
147	его в	9	1
148	представляется нам	2	1
149	в процессе	1	1
150	ни были	1	1
151	этого и	1	1
152	вовсе не	2	1
153	основной вопрос	1	1
154	опирающегося на	1	1
155	с одной	3	1
156	и наконец	6	1
157	конечно не	5	1
158	о том	4	1
159	как науки	1	1
160	тому что	1	1
161	но именно	1	1
162	том и	1	1
163	в этих	2	1
164	по себе	1	1
165	на отдельные	1	1
166	на первый	2	1
167	все то	3	1
168	хотя бы	4	1
169	же время	3	1
170	это не	5	1
171	одной стороны	3	1
172	в связи	2	1
173	бы в	1	1
174	и должно	3	1
175	в виде	2	1
176	в настоящее	1	1
177	именно в	1	1
178	вопросом о	1	1
179	никогда не	5	1
180	и есть	2	1
181	не может	27	1
182	между ними	4	1
183	и как	8	1
184	и какие	1	1
185	что все	2	1
186	место в	8	1
187	как и	7	1
188	самое должно	1	1
189	ничего не	6	1
190	в них	5	1
