N	2gram	Propp_Isto	Vvedenie
1	и т	29	45
2	т е	34	40
3	т д	25	39
4	в том	14	38
5	в этом	19	35
6	и в	41	35
7	может быть	19	30
8	том что	18	30
9	не только	30	26
10	для того	2	23
11	того чтобы	1	22
12	таким образом	15	21
13	не может	19	19
14	то что	12	19
15	потому что	13	18
16	только в	10	16
17	со стороны	3	16
18	о том	15	16
19	так как	21	15
20	представляет собой	8	14
21	что в	21	13
22	в самом	2	13
23	и именно	1	13
24	и не	12	13
25	в нем	12	13
26	в его	4	12
27	того что	7	12
28	в их	4	12
29	точки зрения	4	12
30	что такое	2	12
31	как на	3	12
32	то же	12	11
33	в ее	3	11
34	по себе	2	11
35	в данном	8	11
36	ясно что	2	11
37	как мы	6	11
38	прежде всего	6	10
39	не в	12	10
40	вопрос о	6	10
41	но в	7	10
42	дело с	2	9
43	представляют собой	5	9
44	тем не	4	9
45	смысле этого	1	9
46	все же	14	9
47	из этих	6	9
48	но не	8	9
49	и как	3	9
50	не менее	5	9
51	это не	14	8
52	в качестве	5	8
53	как нечто	1	8
54	именно в	2	8
55	о котором	1	8
56	а только	1	8
57	можно было	3	8
58	с другой	20	8
59	и то	3	7
60	до сих	4	7
61	к выводу	1	7
62	как и	8	7
63	самом деле	1	7
64	но и	20	7
65	выводу что	1	7
66	сих пор	5	7
67	в разных	1	7
68	было бы	4	7
69	о природе	1	7
70	только как	1	7
71	этот вопрос	3	7
72	как бы	8	7
73	один из	7	6
74	на вопрос	5	6
75	об этом	7	6
76	этом случае	4	6
77	все это	9	6
78	не могут	3	6
79	его в	7	6
80	на этот	4	6
81	тем что	11	6
82	с тем	8	6
83	в какой	1	6
84	а именно	12	6
85	вместе с	17	6
86	в которых	2	6
87	и это	9	6
88	так например	5	6
89	вовсе не	6	6
90	уже не	8	6
91	и даже	3	6
92	в руки	2	6
93	хотя бы	1	6
94	нельзя не	1	6
95	и что	15	6
96	как он	11	6
97	как например	1	6
98	сказать что	5	6
99	могут быть	3	6
100	том чтобы	3	6
101	но если	2	6
102	и его	11	6
103	в то	6	6
104	а в	12	6
105	связь между	1	5
106	на почве	1	5
107	уже в	4	5
108	с этой	7	5
109	хотя и	3	5
110	что и	13	5
111	другой стороны	17	5
112	в них	4	5
113	но с	2	5
114	одним из	1	5
115	дело в	1	5
116	что не	3	5
117	не есть	1	5
118	что он	29	5
119	что иное	2	5
120	от этого	2	5
121	по своему	1	5
122	данном случае	7	5
123	во всяком	3	5
124	как уже	1	5
125	так что	6	5
126	и тем	4	5
127	а не	9	5
128	есть и	6	5
129	дело не	5	5
130	в различных	3	5
131	на основании	1	5
132	д но	2	5
133	или вообще	1	5
134	т п	1	5
135	а как	2	5
136	независимо от	3	5
137	не просто	3	5
138	в целом	2	5
139	как это	6	5
140	есть не	1	5
141	всяком случае	3	5
142	в особенности	2	4
143	ответ на	6	4
144	в более	3	4
145	в прямом	1	4
146	языке и	1	4
147	только что	1	4
148	здесь нет	4	4
149	этот процесс	1	4
150	с одной	12	4
151	тогда когда	3	4
152	с точки	1	4
153	о чем	2	4
154	в результате	1	4
155	по мере	1	4
156	в виде	5	4
157	в себе	3	4
158	видит в	3	4
159	должен был	2	4
160	так или	2	4
161	но все	5	4
162	из двух	1	4
163	или иначе	2	4
164	в одном	2	4
165	в котором	3	4
166	и ее	6	4
167	как она	1	4
168	в своей	4	4
169	конфликт между	1	4
170	в чем	5	4
171	должен быть	2	4
172	к тому	4	4
173	еще не	13	4
174	однако не	1	4
175	не имеет	6	4
176	в каждом	1	4
177	как о	1	4
178	и история	1	4
179	даже и	1	4
180	одной стороны	12	4
181	е в	2	4
182	связана с	4	4
183	в чисто	1	4
184	быть названо	1	4
185	по отношению	3	4
186	мы имеем	27	4
187	не вполне	5	4
188	так называемых	1	4
189	отличие от	1	4
190	можно сказать	3	4
191	отношению к	3	4
192	одной из	4	4
193	в области	3	4
194	все более	1	4
195	только с	1	4
196	из них	2	4
197	прямом смысле	1	4
198	своего рода	7	3
199	и к	1	3
200	и этого	1	3
201	в свое	3	3
202	с этим	3	3
203	и здесь	13	3
204	и на	12	3
205	того как	5	3
206	зависит от	1	3
207	и вот	2	3
208	на том	10	3
209	именно как	1	3
210	при этом	7	3
211	что это	6	3
212	говорит о	2	3
213	из которых	3	3
214	не как	1	3
215	что собственно	2	3
216	но что	2	3
217	в этих	16	3
218	знания и	1	3
219	связи с	3	3
220	это искусство	2	3
