N	3gram	Propp_Russ	SlovoVZh
1	по отношению к	1	11
2	не может быть	1	7
3	можно сказать что	1	5
4	в том что	27	4
5	тем не менее	3	3
6	может быть и	3	3
7	на самом деле	1	2
8	в какой степени	3	2
9	в данном случае	7	2
10	с одной стороны	1	2
11	с точки зрения	3	2
12	но тем не	2	2
13	в настоящее время	3	2
14	в такой же	1	2
15	можно найти в	1	1
16	все же не	2	1
17	и в своем	1	1
18	в своем значении	1	1
19	для него не	1	1
20	и таким образом	1	1
21	таким образом к	1	1
22	о том что	6	1
23	в противном случае	1	1
24	в двух направлениях	1	1
25	такой же степени	1	1
26	как например в	1	1
27	независимо от него	1	1
28	в свою очередь	2	1
29	ничего общего с	1	1
30	а между тем	1	1
31	что не только	1	1
32	и та же	1	1
33	что мы имеем	1	1
34	как и в	1	1
35	как мы уже	2	1
36	в том же	1	1
37	деле это не	1	1
38	во всяком случае	1	1
39	о том кто	1	1
40	самом же деле	2	1
41	между тем это	3	1
42	подобно тому как	3	1
43	мы увидим что	1	1
44	на самом же	2	1
45	же как и	3	1
46	одна и та	1	1
47	по аналогии с	1	1
48	при более широком	1	1
49	мы указывали что	1	1
50	можно было бы	2	1
51	в этом отношении	1	1
52	так же как	5	1
53	для нас не	2	1
54	более или менее	1	1
55	но и в	1	1
56	то время как	1	1
57	говорит о том	1	1
58	том что в	7	1
59	приблизимся к пониманию	1	1
60	так как в	2	1
61	и в этом	2	1
62	на этом основании	1	1
63	она как бы	1	1
64	в то время	3	1
65	или может быть	1	1
66	тем это не	1	1
67	но все же	2	1
68	в окно и	1	1
69	и так называемый	1	1
70	друг к другу	2	1
