N	2gram	Propp_Morf	Dialekti
1	не есть	1	181
2	т е	25	159
3	и не	16	120
4	и т	62	82
5	а не	11	78
6	и в	17	77
7	т д	60	75
8	точки зрения	7	72
9	может быть	61	71
10	не только	8	66
11	значит что	4	61
12	то что	10	59
13	и есть	3	55
14	это значит	1	54
15	ничего не	5	54
16	не может	19	53
17	и даже	2	47
18	с точки	6	46
19	что это	3	46
20	есть нечто	3	46
21	так как	20	46
22	потому что	7	45
23	как бы	6	43
24	и что	3	42
25	ни в	3	42
26	не имеет	2	41
27	вовсе не	6	41
28	в том	10	40
29	в этом	18	39
30	то же	10	39
31	что такое	3	39
32	что она	2	38
33	в себе	1	38
34	что он	5	37
35	том что	7	37
36	прежде всего	14	37
37	так что	1	36
38	это не	6	36
39	она есть	1	35
40	что в	10	34
41	и все	1	33
42	того что	3	33
43	но и	9	32
44	ясно что	5	31
45	все это	2	31
46	сказать что	4	30
47	и как	6	30
48	было бы	5	29
49	так и	10	29
50	как и	4	28
51	в виду	1	26
52	не в	3	26
53	есть и	4	26
54	говорить о	4	25
55	учение о	5	25
56	и то	1	25
57	и пр	45	25
58	есть не	1	25
59	мифологии и	1	24
60	но это	6	24
61	если бы	3	24
62	есть всегда	1	24
63	таким образом	26	23
64	в то	4	23
65	это и	3	23
66	и вот	1	23
67	что не	1	21
68	в чем	2	21
69	должна быть	2	21
70	она не	2	21
71	и с	1	20
72	о том	6	20
73	что и	10	20
74	что все	1	20
75	в таком	1	20
76	только в	3	20
77	в каком	2	20
78	совершенно не	1	20
79	уже не	4	20
80	как раз	1	20
81	и вообще	1	20
82	не менее	7	19
83	не существует	3	19
84	как же	3	19
85	и притом	1	19
86	и это	1	19
87	как это	7	19
88	что мы	2	19
89	и его	3	19
90	же время	1	18
91	хотя бы	5	18
92	не что	2	18
93	с другой	9	18
94	что иное	2	18
95	что же	2	18
96	иное как	2	18
97	в особенности	1	17
98	можно сказать	2	17
99	в сущности	3	17
100	той или	1	17
101	должно быть	1	17
102	в основе	2	17
103	но если	10	17
104	кроме того	3	16
105	то это	5	16
106	одно и	1	16
107	к нему	3	16
108	тем не	7	16
109	или не	3	16
110	в своей	1	16
111	мы не	8	16
112	об этом	5	16
113	же и	1	15
114	только что	3	15
115	все же	9	15
116	так же	4	15
117	то в	3	15
118	несмотря на	4	15
119	мы уже	4	15
120	как таковой	2	15
121	самом деле	4	15
122	хотя и	5	15
123	в виде	3	15
124	также и	6	15
125	быть и	2	15
126	на то	3	15
127	или нет	2	14
128	а именно	1	14
129	есть то	1	14
130	д и	2	14
131	и ее	5	14
132	таком случае	1	14
133	и только	3	14
134	и к	4	13
135	другой стороны	5	13
136	что именно	2	13
137	не то	1	13
138	что они	5	13
139	время как	3	13
140	он не	5	13
141	в силу	1	13
142	с ее	1	13
143	но в	4	13
144	мы находим	1	13
145	собственно говоря	1	13
146	именно в	1	12
147	и нет	1	12
148	с этим	14	12
149	вопрос о	10	12
150	но как	3	12
151	но не	8	12
152	даже не	3	12
153	могут быть	21	12
154	не могут	7	12
155	перед нами	14	12
156	еще не	4	12
157	и тогда	3	12
158	все эти	5	12
159	и ни	1	12
160	и может	1	12
161	а в	8	12
162	в них	1	11
163	в данном	2	11
164	только на	1	11
165	что я	1	11
166	и тем	3	11
167	должны быть	2	11
168	из них	4	11
169	тех или	1	11
170	оно есть	1	11
171	не значит	3	11
172	та же	3	11
173	от того	4	11
174	ничем не	2	11
175	мы имеем	19	11
176	или в	6	11
177	есть в	1	11
178	нисколько не	1	11
179	его не	1	11
180	мы должны	3	11
181	в одну	2	11
182	во всем	1	10
183	с этой	3	10
184	одно из	1	10
185	в результате	8	10
186	к тому	5	10
187	во всяком	2	10
188	только как	1	10
189	для того	3	10
190	можно ли	1	10
191	мы видим	15	10
192	это будет	1	10
193	в ее	1	10
194	а потом	2	10
195	и для	4	10
196	если же	5	10
197	или иное	1	10
198	оно не	2	10
199	наука не	1	10
200	если мы	6	10
201	только о	1	10
202	или другой	2	10
203	в его	1	10
204	в их	1	10
205	это было	3	10
206	в частности	2	10
207	как мы	8	10
208	как будто	2	10
209	может и	1	10
210	или по	2	9
211	при этом	1	9
212	тому что	5	9
213	случае не	4	9
214	не как	1	9
215	в этих	17	9
216	и на	1	9
217	в котором	1	9
218	в одном	2	9
219	и когда	2	9
220	превращается в	2	9
221	мы можем	5	9
222	бы в	2	9
223	на этом	4	9
224	иметь в	1	9
225	и по	3	9
226	утверждать что	3	9
227	подобно тому	6	9
228	с ними	1	9
229	то время	3	9
230	и более	2	9
231	всех этих	1	9
232	или иной	1	9
233	а если	4	9
234	между собою	2	9
235	имеется в	3	9
236	как он	1	9
237	лишь как	1	9
238	тому как	5	9
239	от него	2	8
240	даже в	1	8
241	но все	4	8
242	то как	2	8
243	так то	1	8
244	себя в	2	8
245	с одной	2	8
246	это мы	2	8
247	по одному	1	8
248	не будет	1	8
249	что эта	2	8
250	в этой	3	8
251	в одной	2	8
252	один из	7	8
253	не на	2	8
254	но вот	2	8
255	как не	1	8
256	ничего общего	1	8
257	когда мы	1	8
258	при помощи	12	8
259	у нас	3	8
260	на самом	4	8
261	как нечто	1	8
262	как таковая	2	8
263	только и	1	8
264	того или	1	8
265	бы только	1	8
266	но она	1	8
267	если она	2	8
268	все что	1	7
269	е не	1	7
270	тем что	4	7
271	мы получаем	2	7
272	но он	1	7
273	на другое	1	7
274	на первый	3	7
275	не всегда	10	7
276	об отношении	1	7
277	точно так	2	7
278	как на	1	7
279	он сам	1	7
280	грань между	1	7
281	и сама	1	7
282	связи с	12	7
283	не знает	2	7
284	во внимание	1	7
285	но для	3	7
286	в связи	10	7
287	в мире	1	7
288	то ни	3	7
289	с какой	1	7
290	его с	1	7
291	и при	3	7
292	из которых	5	7
293	отношения к	1	7
294	как в	5	7
295	со стороны	5	7
296	и больше	2	7
297	для меня	1	7
298	и об	1	7
299	не потому	1	7
300	или вообще	2	7
301	что здесь	1	7
302	без всякого	2	7
303	с его	3	7
304	он должен	3	7
305	на что	1	7
306	и где	1	7
307	очень много	2	7
308	что этот	2	7
309	эти две	1	7
310	думать что	1	7
311	и их	3	7
312	она должна	1	7
313	из этих	2	7
314	так чтобы	1	7
315	о чем	1	6
316	то не	1	6
317	более или	2	6
318	может существовать	3	6
319	одной стороны	2	6
320	в другом	2	6
321	но они	2	6
322	одна из	5	6
323	коем случае	1	6
324	во всех	6	6
325	она в	2	6
326	в которой	3	6
327	как таковое	3	6
328	от самого	1	6
329	во что	1	6
330	можно было	4	6
331	где же	1	6
332	друг другу	1	6
333	с тем	2	6
334	никто не	4	6
335	себя и	2	6
336	может не	2	6
337	о котором	1	6
338	еще и	1	6
339	ни к	2	6
340	того чтобы	4	6
341	это все	1	6
342	на основании	1	6
343	мог бы	1	6
344	всяком случае	2	6
345	если только	1	6
346	для него	2	6
347	о нем	1	6
348	они не	3	6
349	в коем	1	6
350	того как	2	6
351	ее в	3	6
352	то мы	5	6
353	но с	2	6
354	по существу	13	6
355	вообще не	2	6
356	может только	1	6
357	по своему	2	6
358	его в	4	6
359	или менее	2	6
360	как все	1	6
361	может иметь	1	6
362	показывает что	1	6
363	дело не	2	6
364	не с	2	6
365	оказывается что	1	6
366	этой точки	1	6
367	в один	3	6
368	отношение к	1	6
369	и совершенно	1	6
370	в той	1	5
371	а есть	1	5
372	до сих	1	5
373	в своих	2	5
