N	3gram	Medvedev_U	Sovremen
1	не может быть	4	4
2	друг с другом	1	2
3	то же самое	2	2
4	он может быть	1	1
5	не было бы	1	1
6	и т.д пока	1	1
7	то ни было	3	1
8	в том что	2	1
9	не могут быть	2	1
10	до сих пор	2	1
11	может быть в	1	1
12	в самом деле	2	1
13	в данном случае	1	1
14	что все они	1	1
15	конечном счете только	1	1
16	равно как и	1	1
17	это то же	1	1
18	и прежде всего	1	1
19	в конечном счете	4	1
20	с одной стороны	1	1
21	в этой области	3	1
22	то же время	3	1
23	не в том	1	1
24	а не только	1	1
25	этом смысле можно	1	1
26	в то же	3	1
27	бы то ни	3	1
28	по крайней мере	2	1
29	в этом случае	1	1
30	же самое что	1	1
31	в этом смысле	2	1
32	и в то	1	1
