N	2gram	Potebnia_M	Vvedenie
1	и т	10	45
2	т д	6	39
3	в том	38	38
4	в этом	18	35
5	и в	58	35
6	может быть	47	30
7	том что	21	30
8	не только	32	26
9	для того	8	23
10	того чтобы	4	22
11	таким образом	21	21
12	не может	30	19
13	то что	24	19
14	потому что	89	18
15	только в	36	16
16	со стороны	11	16
17	о том	6	16
18	так как	29	15
19	языка и	20	15
20	в общем	1	14
21	что в	34	13
22	в самом	5	13
23	и не	34	13
24	в нем	26	13
25	в его	7	12
26	того что	15	12
27	в их	3	12
28	точки зрения	8	12
29	что такое	3	12
30	как на	5	12
31	то же	13	11
32	в ее	2	11
33	по себе	24	11
34	в данном	1	11
35	этом смысле	4	11
36	как мы	3	11
37	прежде всего	8	10
38	не в	23	10
39	вопрос о	5	10
40	между тем	7	10
41	в той	1	10
42	уже и	2	10
43	но в	12	10
44	дело с	2	9
45	тем не	11	9
46	смысле этого	3	9
47	все же	11	9
48	из этих	8	9
49	но не	19	9
50	и как	11	9
51	не менее	10	9
52	в истории	8	9
53	это не	10	8
54	как нечто	1	8
55	именно в	2	8
56	о котором	4	8
57	а только	8	8
58	филологии и	1	8
59	можно было	1	8
60	с другой	13	8
61	представить себе	3	7
62	и то	4	7
63	до сих	5	7
64	в применении	3	7
65	как и	16	7
66	самом деле	2	7
67	но и	26	7
68	сих пор	5	7
69	в разных	2	7
70	с течением	1	7
71	было бы	21	7
72	только как	5	7
73	этот вопрос	2	7
74	как бы	12	7
75	той мере	1	6
76	один из	2	6
77	на вопрос	3	6
78	об этом	1	6
79	все это	3	6
80	не могут	10	6
81	его в	3	6
82	xviii в	2	6
83	на этот	2	6
84	тем что	15	6
85	с тем	9	6
86	в какой	2	6
87	а именно	1	6
88	вместе с	12	6
89	в которых	2	6
90	же время	4	6
91	и это	3	6
92	так например	5	6
93	вовсе не	13	6
94	уже не	4	6
95	мере в	1	6
96	применении к	3	6
97	и даже	4	6
98	хотя бы	4	6
99	и что	13	6
100	как он	5	6
101	как например	4	6
102	о языке	3	6
103	сказать что	5	6
104	что история	1	6
105	могут быть	17	6
106	но если	4	6
107	и его	7	6
108	в то	6	6
109	а в	11	6
110	истории языка	2	6
111	иное как	2	6
112	связь между	2	5
113	а потому	14	5
114	смотреть на	1	5
115	уже в	5	5
116	внимание на	3	5
117	с этой	3	5
118	хотя и	6	5
119	язык как	7	5
120	что и	16	5
121	в виду	2	5
122	другой стороны	7	5
123	с их	1	5
124	в них	7	5
125	в г	2	5
126	но с	3	5
127	в первом	5	5
128	одним из	2	5
129	дело в	3	5
130	что не	15	5
131	имеет дело	2	5
132	не есть	13	5
133	что он	5	5
134	приходим к	1	5
135	что иное	2	5
136	одно из	5	5
137	от этого	2	5
138	во всяком	9	5
139	наука о	1	5
140	языка в	6	5
141	в течение	2	5
142	так что	23	5
143	и тем	5	5
144	а не	38	5
145	в различных	1	5
146	на основании	3	5
147	не что	2	5
148	т п	6	5
149	быть в	1	5
150	а как	3	5
151	независимо от	15	5
152	она есть	3	5
153	в целом	3	5
154	как это	1	5
155	по языку	1	5
156	есть не	7	5
157	всяком случае	7	5
158	в особенности	1	4
159	ответ на	2	4
160	в более	4	4
161	языке и	2	4
162	только что	4	4
163	здесь нет	1	4
164	этот процесс	1	4
165	с одной	7	4
166	тогда когда	15	4
167	с точки	4	4
168	этом отношении	1	4
169	в результате	1	4
170	по мере	10	4
171	в виде	1	4
172	в себе	22	4
173	видит в	2	4
174	должен был	1	4
175	но все	4	4
176	в одном	13	4
177	в котором	5	4
178	заключается в	3	4
179	и ее	1	4
180	как она	3	4
181	в своей	3	4
182	научного исследования	1	4
183	да и	1	4
184	сравнению с	1	4
185	в чем	6	4
186	должен быть	2	4
187	к тому	5	4
188	по крайней	6	4
189	еще не	9	4
190	не имеет	9	4
191	времени и	3	4
192	в каждом	6	4
193	еще и	1	4
194	и история	1	4
195	даже и	4	4
196	одной стороны	6	4
197	по сравнению	1	4
198	в чисто	1	4
199	быть названо	5	4
200	к делу	1	4
201	по отношению	15	4
202	взгляда на	2	4
203	мы имеем	1	4
204	не вполне	1	4
205	так называемых	1	4
206	отличие от	1	4
207	истории и	1	4
208	в отличие	1	4
209	крайней мере	6	4
210	можно сказать	1	4
211	той же	3	4
212	отношению к	13	4
213	связи между	2	4
214	в области	1	4
215	все более	3	4
216	только с	1	4
217	и для	8	4
218	само по	6	4
219	из них	2	4
220	с этим	11	3
221	собственном смысле	2	3
222	невозможно но	1	3
223	что с	3	3
224	и здесь	1	3
225	и на	8	3
226	как две	1	3
227	например что	3	3
228	того как	12	3
229	зависит от	6	3
230	на том	2	3
231	такого рода	1	3
232	понятно что	1	3
233	именно как	1	3
234	при этом	17	3
235	что это	5	3
236	в основании	3	3
237	в сущности	2	3
238	не как	4	3
239	что собственно	1	3
240	но что	2	3
241	в отношении	1	3
242	в этих	10	3
243	знания и	1	3
244	чем в	2	3
245	связи с	6	3
246	с чисто	1	3
247	если бы	23	3
248	себе что	1	3
249	и сам	1	3
250	мы говорим	3	3
251	во внимание	4	3
252	том виде	1	3
253	история и	2	3
254	сама по	4	3
255	как история	1	3
256	в собственном	4	3
257	вряд ли	2	3
258	как в	18	3
259	этим в	1	3
260	нисколько не	2	3
261	между ними	2	3
262	зависимости от	1	3
263	в известном	2	3
264	в каком	7	3
265	есть еще	1	3
266	он мог	1	3
267	с понятием	2	3
268	и того	6	3
269	от себя	2	3
270	и других	6	3
271	все эти	3	3
272	то это	8	3
273	и есть	4	3
274	сливается с	1	3
275	что даже	2	3
276	язык и	6	3
277	на этом	3	3
278	стороны и	3	3
279	духовной жизни	2	3
280	что же	3	3
281	входит в	1	3
282	по возможности	1	3
283	же как	1	3
284	в другом	3	3
285	совсем не	1	3
286	в ней	9	3
287	или же	7	3
288	и тогда	2	3
289	которых не	1	3
290	и уже	6	3
291	во второй	1	3
292	в слове	21	3
293	об отношении	3	3
294	только на	4	3
295	не с	2	3
296	может служить	2	3
297	отношений между	5	3
298	в этой	3	3
299	в начале	2	3
300	но дело	2	3
301	не следует	6	3
302	того же	13	3
303	как оно	2	3
304	от того	9	3
305	так же	7	3
306	при помощи	2	3
307	или как	2	3
308	и наоборот	10	3
309	разумеется и	1	3
310	и той	4	3
311	отношение к	1	3
312	вообще и	2	3
313	однако в	4	3
314	на нее	2	3
315	только по	5	3
316	что может	1	3
317	в своем	3	3
318	по этому	2	3
319	в зависимости	1	3
320	и вообще	5	3
321	что она	3	3
322	язык в	8	3
323	одна из	4	3
324	как будто	2	3
325	здесь не	2	3
326	к этому	3	3
327	нуждается в	2	3
328	для этого	2	3
329	что уже	1	3
330	смысле как	1	3
331	мы видели	5	3
332	к нему	2	3
333	никогда не	7	3
334	с которыми	3	2
335	во всем	5	2
336	так и	17	2
337	и другие	1	2
338	что они	6	2
339	находятся в	3	2
340	во втором	6	2
341	что оно	5	2
342	нами не	2	2
343	говоря уже	1	2
344	после того	3	2
345	ни с	2	2
346	первом случае	1	2
347	познания и	2	2
348	должна быть	4	2
349	мы не	17	2
350	обратить внимание	2	2
351	нам не	2	2
352	и должно	2	2
353	смысле в	5	2
354	другого рода	2	2
355	есть язык	1	2
356	смысле и	1	2
357	несмотря на	5	2
358	из того	3	2
359	прийти к	1	2
360	это должен	1	2
361	следует что	1	2
362	это уже	1	2
363	природе и	1	2
364	или нет	3	2
365	мысли и	9	2
366	сам по	5	2
367	какой бы	1	2
368	нашего времени	1	2
369	после этого	2	2
