N	4gram	Medvedev_F	StatiiOP
1	в то же время	13	9
2	и т п в	2	5
3	в том отношении что	1	4
4	той мере в какой	1	3
5	в том смысле что	2	3
6	в той мере в	1	3
7	не говоря уже о	1	3
8	том отношении что они	1	2
9	и в этом случае	1	2
10	в том числе и	1	2
11	с точки зрения их	2	2
12	и в то же	4	2
13	но в то же	3	2
14	с тем что в	1	2
15	все более и более	3	2
16	бы то ни было	1	2
17	но вместе с тем	1	2
18	и в конце концов	1	2
19	не в том что	1	2
20	и в этом отношении	1	2
21	и в том что	1	1
22	было бы отрицать что	1	1
23	только с точки зрения	1	1
24	во что бы то	3	1
25	в собственном смысле этого	1	1
26	том смысле что он	2	1
27	ведь на самом деле	1	1
28	языка не может быть	1	1
29	в настоящее время можно	1	1
30	была бы совершенно иной	1	1
31	и во всяком случае	1	1
32	в том смысле в	1	1
33	произведений с точки зрения	1	1
34	будет зависеть от характера	1	1
35	только в том случае	1	1
36	не может быть и	2	1
37	с этой точки зрения	1	1
38	что бы то ни	3	1
39	то что он не	1	1
40	в связи с этим	4	1
41	может быть даже и	1	1
42	тем не менее в	1	1
43	мере в какой они	1	1
44	но ведь на самом	1	1
45	иметь в виду что	1	1
46	состоит в том чтобы	1	1
47	как и всякая иная	1	1
48	и т п на	1	1
49	может быть и речи	1	1
50	на самом деле оно	1	1
51	и в этом его	1	1
52	для этого прежде всего	2	1
53	то же время не	2	1
54	у нас не было	2	1
55	что и в этом	1	1
56	в предисловии к своей	1	1
57	бы то ни стало	3	1
58	том смысле в каком	1	1
59	не в том смысле	2	1
60	нас не было и	1	1
61	с точки зрения своей	1	1
62	этого прежде всего необходимо	1	1
63	она до сих пор	1	1
64	пишет по этому поводу	1	1
65	ни на минуту не	1	1
66	произведение должно было бы	1	1
67	что же это за	1	1
