N	3gram	Voloshinov	Tragedij
1	то же время	7	5
2	в то же	7	5
3	так и в	2	3
4	в том что	9	2
5	и как бы	1	2
6	но в то	6	2
7	между этими двумя	2	2
8	о том что	2	2
9	и в самом	1	2
10	но все же	4	2
11	в отличие от	7	2
12	ничего не значит	1	1
13	и он сам	1	1
14	выходящее за пределы	1	1
15	не только по	1	1
16	и добро и	1	1
17	том что он	3	1
18	а между тем	1	1
19	смысле этого слова	6	1
20	в конце концов	3	1
21	и должно быть	1	1
22	вместо того чтобы	1	1
23	в применении к	1	1
24	вообще не имеет	1	1
25	в той же	1	1
26	не может быть	23	1
27	если б это	1	1
28	но при этом	2	1
29	в этом случае	3	1
30	и потому как	1	1
31	по сравнению с	1	1
32	в чем же	2	1
33	с самого начала	9	1
34	как и все	2	1
35	не только не	1	1
36	связаны между собой	1	1
37	у него нет	1	1
38	значение выходящее за	1	1
39	не могут быть	3	1
40	добро и зло	1	1
41	в высшей степени	5	1
42	хотя бы и	1	1
43	как и в	1	1
44	в связи с	12	1
45	может быть в	1	1
46	в самом деле	13	1
47	во всяком случае	4	1
48	к тому что	4	1
49	тем не менее	3	1
50	принципиальный отказ от	1	1
51	прежде всего необходимо	1	1
52	или как говорит	1	1
53	это и есть	2	1
54	по природе своей	1	1
55	на страницах романа	1	1
56	все же не	1	1
57	и не может	11	1
58	отнюдь не является	5	1
