N	4gram	Vygotskiy_	Morfolog
1	как мы увидим ниже	1	4
2	образом мы видим что	2	4
3	таким образом мы видим	1	4
4	состоит в том что	1	3
5	в то время как	3	3
6	в том случае если	4	2
7	не что иное как	1	2
8	совершенно ясно что и	1	1
9	в первый раз он	1	1
10	с этой точки зрения	2	1
11	то для того чтобы	1	1
12	о том что такое	1	1
13	а на самом деле	1	1
14	можно было бы показать	1	1
15	можно было бы сказать	1	1
16	или во всяком случае	2	1
17	ни одна из них	1	1
18	то это значит что	1	1
19	в том что он	3	1
20	то с другой стороны	1	1
21	одно и то же	3	1
22	по существу вовсе не	1	1
23	было бы сказать что	1	1
24	мы видим что в	1	1
25	на самом деле он	1	1
26	точно так же и	1	1
27	одна из них не	1	1
28	все более и более	4	1
29	только в том случае	4	1
30	к тому что в	1	1
31	один и тот же	1	1
32	до сих пор не	1	1
33	и т д все	1	1
34	но все же в	1	1
35	бросается в глаза что	1	1
