N	4gram	Tiupa_Lite	FransuaR
1	в то же время	12	55
2	но в то же	1	20
3	дело в том что	2	13
4	и в то же	1	12
5	с одной стороны и	1	5
6	и не может быть	1	4
7	нет и не может	1	3
8	одного и того же	1	3
9	все более и более	1	2
10	здесь как и во	1	2
11	бы то ни было	1	2
12	но дело в том	1	2
13	и прежде всего в	1	2
14	и внешнее и внутреннее	1	2
15	то же время не	2	2
16	то же время он	1	2
17	одним и тем же	1	2
18	какой бы то ни	1	2
19	в том что ему	1	1
20	то же время здесь	1	1
21	и в соответствии с	1	1
22	в том что в	1	1
23	не может быть ни	1	1
24	одной стороны и к	1	1
25	не только и не	1	1
26	одно и то же	1	1
27	но при этом как	1	1
28	том же году в	1	1
29	во всяком случае в	1	1
30	имеет ничего общего с	1	1
31	с другой стороны он	1	1
32	состоит в том что	6	1
33	к себе самому и	1	1
34	то же время она	1	1
35	только и не столько	1	1
36	эти и подобные им	2	1
37	не имеет ничего общего	1	1
38	в том что он	1	1
39	из прошлого в будущее	1	1
40	в том же году	3	1
