N	3gram	Bakhtin_Pr	SlovoVZh
1	по отношению к	19	11
2	в нашем примере	2	7
3	не может быть	11	7
4	можно сказать что	2	5
5	в том что	3	4
6	дело в том	1	4
7	в художественном произведении	4	3
8	то ни было	2	3
9	до сих пор	1	3
10	и не в	1	3
11	это как бы	1	3
12	бы то ни	3	3
13	тем не менее	3	3
14	и не может	2	3
15	может быть и	1	3
16	форма должна быть	1	2
17	формы и содержания	2	2
18	на самом деле	3	2
19	одной стороны и	1	2
20	то же самое	2	2
21	выходят за пределы	1	2
22	мы можем сказать	2	2
23	не довлеет себе	2	2
24	в данном случае	4	2
25	конечно не может	1	2
26	с одной стороны	3	2
27	с другой стороны	4	2
28	до известной степени	1	2
29	в ней как	1	2
30	художественную форму как	1	2
31	как в нашем	1	2
32	контекста в котором	1	2
33	но отнюдь не	7	2
34	с точки зрения	6	2
35	в настоящее время	1	2
36	в котором слово	1	2
37	можно найти в	1	1
38	со всех сторон	2	1
39	и менее всего	1	1
40	форму как форму	3	1
41	отношению к которому	1	1
42	сами по себе	1	1
43	взаимодействия творца и	1	1
44	должна быть понята	1	1
45	проч все эти	2	1
46	в нашем случае	1	1
47	является таким образом	1	1
48	в поэтическом произведении	1	1
49	не должна быть	1	1
50	лингвистической точки зрения	1	1
51	свою связь с	1	1
52	ни в какой	1	1
53	но несмотря на	1	1
54	что не к	1	1
55	в противном случае	3	1
56	все эти моменты	2	1
57	бы они ни	1	1
58	в самом деле	3	1
59	в двух направлениях	1	1
60	все моменты произведения	1	1
61	поэтики художественное произведение	1	1
62	отношению к материалу	4	1
63	можно определить как	1	1
64	имеет дело с	4	1
65	на один шаг	1	1
66	автора к содержанию	1	1
67	в том и	1	1
68	независимо от него	1	1
69	относится не к	1	1
70	в высшей степени	5	1
71	хотя бы только	1	1
72	в творчестве достоевского	1	1
73	в свою очередь	1	1
74	искусства может быть	1	1
75	и должна быть	1	1
76	за его пределы	2	1
77	относящейся к содержанию	1	1
78	по себе не	1	1
79	и в частности	2	1
80	а между тем	1	1
81	не может предопределить	1	1
82	формы дело в	1	1
83	и к предмету	1	1
84	миру и к	1	1
85	еще не вполне	1	1
86	как и в	1	1
87	как мы уже	1	1
88	согласием или несогласием	1	1
89	в том же	2	1
90	не только его	1	1
91	художественную форму в	1	1
92	ни в коем	2	1
93	следует отметить что	1	1
94	так называемый формальный	1	1
95	и проч все	3	1
96	и др и	1	1
97	самом же деле	1	1
98	в нем и	1	1
99	в коем случае	2	1
100	и независимо от	1	1
101	но в то	1	1
102	она не может	1	1
103	из общего для	1	1
104	становится только в	1	1
105	имеем дело с	1	1
106	в лучшем случае	2	1
107	и отнюдь не	1	1
108	первого же взгляда	1	1
109	равно как и	1	1
110	в этом направлении	1	1
111	только на основе	1	1
112	подобно тому как	1	1
113	на содержание с	1	1
114	с так называемой	1	1
115	здесь же мы	1	1
116	события и его	1	1
117	отношению к содержанию	3	1
118	на самом же	1	1
119	в конечном счете	4	1
120	или о чем	1	1
121	и в нем	3	1
122	произведения и его	1	1
123	и созерцателя в	1	1
124	по аналогии с	1	1
125	в основе своей	3	1
126	можно было бы	3	1
127	в этом отношении	2	1
128	как форма материала	3	1
129	то же время	3	1
130	с первого же	1	1
131	творчестве и в	1	1
132	далеко не всегда	3	1
133	между тем как	5	1
134	в свои права	1	1
135	дело и с	5	1
136	не совпадает с	2	1
137	отнюдь не совпадает	1	1
138	художественном произведении как	2	1
139	и прежде всего	5	1
140	автор как бы	1	1
141	но и в	2	1
142	в то же	3	1
143	помощью определенного материала	2	1
144	не к материалу	1	1
145	и осознает себя	1	1
146	быть понята и	1	1
147	в чем не	2	1
148	в значительной степени	1	1
149	то время как	1	1
150	не есть форма	1	1
151	для эстетики как	1	1
152	могут быть только	1	1
153	от всех моментов	1	1
154	позицию по отношению	4	1
155	едва ли кто-нибудь	1	1
156	для историка литературы	1	1
157	называемый формальный метод	1	1
158	незаместимое место в	1	1
159	творца и не	1	1
160	мы имеем дело	2	1
161	и в этом	1	1
162	ни в чем	2	1
163	так относится к	1	1
164	на этом основании	1	1
165	она как бы	1	1
166	в нем но	1	1
167	в то время	1	1
168	в этом смысле	3	1
169	или хотя бы	1	1
170	вне искусства в	1	1
171	бы не было	1	1
172	не может стать	1	1
173	и проч и	1	1
174	моменты произведения в	1	1
175	не обходится без	1	1
176	с помощью определенного	2	1
177	только там где	2	1
178	если бы не	1	1
179	отнюдь не является	1	1
180	и умирает в	1	1
181	они ни были	1	1
182	и другие формальные	1	1
183	может быть только	3	1
184	к вопросу о	1	1
