N	2gram	Losev_Vesc	Vladivir
1	и в	44	116
2	то что	47	71
3	и не	57	67
4	у него	3	65
5	не только	48	65
6	в этом	17	53
7	в том	15	52
8	том что	13	51
9	что в	11	48
10	но и	19	47
11	в конце	3	41
12	в его	5	40
13	и с	11	39
14	то есть	2	37
15	и даже	12	36
16	сказать что	21	36
17	также и	9	36
18	учение о	2	35
19	так что	9	35
20	потому что	25	33
21	что он	7	32
22	еще и	11	32
23	не может	44	31
24	о том	11	30
25	только в	23	30
26	как мы	6	29
27	никогда не	5	29
28	для него	8	29
29	вовсе не	11	27
30	а в	6	27
31	не было	4	26
32	в себе	23	25
33	но в	8	25
34	в то	11	25
35	и то	14	25
36	и его	4	25
37	а также	1	24
38	даже и	5	24
39	философии и	1	23
40	точки зрения	10	23
41	между прочим	4	23
42	он не	4	23
43	может быть	37	23
44	что же	17	23
45	кроме того	5	22
46	ни в	11	22
47	так как	17	22
48	в виде	3	22
49	об этом	5	22
50	в своей	6	21
51	вместе с	4	21
52	а именно	1	20
53	и что	22	20
54	в своем	9	20
55	для нас	2	20
56	прежде всего	17	20
57	не менее	11	19
58	в дальнейшем	1	19
59	и вообще	6	19
60	по поводу	1	19
61	как раз	16	19
62	тем не	11	19
63	таким образом	16	19
64	в те	1	19
65	в течение	1	19
66	так и	4	19
67	и потому	8	19
68	как и	15	18
69	не мог	3	18
70	не в	14	18
71	не был	2	18
72	хотя и	5	18
73	как это	4	18
74	с его	2	18
75	то это	5	17
76	что и	11	17
77	в этой	4	17
78	едва ли	1	17
79	и если	5	17
80	а не	34	17
81	необходимо сказать	1	17
82	у нас	9	17
83	все же	18	16
84	уже не	15	16
85	к тому	3	16
86	не есть	79	16
87	совсем не	2	16
88	для себя	6	16
89	и все	6	16
90	было бы	24	16
91	того что	16	16
92	в котором	4	16
93	а н	1	16
94	и к	1	15
95	то же	12	15
96	в своих	3	15
97	к этому	2	15
98	в эти	1	15
99	несмотря на	6	15
100	в связи	1	15
101	иной раз	1	15
102	но это	14	15
103	это было	2	15
104	того же	5	14
105	в с	2	14
106	все эти	5	14
107	раз и	2	14
108	тут же	4	14
109	мы уже	3	14
110	и на	2	14
111	с а	4	14
112	уже в	2	14
113	и как	12	14
114	во всем	2	13
115	в результате	9	13
116	с тем	8	13
117	можно сказать	8	13
118	так же	4	13
119	не просто	23	13
120	на этот	1	13
121	и от	4	13
122	что это	18	13
123	то время	4	13
124	да и	5	13
125	дело в	6	13
126	жизни и	6	13
127	по себе	22	12
128	только на	3	12
129	и это	17	12
130	и у	4	12
131	и по	1	12
132	в нем	6	12
133	то в	4	12
134	содержит в	11	12
135	если не	3	12
136	всяком случае	2	12
137	ничего не	12	12
138	во всяком	4	12
139	есть только	18	12
140	связи с	1	12
141	учения о	2	12
142	при этом	1	11
143	но что	9	11
144	более или	4	11
145	в данном	6	11
146	хотя бы	9	11
147	тому же	1	11
148	в которой	5	11
149	я не	7	11
150	на то	9	11
151	и здесь	5	11
152	в основном	1	11
153	никак не	7	11
154	в отношении	7	11
