N	2gram	Kanaev_Sov	ViktorSh
1	в конце	3	2
2	и в	7	2
3	в том	4	2
4	том что	1	2
5	в другом	1	1
6	все время	1	1
7	от общего	1	1
8	но это	1	1
9	по существу	1	1
10	ведь это	3	1
11	в самом	2	1
12	и т.д	3	1
13	образом из	1	1
14	предлагает нам	1	1
15	для них	1	1
16	именно в	1	1
17	жизни которое	1	1
18	другое дело	1	1
19	самом деле	2	1
20	и составляет	1	1
21	ясно что	3	1
22	так в	1	1
23	крайней мере	1	1
24	и его	1	1
25	к чему	2	1
26	по крайней	1	1
27	к этому	1	1
28	только в	1	1
29	и только	1	1
30	то же	3	1
31	по своим	1	1
32	не будем	2	1
33	и не	6	1
34	собственно и	1	1
35	дело в	1	1
36	в этом	7	1
37	так как	4	1
38	все это	3	1
