N	3gram	Losev_Vlad	KulturaY
1	и т д	3	42
2	для того чтобы	3	38
3	в том что	13	33
4	в самом деле	1	29
5	тем не менее	8	19
6	во всяком случае	8	19
7	то обстоятельство что	2	19
8	с другой стороны	3	17
9	в том чтобы	4	14
10	по крайней мере	1	13
11	в связи с	7	12
12	не может быть	4	11
13	в этом отношении	2	11
14	в этом смысле	4	10
15	о том что	9	10
16	вместе с тем	2	9
17	не в том	3	8
18	само по себе	1	8
19	не только в	3	8
20	в этом случае	1	8
21	тех пор пока	2	7
22	до тех пор	2	7
23	а с другой	1	7
24	в свою очередь	2	7
25	и тем не	1	7
26	чуть ли не	1	7
27	с одной стороны	1	7
28	после того как	2	7
29	к тому же	3	6
30	то же время	7	6
31	в то же	7	6
32	не говоря уже	3	6
33	в свое время	6	6
34	говоря уже о	3	5
35	дело не в	1	5
36	так и в	1	5
37	более или менее	5	5
38	и в этом	1	5
39	но все же	1	5
40	что же касается	8	5
41	не потому что	1	5
42	тем более что	2	5
43	как мы видели	1	5
44	в этом роде	1	4
45	потому что как	1	4
46	так или иначе	3	4
47	сам по себе	1	4
48	том что он	4	4
49	смысле этого слова	1	4
50	а в том	3	4
51	к тому что	1	4
52	и потому что	3	4
53	на то что	6	4
54	заключается в том	1	4
55	только то что	1	4
56	точно так же	2	4
57	в этой области	1	4
58	в той же	1	3
59	что я не	1	3
60	и то обстоятельство	2	3
61	все той же	1	3
62	в конце концов	6	3
63	и вместе с	1	3
64	к этой книге	1	3
65	того что в	1	3
66	как раз и	2	3
67	с тем что	1	3
68	не то что	2	3
69	уже о том	1	3
70	хотя бы на	2	3
71	и не в	1	3
72	в настоящее время	2	3
73	в то время	6	3
74	в этом слове	1	3
75	уже не может	1	3
76	что и в	2	3
77	не только как	1	3
78	в таких случаях	1	3
79	в какой мере	1	3
80	уже не только	2	3
81	что он не	3	2
82	а может быть	1	2
83	ни на минуту	1	2
84	ни в каком	1	2
85	в тех же	2	2
86	а следовательно и	1	2
87	можно себе представить	1	2
88	с вопросом о	1	2
89	у нас нет	2	2
90	по себе не	1	2
91	в том числе	1	2
92	и тот же	2	2
93	потому что она	1	2
94	потому что в	2	2
95	но даже и	3	2
96	и то же	1	2
97	что дело не	1	2
98	уже потому что	1	2
99	также и о	1	2
100	мы знаем что	2	2
101	но что такое	1	2
102	ничего общего с	1	2
103	в особенности же	1	2
104	и в то	3	2
105	но в том	2	2
106	что же это	1	2
107	хотя и не	2	2
108	можно говорить разве	1	2
109	в целом и	1	2
110	что даже в	1	2
111	так как он	2	2
112	на вопросе о	1	2
113	бы то ни	2	2
114	в истории русской	1	2
115	и в том	2	2
116	что можно сказать	2	2
117	ответить на вопрос	1	2
118	но он не	1	2
119	но кроме того	1	2
