N	2gram	Vinokur_Ku	Hudozhes
1	в качестве	12	31
2	и в	44	23
3	не только	29	20
4	состоит в	4	20
5	в том	47	20
6	при этом	6	19
7	может быть	25	19
8	в частности	6	18
9	и не	23	16
10	тогда как	2	15
11	но и	13	14
12	а не	17	13
13	в рамках	5	13
14	но не	11	13
15	а в	7	13
16	я в	2	13
17	в себе	4	13
18	в этом	31	12
19	то же	12	12
20	такого рода	1	12
21	так и	10	12
22	и его	8	12
23	сводится к	3	11
24	как бы	11	11
25	точки зрения	25	11
26	в его	16	11
27	по отношению	9	10
28	но в	11	10
29	отношению к	9	10
30	своего рода	4	9
31	или иной	3	9
32	том что	30	9
33	с другой	14	9
34	в искусстве	2	9
35	не в	18	9
36	не может	13	9
37	в принципе	1	8
38	себя в	1	8
39	в области	15	8
40	в то	4	8
41	что в	25	7
42	в самом	20	7
43	только в	15	7
44	в своей	4	7
45	же время	4	7
46	в отличие	3	7
47	отличие от	3	7
48	я и	1	7
49	не столько	2	7
50	как это	6	7
51	лишь в	6	7
52	отношение к	2	7
53	другой стороны	12	6
54	более или	3	6
55	приводит к	3	6
56	уже не	13	6
57	можно сказать	6	6
58	с его	4	6
59	мы имеем	11	6
60	в ее	2	6
61	а также	3	6
62	или менее	3	6
63	всего лишь	3	6
64	в нем	7	6
65	ни в	3	5
66	в виду	7	5
67	не на	4	5
68	конечном счете	2	5
69	что он	7	5
70	не менее	12	5
71	не является	2	5
72	того чтобы	25	5
73	для того	23	5
74	со стороны	8	5
75	иначе говоря	2	5
76	как к	2	5
77	для него	2	5
78	того что	11	5
79	прежде всего	14	5
80	в их	3	5
81	а на	3	5
82	в конечном	3	5
83	или иначе	4	5
84	между ними	2	5
85	той или	1	5
86	и одновременно	1	5
87	тем самым	5	5
88	то что	14	5
89	в ходе	1	5
90	могут быть	5	5
91	место в	1	5
92	слова как	5	5
93	во втором	2	4
94	для себя	1	4
95	без исключения	1	4
96	так или	3	4
97	по пути	2	4
98	не следует	6	4
99	например в	5	4
100	отношения к	2	4
101	в слове	3	4
102	роли в	3	4
103	еще не	10	4
104	в данном	8	4
105	языка в	14	4
106	в другом	2	4
107	говорить о	5	4
108	сказать что	5	4
109	к которому	3	4
110	в своем	4	4
111	к тому	8	4
112	или иным	1	4
113	на почве	2	4
114	и то	7	4
115	это не	13	4
116	в отношении	2	4
117	его в	1	4
118	не знает	4	4
119	деятельности в	1	4
120	и как	3	4
121	в этих	5	4
122	так в	2	4
123	в себя	2	4
124	а только	10	4
125	того или	6	4
126	между тем	11	4
127	речи и	8	4
128	он не	4	4
129	и тем	7	4
130	и что	11	4
131	в форме	3	4
132	далеко не	2	4
133	со своей	1	4
134	и о	3	4
135	однако в	2	4
136	силу своей	1	4
137	в силу	16	4
138	или иного	5	4
139	хотя и	7	4
140	в той	6	3
141	и к	1	3
142	на деле	2	3
