N	2gram	Losev_Dial	Problema
1	и в	34	182
2	то есть	1	165
3	и не	50	152
4	вовсе не	18	145
5	то что	25	144
6	не есть	95	113
7	не только	35	104
8	потому что	21	89
9	в этом	14	88
10	может быть	30	82
11	в том	17	81
12	том что	18	81
13	не просто	20	80
14	только в	10	73
15	сказать что	7	72
16	но и	14	70
17	в виде	11	69
18	у нас	7	68
19	также и	6	68
20	и даже	21	66
21	по себе	31	64
22	даже и	9	63
23	не менее	11	58
24	о том	11	57
25	тем не	10	56
26	а не	39	56
27	так и	11	56
28	но в	3	55
29	так что	11	52
30	ни в	20	51
31	для нас	2	50
32	в себе	8	48
33	отнюдь не	16	48
34	и вообще	7	48
35	смысле слова	1	47
36	при помощи	6	47
37	было бы	13	46
38	прежде всего	20	45
39	в своей	4	45
40	что в	12	44
41	в его	6	44
42	не в	11	43
43	все эти	4	43
44	то же	9	42
45	а именно	7	42
46	как раз	11	42
47	таким образом	14	42
48	если мы	5	42
49	и что	21	40
50	и то	7	40
51	что он	18	40
52	так как	12	40
53	что мы	10	40
54	во всяком	5	39
55	не может	29	39
56	и тем	3	39
57	в этой	3	39
58	как бы	19	39
59	той или	3	38
60	в данном	6	38
61	хотя бы	9	37
62	никак не	3	37
63	в нем	7	37
64	того что	22	37
65	точки зрения	43	36
66	есть нечто	26	36
67	еще не	7	36
68	и все	17	36
69	вещи есть	2	35
70	когда мы	3	35
71	и т	41	35
72	в виду	12	34
73	уже не	9	34
74	и с	10	34
75	как и	14	34
76	же самое	1	33
77	в таком	15	33
78	не является	1	33
79	т д	38	33
80	или иной	4	33
81	здесь не	2	32
82	в то	9	32
83	но не	3	32
84	едва ли	2	32
85	так же	7	31
86	в своем	7	31
87	связи с	3	31
88	что такое	25	31
89	в конце	2	31
90	но это	10	31
91	все это	13	31
92	ясно что	16	30
93	и для	5	30
94	с другой	5	30
95	в связи	3	29
96	все же	4	29
97	можно сказать	5	29
98	перед нами	5	29
99	как мы	4	29
100	об этом	8	29
101	что же	12	28
102	данном случае	3	28
103	мы не	11	28
104	а в	3	28
105	есть только	13	28
106	и о	9	28
107	и это	12	27
108	и как	13	27
109	хотя и	9	27
110	ничего общего	2	27
111	ничего не	29	27
112	в результате	7	26
113	другой стороны	4	26
114	крайней мере	10	26
115	да и	4	26
116	как будто	3	26
117	вместе с	3	26
118	по крайней	10	26
119	еще и	2	26
120	это не	13	26
121	и его	8	26
122	мы можем	3	25
123	и на	6	25
124	тем самым	3	25
125	с точки	25	25
126	всяком случае	3	25
127	с тем	4	24
128	на самом	2	24
129	тем более	5	24
130	в нашем	1	24
131	и вполне	1	24
132	не имеет	18	24
133	содержит в	2	23
134	таком случае	11	23
135	по своему	2	23
136	только и	3	23
137	на то	5	23
138	при этом	7	23
139	тут же	3	23
140	в качестве	1	23
141	и притом	10	23
142	конце концов	1	23
143	а только	2	23
144	то и	5	23
145	мы находим	5	23
146	есть не	11	23
147	и к	5	22
148	вещи и	3	22
149	раз и	3	22
150	только на	8	22
151	можно ли	6	22
152	никогда не	9	22
153	и является	2	22
154	всех этих	3	22
155	тоже не	2	22
156	нет ничего	14	22
157	есть в	4	22
158	значит что	29	22
159	сам по	6	22
160	его в	2	22
161	и от	4	22
162	и есть	24	22
163	и если	5	22
164	что и	8	22
165	другими словами	8	22
166	в самом	9	21
167	сама по	11	21
168	мы должны	1	21
169	и ее	8	21
170	говорить о	13	21
171	разного рода	2	21
172	для себя	2	21
173	и без	4	21
174	и только	6	21
175	именно в	5	20
